Class	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
Clostridia	80.8	59.3	67.6	81.1	58.9	42	26.4	20.6	24.2	30.2	41.4	20.3	13.7	16.4	11.9	12	3.68	14.9	35.9
Bacteroidia	7.1	15.4	21.6	0.54	6.44	0.18	30	33.2	29.8	13.6	19.1	30.1	22.6	25.8	28.1	19.8	30	30.7	21.9
Bacilli	3.51	5.2	4.3	13.4	2.56	29	6.73	1.72	19	11.9	2.93	5.67	23.7	16.6	20.7	19.4	30.2	11.9	11.7
Fusobacteriia	0	0	0	0	0	0	12.9	15.1	15.2	6.63	11.6	22.2	14.4	18.1	12.7	21.1	6.32	15	6.9
Negativicutes	2.82	6.5	3.35	0.93	14.5	0.02	4.13	9.55	4.9	11	1.65	3.14	4.5	6.31	7.18	7.69	5.26	5.68	6.5
Spirochaetia	0	0	0	0	0	0	5.76	6.17	1.91	0.94	4.84	4.91	6.18	3.21	7.04	3.72	0.31	7.2	3.8
Gammaproteobacteria	0.14	6.2	1.88	0	2.42	3.59	0.93	0.06	2.58	0.91	0.1	1.39	10.1	6.71	4.23	6.22	20.7	6.33	3.6
Coriobacteriia	0.65	0.89	0.11	3.16	1.33	0.98	0.41	0.27	0.03	3.56	0.02	0.12	0.67	0.2	0.97	0.65	0.42	0.53	2.5
Synergistia	0	0	0	0	0	0	4.38	5.14	0.13	10.4	10.3	6.34	0.21	3.22	1.6	1.2	0.03	2.01	2.0
Actinobacteria	4	5.28	0.57	0.85	12.7	2.98	1.81	0.13	0.14	1.05	0.81	0.97	1.62	1.13	3.14	1.6	1.84	1.5	1.1
Saccharimonadia	0.01	0.02	0	0.03	0.06	0.09	2.28	2.34	0.27	1.08	0.01	0.88	0.88	0.89	0.75	2.88	0.73	0.55	1.1
Desulfovibrionia	0.29	0.87	0.61	0.01	1.17	0.42	0.28	0.01	0	0	0	0	0	0	0	0	0	0	0.7
Campylobacteria	0	0	0	0	0	0	0.5	1.76	0.84	0.26	0.92	1.66	1.24	0.86	1.33	2.56	0.22	3.04	0.6
Anaerolineae	0	0	0	0	0	0	1.46	1.58	0.34	4.31	1.67	1.41	0.03	0.19	0.14	0.13	0	0.09	0.4
Verrucomicrobiia	0.47	0	0.01	0.01	0	20.7	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Desulfobulbia	0	0	0	0	0	0	1.17	1.94	0.65	4.16	4.67	0.64	0.09	0.26	0.23	0.1	0	0.18	0.3
Gracilibacteria	0	0	0	0	0	0	0.12	0.37	0	0	0	0.21	0.04	0.21	0	1	0.24	0.27	0.2
Methanobacteria	0.08	0.35	0.02	0.01	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.1
Microgenomatia	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0.01	0	0.1
Alphaproteobacteria	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Dojkabacteria	0	0	0	0	0	0	0.12	0.07	0	0	0	0	0	0	0	0	0	0	0.1
