Family	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
Lachnospiraceae	29.7	17	16.5	40.9	15.3	35.1	8.63	4.39	5.69	5.28	2.99	5.14	2.15	2.02	2.23	2.45	1.9	2.67	16.9
Prevotellaceae	0	9.23	20.5	0	0.66	0	13.7	17.9	22.4	4.9	2.77	8.08	8.2	6.52	12.1	5.19	14.8	7.07	10.9
Erysipelatoclostridiaceae	2.14	2.24	1.36	9.83	1.71	23	0	0	0	0	0	0	0	0	0	0	0	0	5.5
Ruminococcaceae	35.5	12	27.1	35.3	23.1	4.98	0.01	0	0	0	0	0	0	0	0.01	0	0	0	5.3
Fusobacteriaceae	0	0	0	0	0	0	3.69	9.92	12	5.08	11.6	17.7	13.1	16.4	10.9	17.3	4.15	13.9	4.5
Selenomonadaceae	0	1.48	0	0	0	0	3.03	6.17	2.06	7.66	1.22	0.67	1.23	1.97	1.29	2.07	0.24	3.37	3.8
Spirochaetaceae	0	0	0	0	0	0	5.76	6.17	1.91	0.94	4.84	4.91	6.18	3.21	7.04	3.72	0.31	7.2	3.8
Incertae Sedis	7.85	11.6	5.05	1.27	2.14	0.28	2.46	2.61	0.01	0.31	0.04	0.7	0.75	0.68	0.68	2.27	0.99	1.03	3.1
Bacteroidaceae	5.36	4.32	1	0.54	4.7	0.16	0	0	0	0.01	0	0	0	0	0	0	0	0	2.9
Anaerovoracaceae	0.21	0.09	0.07	0.01	0.31	0.97	3.11	3.98	2.96	10.4	14.6	3.72	2.23	5.01	2.62	2.24	0.39	2.77	2.6
Streptococcaceae	1.04	0.15	0.11	3.08	0.33	5.6	4.47	0.94	17.5	10.2	1.25	4.35	17.8	12.3	14.4	14.1	20.3	8.97	2.5
Leptotrichiaceae	0	0	0	0	0	0	9.18	5.14	3.21	1.55	0.01	4.49	1.36	1.72	1.8	3.71	2.17	1.15	2.4
Porphyromonadaceae	0	0	0	0	0	0	8.76	10.9	6.34	5.53	11.8	15.4	6.43	10.9	10.6	5.72	11.5	13.4	2.4
Oscillospiraceae	4.09	8.55	7.12	0.34	2.14	0.14	0	0.01	0	0	0	0	0	0	0	0	0	0	2.3
Synergistaceae	0	0	0	0	0	0	4.38	5.14	0.13	10.4	10.3	6.34	0.21	3.22	1.6	1.2	0.03	2.01	2.0
Veillonellaceae	2.09	0.19	3.29	0.06	14.5	0	1.09	3.38	2.84	3.31	0.43	2.47	3.27	4.34	5.89	5.62	5.02	2.31	2.0
Neisseriaceae	0	0	0.01	0	0	0	0.36	0	0.24	0.85	0.09	0.75	4.47	4.12	1.98	2.77	17.2	4.27	2.0
Flavobacteriaceae	0	0	0.01	0	0	0	0.38	0.29	0.18	0.42	0.01	1.22	5.79	2.04	1.32	4.61	2.26	1.46	1.5
Christensenellaceae	0.91	6.97	0.74	0	2.87	0.06	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Family XI	0	0	0	0	0	0	4.99	3.79	6.65	10.5	11.8	1.33	3.44	7.2	2.69	2.04	0.87	1.12	1.3
Erysipelotrichaceae	0.31	2.43	2.8	0.07	0.04	0.13	0.23	0.21	0.48	0.3	0.29	0.24	0.32	0.45	0.63	0.95	0.97	0.29	1.1
Rikenellaceae	1.41	0.57	0.05	0	0.38	0.01	0.32	0.34	0.01	0.15	0.09	0.2	0.13	0.1	0.12	0.13	0	0.96	1.1
Gemellaceae	0.02	0	0.01	0.05	0.02	0.22	1	0.02	0.86	1.21	0.2	0.65	3.04	2.13	2.81	3.31	3.68	1.68	1.1
Tannerellaceae	0.17	1.09	0.05	0	0.13	0.01	2.37	2.27	0.81	2.22	3.89	4.85	1.25	5.5	2.46	2.91	0.15	3.28	1.1
[Eubacterium] coprostanoligenes group	1.88	2.38	7.45	0.1	10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1
Eggerthellaceae	0.57	0.25	0.09	1.22	0.19	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0.9
Peptostreptococcaceae	0.07	0.2	0.03	1.67	0.17	0.13	5.89	6.6	6.39	2.86	9.84	9.22	4.93	1.89	3.45	4.5	0.15	7.43	0.9
Peptococcaceae	0	0.06	0	0.01	0.1	0	3.01	1.1	2.47	0.99	1.67	0.52	0.1	0.07	0.11	0.02	0	0.05	0.9
Pasteurellaceae	0	0	0.01	0	0	0	0.44	0.02	2.22	0.04	0.01	0.31	5.04	1.37	2.18	1.78	3.26	1.38	0.8
Atopobiaceae	0.08	0.01	0	0.02	0.01	0	0.41	0.27	0.03	3.56	0.02	0.12	0.67	0.2	0.97	0.65	0.42	0.53	0.8
Saccharimonadaceae	0	0.01	0	0.01	0.05	0.05	1.47	0.89	0.27	1.08	0.01	0.62	0.77	0.89	0.47	2.31	0.36	0.41	0.8
Acidaminococcaceae	0.73	4.83	0.06	0.87	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0.7
Desulfovibrionaceae	0.29	0.87	0.61	0.01	1.17	0.42	0.28	0.01	0	0	0	0	0	0	0	0	0	0	0.7
Campylobacteraceae	0	0	0	0	0	0	0.5	1.76	0.84	0.26	0.92	1.66	1.24	0.86	1.33	2.56	0.22	3.04	0.6
Lentimicrobiaceae	0	0	0	0	0	0	1.14	0.25	0.01	0	0.39	0.07	0.11	0	0.24	0.1	0.05	2.38	0.5
Paludibacteraceae	0	0	0	0	0	0	1.05	0.59	0.09	0.04	0.08	0.11	0.39	0.17	0.94	0.88	0.1	1.33	0.5
Micrococcaceae	0.04	0	0	0	0	0.02	0.31	0.01	0.01	0.18	0.72	0.38	1.39	0.8	2.53	1.13	1.63	1.32	0.5
Coriobacteriaceae	0	0.63	0.02	1.92	0.55	0.66	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Clostridiaceae	0.04	0	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
Anaerolineaceae	0	0	0	0	0	0	1.46	1.58	0.34	4.31	1.67	1.41	0.03	0.19	0.14	0.13	0	0.09	0.4
Bifidobacteriaceae	3.96	5.27	0.57	0.83	12.7	2.96	0	0	0.01	0	0	0	0.15	0	0	0	0	0.02	0.4
Carnobacteriaceae	0	0	0.02	0.07	0	0.04	0.52	0.01	0.17	0.13	0.04	0.07	2.34	1.23	2.3	0.86	4.58	0.47	0.4
Cardiobacteriaceae	0	0	0	0	0	0	0.12	0.03	0.02	0.02	0	0.31	0.32	1.13	0.07	1.34	0.06	0.38	0.3
Enterobacteriaceae	0.13	0.04	1.5	0	2.33	3.59	0	0.01	0	0	0	0	0	0	0	0	0	0	0.3
Desulfobulbaceae	0	0	0	0	0	0	1.17	1.94	0.65	4.16	4.67	0.64	0.09	0.26	0.23	0.1	0	0.18	0.3
Weeksellaceae	0	0	0	0	0	0	0.06	0	0.02	0.01	0	0.06	0.28	0.19	0.08	0.15	1.22	0.23	0.3
Akkermansiaceae	0.47	0	0.01	0.01	0	20.7	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Coriobacteriales Incertae Sedis	0	0	0	0	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Butyricicoccaceae	0.2	0.19	0.14	0.17	0.05	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Monoglobaceae	0.12	0.12	3.31	1.33	0.11	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Defluviitaleaceae	0	0	0	0	0	0	0.35	0.55	0	0	0.48	0.21	0.21	0	0.63	0.17	0	0.7	0.2
Acholeplasmataceae	0	0	0	0	0	0	0.41	0.37	0	0	0	0	0	0	0	0	0.04	0.35	0.2
Mycoplasmataceae	0	0	0	0	0	0	0	0.06	0	0.1	1.15	0.36	0.09	0.52	0.52	0.12	0.01	0.04	0.2
Barnesiellaceae	0.15	0.13	0	0	0.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Marinifilaceae	0.01	0.03	0.01	0	0.03	0	1.83	0	0	0	0	0	0	0	0	0	0	0.32	0.2
Sutterellaceae	0.01	0.01	0.36	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
UCG-010	0	0.17	0.03	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Corynebacteriaceae	0	0	0	0	0	0	1.13	0.01	0	0.54	0.02	0.47	0.03	0.16	0.2	0.27	0.11	0.09	0.1
Methanobacteriaceae	0.08	0.35	0.02	0.01	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.1
Actinomycetaceae	0	0.01	0	0.02	0.01	0	0.37	0.11	0.12	0.33	0.07	0.12	0.05	0.17	0.41	0.2	0.1	0.07	0.1
Succinivibrionaceae	0	6.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Unassigned	0.29	0.3	0.02	0	2.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
p-2534-18B5 gut group	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0.1
Eubacteriaceae	0	0	0	0	0	0	0.1	0.08	0	0.22	0	0.05	0.05	0.02	0	0.01	0	0	0.1
Burkholderiaceae	0	0	0	0	0	0	0.01	0	0.1	0	0	0.02	0.3	0.09	0	0.33	0.11	0.3	0.1
UCG-011	0.01	0.11	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Aerococcaceae	0	0	0	0	0	0.03	0	0	0.01	0.01	0	0	0.14	0	0	0.05	0.7	0.01	0.1
