OTU	Group
ASV_1	All
ASV_1	plaque
ASV_2	All
ASV_2	plaque
ASV_10	All
ASV_10	saliva
ASV_3	All
ASV_3	plaque
ASV_4	All
ASV_4	saliva
ASV_5	All
ASV_5	feces
ASV_7	All
ASV_7	saliva
ASV_8	All
ASV_8	saliva
ASV_9	All
ASV_9	saliva
ASV_6	All
ASV_6	plaque
ASV_14	All
ASV_14	saliva
ASV_22	All
ASV_22	saliva
ASV_13	All
ASV_13	plaque
ASV_18	All
ASV_18	saliva
ASV_19	All
ASV_19	plaque
ASV_19	saliva
ASV_17	All
ASV_17	saliva
ASV_23	All
ASV_23	saliva
ASV_54	All
ASV_54	feces
ASV_49	All
ASV_49	saliva
ASV_11	All
ASV_11	plaque
ASV_21	All
ASV_21	feces
ASV_36	All
ASV_36	saliva
ASV_12	All
ASV_12	saliva
ASV_35	All
ASV_35	saliva
ASV_15	All
ASV_15	plaque
ASV_20	All
ASV_20	saliva
ASV_24	All
ASV_24	plaque
ASV_24	saliva
ASV_16	All
ASV_16	plaque
ASV_16	saliva
ASV_38	All
ASV_38	saliva
ASV_42	All
ASV_42	saliva
ASV_53	All
ASV_53	feces
ASV_207	All
ASV_207	plaque
ASV_207	saliva
ASV_48	All
ASV_48	saliva
ASV_34	All
ASV_34	plaque
ASV_34	saliva
ASV_63	All
ASV_63	feces
ASV_75	All
ASV_75	saliva
ASV_30	All
ASV_30	saliva
ASV_29	All
ASV_29	plaque
ASV_29	saliva
ASV_44	All
ASV_44	saliva
ASV_80	All
ASV_80	feces
ASV_28	All
ASV_28	feces
ASV_55	All
ASV_55	plaque
ASV_726	All
ASV_726	saliva
ASV_25	All
ASV_25	plaque
ASV_286	All
ASV_286	feces
ASV_95	All
ASV_95	saliva
ASV_26	All
ASV_26	plaque
ASV_26	saliva
ASV_77	All
ASV_77	plaque
ASV_394	All
ASV_394	feces
ASV_497	All
ASV_497	feces
ASV_185	All
ASV_185	feces
ASV_81	All
ASV_81	feces
ASV_51	All
