OTU	Group
ASV_36	All
ASV_36	HY3
ASV_3	All
ASV_3	HY2
ASV_1	All
ASV_1	HY3
ASV_8	All
ASV_8	HY1
ASV_8	HY2
ASV_10	All
ASV_10	HY1
ASV_10	HY2
ASV_4	All
ASV_4	HY1
ASV_4	HY2
ASV_6	All
ASV_6	HY2
ASV_12	All
ASV_12	HY2
ASV_13	All
ASV_13	HY3
ASV_18	All
ASV_18	HY1
ASV_9	All
ASV_9	HY2
ASV_7	All
ASV_7	HY3
ASV_14	All
ASV_14	HY1
ASV_14	HY2
ASV_15	All
ASV_15	HY2
ASV_17	All
ASV_17	HY1
ASV_17	HY2
ASV_11	All
ASV_11	HY3
ASV_133	All
ASV_133	HY1
ASV_133	HY2
ASV_20	All
ASV_20	HY2
ASV_16	All
ASV_16	HY1
ASV_16	HY2
ASV_19	All
ASV_19	HY1
ASV_19	HY2
ASV_24	All
ASV_24	HY3
ASV_25	All
ASV_25	HY3
ASV_50	All
ASV_50	HY3
ASV_22	All
ASV_22	HY1
ASV_23	All
ASV_23	HY3
ASV_68	All
ASV_68	HY1
ASV_68	HY2
ASV_21	All
ASV_21	HY2
ASV_48	All
ASV_48	HY3
ASV_29	All
ASV_29	HY3
ASV_26	All
ASV_26	HY1
ASV_54	All
ASV_54	HY2
ASV_61	All
ASV_61	HY1
ASV_61	HY2
ASV_32	All
ASV_32	HY1
ASV_243	All
ASV_243	HY1
ASV_243	HY2
ASV_28	All
ASV_28	HY3
ASV_34	All
ASV_34	HY1
ASV_31	All
ASV_31	HY1
ASV_31	HY2
ASV_49	All
ASV_49	HY1
ASV_49	HY2
ASV_39	All
ASV_39	HY3
ASV_44	All
ASV_44	HY2
ASV_187	All
ASV_187	HY1
ASV_187	HY2
ASV_30	All
ASV_30	HY1
ASV_30	HY2
ASV_43	All
ASV_43	HY1
ASV_62	All
ASV_62	HY2
ASV_40	All
ASV_40	HY2
ASV_52	All
ASV_52	HY3
ASV_46	All
ASV_46	HY1
ASV_33	All
ASV_33	HY3
ASV_283	All
ASV_283	HY2
ASV_81	All
ASV_81	HY1
ASV_237	All
ASV_237	HY1
ASV_237	HY2
ASV_51	All
ASV_51	HY3
ASV_57	All
ASV_57	HY3
ASV_27	All
ASV_27	HY3
ASV_139	All
ASV_139	HY1
ASV_139	HY2
ASV_47	All
ASV_47	HY2
ASV_37	All
ASV_37	HY3
ASV_71	All
ASV_71	HY3
ASV_63	All
ASV_63	HY1
ASV_60	All
ASV_60	HY2
ASV_55	All
ASV_55	HY3
ASV_58	All
ASV_58	HY1
ASV_252	All
ASV_252	HY1
ASV_42	All
ASV_42	HY3
ASV_64	All
ASV_64	HY3
ASV_186	All
ASV_186	HY1
ASV_186	HY2
ASV_70	All
ASV_70	HY2
ASV_162	All
ASV_162	HY2
ASV_227	All
ASV_227	HY1
ASV_227	HY2
ASV_158	All
ASV_158	HY2
ASV_104	All
ASV_104	HY3
ASV_59	All
ASV_59	HY2
ASV_107	All
ASV_107	HY1
ASV_107	HY2
ASV_66	All
ASV_66	HY1
ASV_69	All
ASV_69	HY1
ASV_69	HY2
ASV_88	All
ASV_88	HY1
ASV_88	HY2
ASV_77	All
ASV_77	HY1
ASV_242	All
ASV_242	HY1
ASV_203	All
ASV_203	HY3
ASV_248	All
ASV_248	HY1
ASV_248	HY2
ASV_246	All
ASV_246	HY1
ASV_45	All
ASV_45	HY2
ASV_85	All
ASV_85	HY1
ASV_72	All
ASV_72	HY2
ASV_73	All
ASV_73	HY2
ASV_304	All
ASV_304	HY3
ASV_151	All
ASV_151	HY1
ASV_124	All
ASV_124	HY2
ASV_215	All
ASV_215	HY1
ASV_102	All
ASV_102	HY2
ASV_153	All
ASV_153	HY1
ASV_118	All
ASV_118	HY2
ASV_105	All
ASV_105	HY3
ASV_201	All
ASV_201	HY3
ASV_319	All
ASV_319	HY3
ASV_146	All
ASV_146	HY3
ASV_86	All
ASV_86	HY2
ASV_202	All
ASV_202	HY3
ASV_89	All
ASV_89	HY2
ASV_150	All
ASV_150	HY3
ASV_172	All
ASV_172	HY3
ASV_317	All
ASV_317	HY3
ASV_74	All
ASV_74	HY3
ASV_87	All
ASV_87	HY2
ASV_95	All
ASV_95	HY2
ASV_321	All
ASV_321	HY3
ASV_117	All
ASV_117	HY2
ASV_136	All
ASV_136	HY2
ASV_115	All
ASV_115	HY2
ASV_232	All
ASV_232	HY1
ASV_316	All
ASV_316	HY3
ASV_122	All
ASV_122	HY2
ASV_121	All
ASV_121	HY1
ASV_299	All
ASV_299	HY3
ASV_171	All
ASV_171	HY3
ASV_286	All
ASV_286	HY3
ASV_214	All
ASV_214	HY3
ASV_80	All
ASV_80	HY2
ASV_101	All
ASV_101	HY3
ASV_208	All
ASV_208	HY3
ASV_99	All
ASV_99	HY1
ASV_183	All
ASV_183	HY1
ASV_302	All
ASV_302	HY3
ASV_164	All
ASV_164	HY2
ASV_134	All
ASV_134	HY2
ASV_148	All
ASV_148	HY3
ASV_269	All
ASV_269	HY2
ASV_90	All
ASV_90	HY2
ASV_119	All
ASV_119	HY2
ASV_314	All
ASV_314	HY3
ASV_82	All
ASV_82	HY3
ASV_285	All
ASV_285	HY3
ASV_83	All
ASV_83	HY1
ASV_93	All
ASV_93	HY2
ASV_120	All
ASV_120	HY1
ASV_235	All
ASV_235	HY1
ASV_257	All
ASV_257	HY2
ASV_130	All
ASV_130	HY2
ASV_98	All
ASV_98	HY3
ASV_113	All
ASV_113	HY1
ASV_230	All
ASV_230	HY1
ASV_195	All
ASV_195	HY2
ASV_111	All
ASV_111	HY3
ASV_196	All
ASV_196	HY2
ASV_129	HY2
ASV_91	All
ASV_91	HY3
ASV_267	HY2
ASV_307	HY3
ASV_140	HY1
ASV_276	HY2
ASV_192	HY2
ASV_100	HY1
ASV_198	HY2
ASV_206	HY3
ASV_127	HY1
ASV_173	HY1
ASV_259	HY2
ASV_106	HY1
ASV_128	HY1
ASV_135	HY2
ASV_179	HY1
ASV_78	HY1
ASV_156	HY1
ASV_233	HY1
ASV_79	HY2
ASV_312	HY3
ASV_189	HY2
ASV_188	HY1
