feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	LinDA	KO	WT	0.219999070102569	none	0.219999070102569
ko00564	LinDA	KO	WT	0.675106104720253	none	0.675106104720253
ko00680	LinDA	KO	WT	0.894587857011994	none	0.894587857011994
ko00562	LinDA	KO	WT	0.868796731429056	none	0.868796731429056
ko03030	LinDA	KO	WT	0.883817752559362	none	0.883817752559362
ko00561	LinDA	KO	WT	0.869752605013702	none	0.869752605013702
ko00440	LinDA	KO	WT	0.351935417482607	none	0.351935417482607
ko00250	LinDA	KO	WT	0.873228217709158	none	0.873228217709158
ko04062	LinDA	KO	WT	0.196875771590232	none	0.196875771590232
ko00740	LinDA	KO	WT	0.738954599190897	none	0.738954599190897
ko04664	LinDA	KO	WT	0.452597439542216	none	0.452597439542216
ko04940	LinDA	KO	WT	0.373615556087429	none	0.373615556087429
ko00010	LinDA	KO	WT	0.806696112225439	none	0.806696112225439
ko05412	LinDA	KO	WT	0.337668845044271	none	0.337668845044271
ko00195	LinDA	KO	WT	0.0179207972303659	none	0.0179207972303659
ko04650	LinDA	KO	WT	0.452597439542216	none	0.452597439542216
ko03450	LinDA	KO	WT	0.275878034984424	none	0.275878034984424
ko00760	LinDA	KO	WT	0.76854076696505	none	0.76854076696505
ko00920	LinDA	KO	WT	0.732241073903965	none	0.732241073903965
ko00311	LinDA	KO	WT	0.64552503267988	none	0.64552503267988
ko00310	LinDA	KO	WT	0.994326052124564	none	0.994326052124564
ko04146	LinDA	KO	WT	0.6941378755711	none	0.6941378755711
ko00600	LinDA	KO	WT	0.126414102608302	none	0.126414102608302
ko04141	LinDA	KO	WT	0.907347223796159	none	0.907347223796159
ko04142	LinDA	KO	WT	0.605377864254975	none	0.605377864254975
ko00604	LinDA	KO	WT	0.231219214839502	none	0.231219214839502
ko04260	LinDA	KO	WT	0.191706812682412	none	0.191706812682412
ko05142	LinDA	KO	WT	0.0284267715332888	none	0.0284267715332888
ko04540	LinDA	KO	WT	0.452597439542216	none	0.452597439542216
ko04712	LinDA	KO	WT	0.00535763227878613	none	0.00535763227878613
ko00909	LinDA	KO	WT	0.00937203279397284	none	0.00937203279397284
ko00513	LinDA	KO	WT	0.054260765393522	none	0.054260765393522
ko04973	LinDA	KO	WT	0.0593504502590061	none	0.0593504502590061
ko00510	LinDA	KO	WT	0.116998818578858	none	0.116998818578858
ko05110	LinDA	KO	WT	0.93101662904452	none	0.93101662904452
ko04974	LinDA	KO	WT	0.418397335784834	none	0.418397335784834
ko04976	LinDA	KO	WT	0.586734767339841	none	0.586734767339841
ko00450	LinDA	KO	WT	0.846592738829215	none	0.846592738829215
ko01051	LinDA	KO	WT	0.952248286457658	none	0.952248286457658
ko00565	LinDA	KO	WT	0.109176851161955	none	0.109176851161955
ko00524	LinDA	KO	WT	0.590816351220674	none	0.590816351220674
ko00300	LinDA	KO	WT	0.90734029233625	none	0.90734029233625
ko00905	LinDA	KO	WT	0.218045789425757	none	0.218045789425757
ko05222	LinDA	KO	WT	0.0956282512095825	none	0.0956282512095825
ko00514	LinDA	KO	WT	0.657866240168247	none	0.657866240168247
ko05416	LinDA	KO	WT	0.0970196828856552	none	0.0970196828856552
ko00260	LinDA	KO	WT	0.899377810606069	none	0.899377810606069
ko00190	LinDA	KO	WT	0.928065154511955	none	0.928065154511955
ko03440	LinDA	KO	WT	0.85306783376813	none	0.85306783376813
ko00750	LinDA	KO	WT	0.951045639598318	none	0.951045639598318
ko00950	LinDA	KO	WT	0.679370504953508	none	0.679370504953508
ko05140	LinDA	KO	WT	0.205773592823379	none	0.205773592823379
ko00592	LinDA	KO	WT	0.877313042238712	none	0.877313042238712
ko00591	LinDA	KO	WT	0.392246938149444	none	0.392246938149444
ko00590	LinDA	KO	WT	0.395264581949469	none	0.395264581949469
ko00062	LinDA	KO	WT	0.787062816974712	none	0.787062816974712
ko00061	LinDA	KO	WT	0.920135797825239	none	0.920135797825239
ko04662	LinDA	KO	WT	0.452597439542216	none	0.452597439542216
ko03070	LinDA	KO	WT	0.291506041517252	none	0.291506041517252
ko00253	LinDA	KO	WT	0.615728303810554	none	0.615728303810554
ko03060	LinDA	KO	WT	0.817677616504155	none	0.817677616504155
ko04370	LinDA	KO	WT	0.205773592823379	none	0.205773592823379
ko04740	LinDA	KO	WT	0.170610607796486	none	0.170610607796486
ko00380	LinDA	KO	WT	0.906794874374569	none	0.906794874374569
ko00500	LinDA	KO	WT	0.966003609259833	none	0.966003609259833
ko05120	LinDA	KO	WT	0.399172631153747	none	0.399172631153747
ko04666	LinDA	KO	WT	0.807052778113068	none	0.807052778113068
ko05322	LinDA	KO	WT	0.120731045624549	none	0.120731045624549
ko04964	LinDA	KO	WT	0.833645624953566	none	0.833645624953566
ko04960	LinDA	KO	WT	0.00219459992871443	none	0.00219459992871443
ko04660	LinDA	KO	WT	0.43224267834702	none	0.43224267834702
ko00625	LinDA	KO	WT	0.459031712400048	none	0.459031712400048
ko00624	LinDA	KO	WT	0.144407440349315	none	0.144407440349315
ko00627	LinDA	KO	WT	0.942715964897837	none	0.942715964897837
ko00626	LinDA	KO	WT	0.76714895497293	none	0.76714895497293
ko00621	LinDA	KO	WT	0.737151400399309	none	0.737151400399309
ko00620	LinDA	KO	WT	0.898997038387624	none	0.898997038387624
ko00623	LinDA	KO	WT	0.92242665196888	none	0.92242665196888
ko00622	LinDA	KO	WT	0.0599818673045186	none	0.0599818673045186
ko00270	LinDA	KO	WT	0.811771845410894	none	0.811771845410894
ko04380	LinDA	KO	WT	0.272833131344806	none	0.272833131344806
ko00940	LinDA	KO	WT	0.672237537224736	none	0.672237537224736
ko00941	LinDA	KO	WT	0.193699642969534	none	0.193699642969534
ko01053	LinDA	KO	WT	0.164682220359069	none	0.164682220359069
ko00943	LinDA	KO	WT	0.541508749321431	none	0.541508749321431
ko00100	LinDA	KO	WT	0.0085198958747582	none	0.0085198958747582
ko00945	LinDA	KO	WT	0.0794632146785856	none	0.0794632146785856
ko01057	LinDA	KO	WT	0.538727287837237	none	0.538727287837237
ko01056	LinDA	KO	WT	0.0206160196711178	none	0.0206160196711178
ko05016	LinDA	KO	WT	0.309979797307036	none	0.309979797307036
ko04145	LinDA	KO	WT	0.272833131344806	none	0.272833131344806
ko00071	LinDA	KO	WT	0.867005382144932	none	0.867005382144932
ko00072	LinDA	KO	WT	0.668199604526008	none	0.668199604526008
ko04360	LinDA	KO	WT	0.249155027546679	none	0.249155027546679
ko05219	LinDA	KO	WT	0.322548713114481	none	0.322548713114481
ko05215	LinDA	KO	WT	0.46911104399508	none	0.46911104399508
ko05214	LinDA	KO	WT	0.170270380402266	none	0.170270380402266
