OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	KEGG_Pathways
Amino Acid Metabolism	5309116.0	5411081.0	6129018.0	5838540.0	6468649.0	5916364.0	5038433.0	4963442.0	5168818.0	5015210.0	5394169.0	5040145.0	5725791.0	6284204.0	5795608.0	5839667.0	6194653.0	5750800.0	Metabolism; Amino Acid Metabolism
Biosynthesis of Other Secondary Metabolites	433321.0	481142.0	506989.0	484230.0	494045.0	484092.0	440938.0	436406.0	454241.0	423688.0	463299.0	443602.0	496664.0	518556.0	500994.0	501357.0	529883.0	490162.0	Metabolism; Biosynthesis of Other Secondary Metabolites
Cancers	66513.0	66363.0	79355.0	73603.0	83462.0	76629.0	65503.0	62706.0	62860.0	62228.0	70053.0	65198.0	68465.0	76956.0	71908.0	73252.0	76894.0	71488.0	Human Diseases; Cancers
Carbohydrate Metabolism	5001468.0	5111764.0	5756779.0	5504921.0	6100070.0	5530711.0	4730196.0	4649925.0	4873851.0	4709583.0	5077463.0	4735287.0	5426092.0	5958974.0	5447505.0	5509834.0	5873080.0	5395825.0	Metabolism; Carbohydrate Metabolism
Cardiovascular Diseases	7854.0	7723.0	10216.0	8818.0	10286.0	10004.0	8028.0	7074.0	6105.0	6620.0	8435.0	7581.0	6447.0	7149.0	7691.0	7957.0	7842.0	8143.0	Human Diseases; Cardiovascular Diseases
Cell Communication	362.0	359.0	212.0	213.0	201.0	266.0	525.0	339.0	397.0	311.0	389.0	441.0	388.0	286.0	428.0	295.0	318.0	403.0	Cellular Processes; Cell Communication
Cell Growth and Death	268772.0	255722.0	315208.0	294272.0	345365.0	306955.0	260453.0	243228.0	248911.0	246735.0	276919.0	256454.0	275478.0	317194.0	286641.0	287761.0	304333.0	284182.0	Cellular Processes; Cell Growth and Death
Cell Motility	1797853.0	1487975.0	1879272.0	1921809.0	2371661.0	2028119.0	1534538.0	1402035.0	1585605.0	1590326.0	1690176.0	1546712.0	1774421.0	2158124.0	1792793.0	1812309.0	1920938.0	1776056.0	Cellular Processes; Cell Motility
Cellular Processes and Signaling	1830686.0	1625340.0	1971484.0	1948627.0	2310872.0	2015132.0	1672319.0	1552254.0	1722736.0	1708000.0	1796471.0	1672719.0	1910345.0	2234361.0	1924131.0	1939236.0	2058340.0	1900737.0	Unclassified; Cellular Processes and Signaling
Circulatory System	31315.0	23364.0	32506.0	32487.0	42290.0	33751.0	24094.0	21462.0	25526.0	26579.0	27654.0	23856.0	28789.0	37117.0	29379.0	30601.0	31970.0	29894.0	Organismal Systems; Circulatory System
Digestive System	22620.0	22350.0	25093.0	25079.0	27207.0	24676.0	21356.0	21292.0	25792.0	22767.0	23796.0	22233.0	28306.0	31345.0	25756.0	26810.0	30251.0	24721.0	Organismal Systems; Digestive System
