#Sample	Metric	Value
KO1	Weighted NSTI	0.07905135361581567
KO2	Weighted NSTI	0.0859627997685728
KO3	Weighted NSTI	0.07561730740556113
KO4	Weighted NSTI	0.07480313267323675
KO5	Weighted NSTI	0.0676575256636886
KO6	Weighted NSTI	0.0792118034730392
OE1	Weighted NSTI	0.1172382817855861
OE2	Weighted NSTI	0.10353691557098858
OE3	Weighted NSTI	0.09185009611718777
OE4	Weighted NSTI	0.09030912521038831
OE5	Weighted NSTI	0.09874814076158223
OE6	Weighted NSTI	0.11236796534264433
WT1	Weighted NSTI	0.09341177778097343
WT2	Weighted NSTI	0.08641907564631647
WT3	Weighted NSTI	0.1022787260402298
WT4	Weighted NSTI	0.09005520421745794
WT5	Weighted NSTI	0.08896957600992988
WT6	Weighted NSTI	0.09056054467005258
