Genus	Name	Group	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Dorea	Dorea	genus	0.012048193	0.020334928	0.012108981	0.038860104	0.036458333	0.048929664	0	0	0	0	0.000523834	0	0	0	0	0	0	0
Alloprevotella	Alloprevotella	genus	0	0	0	0	0	0	0.011752506	0.035629454	0.008742434	0.020140987	0.020953379	0.007079646	0.008241758	0.003159558	0.010410642	0.00207555	0	0.011598588
Tannerella	Tannerella	genus	0	0	0	0	0	0	0.024541998	0.005938242	0.012777404	0.007049345	0.01990571	0.021238938	0.028159341	0	0.004048583	0.0041511	0.002300966	0.008572869
Peptostreptococcus	Peptostreptococcus	genus	0	0	0	0	0	0	0.002765296	0.033254157	0.004707465	0.01611279	0.00942902	0.030088496	0.022664835	0.000526593	0.001735107	0.00249066	0.00276116	0.000504286
Campylobacter	Campylobacter	genus	0	0	0	0	0	0	0.014863464	0.002375297	0.016812374	0.003021148	0.023572551	0.001769912	0.030906593	0.000526593	0.003470214	0.00664176	0.003221353	0.004034291
Coprococcus	Coprococcus	genus	0.012048193	0.027511962	0.06407669	0.007772021	0.001041667	0.003058104	0	0	0	0	0	0	0	0	0	0	0	0
Capnocytophaga	Capnocytophaga	genus	0	0	0	0	0	0	0.015554787	0.002375297	0.000672495	0	0.005238345	0.001769912	0.01717033	0.004212744	0.014459225	0.0124533	0.007363092	0.018154312
Holdemanella	Holdemanella	genus	0	0	0.016145308	0.027202073	0.052083333	0	0	0	0	0	0	0	0	0	0	0	0	0
Mediterraneibacter	Mediterraneibacter	genus	0.011121409	0.038277512	0.002522704	0.001295337	0.051041667	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptococcus	Peptococcus	genus	0	0	0	0	0	0	0.006913239	0	0.00537996	0.020140987	0.011000524	0.038938053	0	0	0.000578369	0	0.000460193	0
Butyrivibrio	Butyrivibrio	genus	0	0	0.075176589	0	0	0	0	0	0.004707465	0	0	0	0	0	0	0	0	0.000504286
Catonella	Catonella	genus	0	0	0	0	0	0	0.014517802	0.001187648	0.00403497	0.011077543	0.006809848	0.028318584	0.007554945	0.001579779	0.001735107	0.00041511	0.00138058	0.000504286
TM7x	TM7x	genus	0	0	0	0	0	0	0.016246111	0	0.00268998	0	0.001047669	0	0.002747253	0	0.006940428	0.00166044	0.005522319	0.040847201
Oribacterium	Oribacterium	genus	0	0	0	0	0	0	0.004147943	0.001187648	0.00134499	0.033232628	0.008905186	0	0.001373626	0.004739336	0.004048583	0.00581154	0.00138058	0.010085729
UCG-002	UCG-002	genus	0.094531974	0.007177033	0.055499495	0.002590674	0.001041667	0.003058104	0	0	0	0	0	0	0	0	0	0	0	0
Rikenellaceae RC9 gut group	Rikenellaceae RC9 gut group	genus	0	0.025119617	0.01765893	0	0	0	0.006221915	0	0.00134499	0	0.003143007	0	0.013049451	0	0.000578369	0	0	0
Prevotellaceae NK3B31 group	Prevotellaceae NK3B31 group	genus	0	0.038277512	0	0.028497409	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseburia	Roseburia	genus	0.006487488	0	0.020181635	0	0.001041667	0.003058104	0.001382648	0	0.00268998	0	0.006286014	0.017699115	0.006868132	0	0	0	0	0
[Eubacterium] brachy group	[Eubacterium] brachy group	genus	0	0	0	0	0	0	0.011061182	0.017814727	0.008742434	0.012084592	0.002619172	0.001769912	0	0.000526593	0	0	0.000460193	0.000504286
Schaalia	Schaalia	genus	0	0	0	0	0	0	0	0.002375297	0.00134499	0.001007049	0	0.017699115	0.002747253	0.000526593	0.004048583	0.00539643	0.009203866	0.011094302
Pseudoleptotrichia	Pseudoleptotrichia	genus	0	0	0	0	0	0	0	0	0.000672495	0	0	0	0	0.002106372	0.002313476	0.00747198	0.005062126	0.036308623
