jaccard_binary	KO1	KO2	OE1	OE6	OE5	OE2	WT3	WT6	OE4	OE3	WT1	WT4	KO6	WT2	WT5	KO4	KO3	KO5
KO1	0	0.253	0.250	0.243	0.266	0.244	0.259	0.240	0.246	0.278	0.270	0.277	0.291	0.310	0.306	0.328	0.338	0.345
KO2	0.253	0	0.248	0.233	0.247	0.242	0.260	0.248	0.262	0.274	0.264	0.283	0.284	0.287	0.309	0.305	0.331	0.355
OE1	0.250	0.248	0	0.196	0.230	0.224	0.234	0.238	0.228	0.236	0.254	0.254	0.290	0.300	0.293	0.333	0.345	0.374
OE6	0.243	0.233	0.196	0	0.197	0.198	0.219	0.228	0.224	0.225	0.234	0.243	0.281	0.281	0.286	0.310	0.326	0.355
OE5	0.266	0.247	0.230	0.197	0	0.200	0.224	0.223	0.239	0.247	0.251	0.249	0.267	0.274	0.278	0.309	0.329	0.326
OE2	0.244	0.242	0.224	0.198	0.200	0	0.222	0.245	0.231	0.241	0.242	0.244	0.286	0.277	0.275	0.312	0.332	0.345
WT3	0.259	0.260	0.234	0.219	0.224	0.222	0	0.237	0.239	0.252	0.257	0.257	0.291	0.291	0.288	0.312	0.336	0.368
WT6	0.240	0.248	0.238	0.228	0.223	0.245	0.237	0	0.235	0.271	0.261	0.258	0.290	0.282	0.281	0.306	0.342	0.348
OE4	0.246	0.262	0.228	0.224	0.239	0.231	0.239	0.235	0	0.242	0.256	0.263	0.290	0.300	0.287	0.311	0.337	0.369
OE3	0.278	0.274	0.236	0.225	0.247	0.241	0.252	0.271	0.242	0	0.256	0.284	0.305	0.308	0.302	0.333	0.351	0.382
WT1	0.270	0.264	0.254	0.234	0.251	0.242	0.257	0.261	0.256	0.256	0	0.267	0.306	0.298	0.291	0.327	0.351	0.374
WT4	0.277	0.283	0.254	0.243	0.249	0.244	0.257	0.258	0.263	0.284	0.267	0	0.291	0.305	0.306	0.315	0.346	0.356
KO6	0.291	0.284	0.290	0.281	0.267	0.286	0.291	0.290	0.290	0.305	0.306	0.291	0	0.332	0.308	0.320	0.354	0.353
WT2	0.310	0.287	0.300	0.281	0.274	0.277	0.291	0.282	0.300	0.308	0.298	0.305	0.332	0	0.311	0.336	0.370	0.380
WT5	0.306	0.309	0.293	0.286	0.278	0.275	0.288	0.281	0.287	0.302	0.291	0.306	0.308	0.311	0	0.340	0.359	0.374
KO4	0.328	0.305	0.333	0.310	0.309	0.312	0.312	0.306	0.311	0.333	0.327	0.315	0.320	0.336	0.340	0	0.349	0.376
KO3	0.338	0.331	0.345	0.326	0.329	0.332	0.336	0.342	0.337	0.351	0.351	0.346	0.354	0.370	0.359	0.349	0	0.361
KO5	0.345	0.355	0.374	0.355	0.326	0.345	0.368	0.348	0.369	0.382	0.374	0.356	0.353	0.380	0.374	0.376	0.361	0
