ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1	-0.456	16.009	0.0411255411255411	0.230596784168213	NotSig	3.757	5.155	3.903	4.897	3.94	2.912	3.732	3.159	6.237	6.593	4.691	5.414	3.82	4.176
ASV_2	-0.337	15.275	0.17965367965368	0.494835573782942	NotSig	2.602	3.286	1.97	1.486	3.513	3.83	2.833	1.978	3.418	3.883	2.291	3.017	3.966	3.14
ASV_3	-0.417	15.511	0.132034632034632	0.460654160654161	NotSig	2.341	3.125	1.869	1.375	3.052	3.139	2.509	2.1	2.78	4.671	2.782	3.246	3.21	2.061
ASV_4	-0.635	15.201	0.132034632034632	0.460654160654161	NotSig	1.637	2.543	1.585	1.775	1.266	1.882	1.982	1.333	2.999	3.766	1.493	1.561	2.962	2.475
ASV_6	-0.472	13.86	0.00216450216450216	0.0485466914038343	Depleted	0.99	1.373	0.754	0.752	1.056	1.151	1.133	1.094	1.487	1.397	1.256	1.458	1.318	1.32
ASV_8	0.254	15.474	0.818181818181818	0.94451871657754	NotSig	2.114	1.772	1.031	1.609	4.552	2.364	1.52	1.608	1.693	1.984	1.51	2.849	1.217	1.379
ASV_7	-0.175	15.149	0.818181818181818	0.94451871657754	NotSig	1.542	1.741	0.4	3.634	2.406	1.539	0.585	0.685	2.133	2.39	1.493	0.582	1.545	2.3
ASV_9	-0.002	14.294	0.937229437229437	0.987550480839071	NotSig	1.358	1.36	0.902	1.33	1.834	1.188	1.655	1.24	1.57	0.845	1.199	1.163	2.008	1.374
ASV_10	-0.285	13.898	0.484848484848485	0.827404479578393	NotSig	0.814	0.991	0.61	0.532	0.811	0.848	1.211	0.869	0.884	1.527	0.677	0.709	1.396	0.754
ASV_11	-0.143	13.827	0.818181818181818	0.94451871657754	NotSig	1.028	1.134	1.453	1.128	0.704	1.267	1.034	0.58	1.124	1.295	1.379	1.115	0.866	1.028
ASV_13	-0.042	13.914	0.937229437229437	0.987550480839071	NotSig	1.07	1.101	0.529	1.543	1.379	0.9	1.484	0.586	1.02	0.749	1.152	0.76	1.54	1.388
ASV_15	0.181	13.564	0.393939393939394	0.763561541339319	NotSig	0.998	0.88	1.139	0.921	0.808	0.764	1.211	1.143	0.785	0.707	0.849	0.99	0.962	0.985
