#OTU ID	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1
OTU_1	2	0	0	0	0	0	0	0	0	0	0	0
OTU_1000	0	0	2	0	0	1	0	0	0	0	0	0
OTU_1001	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1002	0	0	2	0	0	0	0	0	0	0	0	0
OTU_1005	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1006	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1007	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1008	0	0	1	0	0	0	0	0	0	0	0	0
OTU_101	1	0	0	0	0	0	0	0	0	0	0	0
OTU_1010	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1011	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1012	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1013	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1014	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1015	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1017	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1018	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1019	0	0	1	0	1	0	0	1	0	0	0	0
OTU_1020	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1021	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1022	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1023	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1024	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1025	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1026	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1027	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1028	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1029	0	0	1	0	0	0	0	0	0	0	0	0
OTU_103	1	0	0	0	0	0	0	0	0	0	0	0
OTU_1030	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1031	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1033	0	0	1	0	0	0	0	0	0	0	0	0
