unifrac	KO1	KO6	KO4	WT2	OE1	OE6	OE5	WT3	WT6	WT4	WT1	WT5	OE3	OE4	KO3	OE2	KO2	KO5
KO1	0	0.0831	0.111	0.123	0.181	0.163	0.126	0.145	0.145	0.146	0.172	0.150	0.178	0.141	0.159	0.225	0.179	0.191
KO6	0.0831	0	0.106	0.159	0.223	0.208	0.165	0.199	0.189	0.190	0.216	0.174	0.225	0.184	0.152	0.268	0.216	0.164
KO4	0.111	0.106	0	0.146	0.225	0.211	0.146	0.159	0.150	0.150	0.166	0.132	0.205	0.182	0.136	0.227	0.192	0.180
WT2	0.123	0.159	0.146	0	0.243	0.221	0.168	0.161	0.145	0.144	0.127	0.126	0.166	0.150	0.187	0.218	0.220	0.204
OE1	0.181	0.223	0.225	0.243	0	0.0914	0.139	0.137	0.162	0.183	0.222	0.226	0.189	0.167	0.247	0.176	0.185	0.342
OE6	0.163	0.208	0.211	0.221	0.0914	0	0.106	0.126	0.137	0.161	0.203	0.186	0.173	0.149	0.219	0.155	0.172	0.313
OE5	0.126	0.165	0.146	0.168	0.139	0.106	0	0.0795	0.0763	0.102	0.138	0.117	0.136	0.133	0.159	0.150	0.149	0.261
WT3	0.145	0.199	0.159	0.161	0.137	0.126	0.0795	0	0.068	0.0897	0.114	0.131	0.133	0.130	0.182	0.145	0.141	0.289
WT6	0.145	0.189	0.150	0.145	0.162	0.137	0.0763	0.068	0	0.0975	0.112	0.0999	0.124	0.121	0.147	0.136	0.153	0.259
WT4	0.146	0.190	0.150	0.144	0.183	0.161	0.102	0.0897	0.0975	0	0.117	0.113	0.129	0.132	0.175	0.175	0.159	0.279
WT1	0.172	0.216	0.166	0.127	0.222	0.203	0.138	0.114	0.112	0.117	0	0.097	0.141	0.134	0.177	0.153	0.155	0.283
WT5	0.150	0.174	0.132	0.126	0.226	0.186	0.117	0.131	0.0999	0.113	0.097	0	0.150	0.131	0.135	0.169	0.174	0.237
OE3	0.178	0.225	0.205	0.166	0.189	0.173	0.136	0.133	0.124	0.129	0.141	0.150	0	0.108	0.183	0.163	0.211	0.292
OE4	0.141	0.184	0.182	0.150	0.167	0.149	0.133	0.130	0.121	0.132	0.134	0.131	0.108	0	0.179	0.160	0.205	0.255
KO3	0.159	0.152	0.136	0.187	0.247	0.219	0.159	0.182	0.147	0.175	0.177	0.135	0.183	0.179	0	0.211	0.206	0.206
OE2	0.225	0.268	0.227	0.218	0.176	0.155	0.150	0.145	0.136	0.175	0.153	0.169	0.163	0.160	0.211	0	0.162	0.334
KO2	0.179	0.216	0.192	0.220	0.185	0.172	0.149	0.141	0.153	0.159	0.155	0.174	0.211	0.205	0.206	0.162	0	0.333
KO5	0.191	0.164	0.180	0.204	0.342	0.313	0.261	0.289	0.259	0.279	0.283	0.237	0.292	0.255	0.206	0.334	0.333	0
