bray_curtis	KO1	KO6	KO4	OE1	OE6	OE3	OE4	OE5	WT6	WT3	WT1	WT2	WT4	WT5	OE2	KO2	KO3	KO5
KO1	0	0.256	0.278	0.317	0.293	0.316	0.287	0.275	0.285	0.299	0.302	0.317	0.306	0.319	0.351	0.285	0.326	0.334
KO6	0.256	0	0.268	0.378	0.347	0.348	0.327	0.314	0.337	0.340	0.340	0.347	0.337	0.330	0.399	0.315	0.324	0.331
KO4	0.278	0.268	0	0.390	0.376	0.351	0.338	0.321	0.331	0.347	0.331	0.333	0.345	0.332	0.400	0.345	0.324	0.331
OE1	0.317	0.378	0.390	0	0.238	0.317	0.297	0.266	0.280	0.261	0.336	0.369	0.321	0.368	0.294	0.323	0.421	0.473
OE6	0.293	0.347	0.376	0.238	0	0.304	0.285	0.258	0.287	0.278	0.329	0.374	0.312	0.355	0.303	0.312	0.400	0.460
OE3	0.316	0.348	0.351	0.317	0.304	0	0.248	0.280	0.270	0.285	0.278	0.314	0.298	0.311	0.306	0.332	0.363	0.426
OE4	0.287	0.327	0.338	0.297	0.285	0.248	0	0.255	0.261	0.264	0.275	0.297	0.274	0.295	0.297	0.329	0.363	0.394
OE5	0.275	0.314	0.321	0.266	0.258	0.280	0.255	0	0.227	0.234	0.271	0.304	0.259	0.273	0.277	0.285	0.352	0.389
WT6	0.285	0.337	0.331	0.280	0.287	0.270	0.261	0.227	0	0.230	0.254	0.296	0.271	0.269	0.270	0.302	0.335	0.384
WT3	0.299	0.340	0.347	0.261	0.278	0.285	0.264	0.234	0.230	0	0.271	0.296	0.255	0.310	0.283	0.287	0.372	0.409
WT1	0.302	0.340	0.331	0.336	0.329	0.278	0.275	0.271	0.254	0.271	0	0.252	0.280	0.282	0.303	0.294	0.378	0.389
WT2	0.317	0.347	0.333	0.369	0.374	0.314	0.297	0.304	0.296	0.296	0.252	0	0.273	0.287	0.372	0.337	0.362	0.362
WT4	0.306	0.337	0.345	0.321	0.312	0.298	0.274	0.259	0.271	0.255	0.280	0.273	0	0.311	0.337	0.293	0.356	0.409
WT5	0.319	0.330	0.332	0.368	0.355	0.311	0.295	0.273	0.269	0.310	0.282	0.287	0.311	0	0.347	0.340	0.354	0.362
OE2	0.351	0.399	0.400	0.294	0.303	0.306	0.297	0.277	0.270	0.283	0.303	0.372	0.337	0.347	0	0.324	0.405	0.446
KO2	0.285	0.315	0.345	0.323	0.312	0.332	0.329	0.285	0.302	0.287	0.294	0.337	0.293	0.340	0.324	0	0.365	0.438
KO3	0.326	0.324	0.324	0.421	0.400	0.363	0.363	0.352	0.335	0.372	0.378	0.362	0.356	0.354	0.405	0.365	0	0.340
KO5	0.334	0.331	0.331	0.473	0.460	0.426	0.394	0.389	0.384	0.409	0.389	0.362	0.409	0.362	0.446	0.438	0.340	0
