euclidean	KO1	OE1	OE6	OE2	OE5	OE3	WT3	OE4	WT6	WT4	KO2	WT1	WT5	KO6	WT2	KO4	KO3	KO5
KO1	0	25.3	25.0	25.3	26.0	26.0	26.0	26.4	25.8	27.0	26.5	26.6	28.6	27.3	28.8	29.1	30.2	31.4
OE1	25.3	0	21.9	23.0	23.2	24.0	24.2	24.7	25.0	25.3	26.4	26.1	27.9	28.0	28.4	29.9	31.6	32.6
OE6	25.0	21.9	0	23.0	23.2	23.6	24.1	24.4	24.7	25.0	25.1	25.4	27.7	27.9	28.3	29.7	30.6	32.4
OE2	25.3	23.0	23.0	0	23.7	24.9	24.1	25.2	24.5	25.6	25.6	25.7	27.9	27.5	28.2	29.5	30.5	31.9
OE5	26.0	23.2	23.2	23.7	0	24.9	24.1	25.5	24.8	25.2	25.9	25.5	26.9	27.3	28.5	29.5	30.5	31.0
OE3	26.0	24.0	23.6	24.9	24.9	0	24.8	25.7	25.6	26.2	26.5	26.0	28.2	28.3	28.1	29.8	30.9	31.9
WT3	26.0	24.2	24.1	24.1	24.1	24.8	0	25.5	24.7	25.6	26.0	26.2	26.8	27.6	28.0	29.3	30.1	31.4
OE4	26.4	24.7	24.4	25.2	25.5	25.7	25.5	0	26.2	25.8	27.4	26.8	28.2	28.3	28.4	29.1	31.3	31.7
WT6	25.8	25.0	24.7	24.5	24.8	25.6	24.7	26.2	0	25.3	26.1	26.9	27.2	28.0	28.5	28.9	29.9	30.7
WT4	27.0	25.3	25.0	25.6	25.2	26.2	25.6	25.8	25.3	0	27.3	26.7	27.5	27.8	28.6	29.8	30.2	31.3
KO2	26.5	26.4	25.1	25.6	25.9	26.5	26.0	27.4	26.1	27.3	0	27.0	29.1	27.8	29.2	29.4	30.2	31.6
WT1	26.6	26.1	25.4	25.7	25.5	26.0	26.2	26.8	26.9	26.7	27.0	0	27.9	28.4	27.5	29.7	30.8	31.7
WT5	28.6	27.9	27.7	27.9	26.9	28.2	26.8	28.2	27.2	27.5	29.1	27.9	0	29.2	28.7	29.7	30.9	30.9
KO6	27.3	28.0	27.9	27.5	27.3	28.3	27.6	28.3	28.0	27.8	27.8	28.4	29.2	0	29.8	28.4	29.7	29.9
WT2	28.8	28.4	28.3	28.2	28.5	28.1	28.0	28.4	28.5	28.6	29.2	27.5	28.7	29.8	0	29.4	30.3	30.8
KO4	29.1	29.9	29.7	29.5	29.5	29.8	29.3	29.1	28.9	29.8	29.4	29.7	29.7	28.4	29.4	0	29.9	30.2
KO3	30.2	31.6	30.6	30.5	30.5	30.9	30.1	31.3	29.9	30.2	30.2	30.8	30.9	29.7	30.3	29.9	0	30.2
KO5	31.4	32.6	32.4	31.9	31.0	31.9	31.4	31.7	30.7	31.3	31.6	31.7	30.9	29.9	30.8	30.2	30.2	0
