bray_curtis_binary	KO1	OE1	OE6	OE2	OE5	OE3	WT3	OE4	WT6	WT4	KO2	WT1	WT5	KO6	WT2	KO4	KO3	KO5
KO1	0	0.130	0.127	0.132	0.141	0.143	0.142	0.146	0.141	0.155	0.151	0.152	0.182	0.165	0.186	0.194	0.213	0.237
OE1	0.130	0	0.0943	0.105	0.108	0.117	0.118	0.123	0.126	0.131	0.143	0.140	0.166	0.167	0.174	0.196	0.222	0.244
OE6	0.127	0.0943	0	0.105	0.108	0.113	0.117	0.120	0.124	0.128	0.130	0.134	0.163	0.165	0.173	0.194	0.208	0.242
OE2	0.132	0.105	0.105	0	0.114	0.126	0.118	0.129	0.123	0.135	0.137	0.137	0.167	0.163	0.173	0.193	0.210	0.236
OE5	0.141	0.108	0.108	0.114	0	0.129	0.120	0.134	0.127	0.133	0.141	0.137	0.158	0.163	0.179	0.196	0.212	0.226
OE3	0.143	0.117	0.113	0.126	0.129	0	0.128	0.137	0.137	0.145	0.150	0.144	0.174	0.177	0.176	0.202	0.221	0.242
WT3	0.142	0.118	0.117	0.118	0.120	0.128	0	0.135	0.127	0.137	0.142	0.145	0.157	0.166	0.173	0.194	0.207	0.233
OE4	0.146	0.123	0.120	0.129	0.134	0.137	0.135	0	0.144	0.140	0.160	0.153	0.174	0.175	0.179	0.192	0.226	0.238
WT6	0.141	0.126	0.124	0.123	0.127	0.137	0.127	0.144	0	0.135	0.145	0.155	0.163	0.173	0.182	0.191	0.207	0.224
WT4	0.155	0.131	0.128	0.135	0.133	0.145	0.137	0.140	0.135	0	0.160	0.154	0.169	0.172	0.184	0.204	0.212	0.236
KO2	0.151	0.143	0.130	0.137	0.141	0.150	0.142	0.160	0.145	0.160	0	0.158	0.189	0.173	0.193	0.201	0.215	0.242
WT1	0.152	0.140	0.134	0.137	0.137	0.144	0.145	0.153	0.155	0.154	0.158	0	0.174	0.181	0.172	0.205	0.223	0.245
WT5	0.182	0.166	0.163	0.167	0.158	0.174	0.157	0.174	0.163	0.169	0.189	0.174	0	0.198	0.193	0.212	0.233	0.240
KO6	0.165	0.167	0.165	0.163	0.163	0.177	0.166	0.175	0.173	0.172	0.173	0.181	0.198	0	0.209	0.194	0.215	0.226
WT2	0.186	0.174	0.173	0.173	0.179	0.176	0.173	0.179	0.182	0.184	0.193	0.172	0.193	0.209	0	0.211	0.228	0.242
KO4	0.194	0.196	0.194	0.193	0.196	0.202	0.194	0.192	0.191	0.204	0.201	0.205	0.212	0.194	0.211	0	0.227	0.239
KO3	0.213	0.222	0.208	0.210	0.212	0.221	0.207	0.226	0.207	0.212	0.215	0.223	0.233	0.215	0.228	0.227	0	0.243
KO5	0.237	0.244	0.242	0.236	0.226	0.242	0.233	0.238	0.224	0.236	0.242	0.245	0.240	0.226	0.242	0.239	0.243	0
