euclidean	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	26.5	30.2	29.1	31.4	27.3	25.3	25.3	26.0	26.4	26.0	25.0	26.6	28.8	26.0	27.0	28.6	25.8
KO2	26.5	0	30.2	29.4	31.6	27.8	26.4	25.6	26.5	27.4	25.9	25.1	27.0	29.2	26.0	27.3	29.1	26.1
KO3	30.2	30.2	0	29.9	30.2	29.7	31.6	30.5	30.9	31.3	30.5	30.6	30.8	30.3	30.1	30.2	30.9	29.9
KO4	29.1	29.4	29.9	0	30.2	28.4	29.9	29.5	29.8	29.1	29.5	29.7	29.7	29.4	29.3	29.8	29.7	28.9
KO5	31.4	31.6	30.2	30.2	0	29.9	32.6	31.9	31.9	31.7	31.0	32.4	31.7	30.8	31.4	31.3	30.9	30.7
KO6	27.3	27.8	29.7	28.4	29.9	0	28.0	27.5	28.3	28.3	27.3	27.9	28.4	29.8	27.6	27.8	29.2	28.0
OE1	25.3	26.4	31.6	29.9	32.6	28.0	0	23.0	24.0	24.7	23.2	21.9	26.1	28.4	24.2	25.3	27.9	25.0
OE2	25.3	25.6	30.5	29.5	31.9	27.5	23.0	0	24.9	25.2	23.7	23.0	25.7	28.2	24.1	25.6	27.9	24.5
OE3	26.0	26.5	30.9	29.8	31.9	28.3	24.0	24.9	0	25.7	24.9	23.6	26.0	28.1	24.8	26.2	28.2	25.6
OE4	26.4	27.4	31.3	29.1	31.7	28.3	24.7	25.2	25.7	0	25.5	24.4	26.8	28.4	25.5	25.8	28.2	26.2
OE5	26.0	25.9	30.5	29.5	31.0	27.3	23.2	23.7	24.9	25.5	0	23.2	25.5	28.5	24.1	25.2	26.9	24.8
OE6	25.0	25.1	30.6	29.7	32.4	27.9	21.9	23.0	23.6	24.4	23.2	0	25.4	28.3	24.1	25.0	27.7	24.7
WT1	26.6	27.0	30.8	29.7	31.7	28.4	26.1	25.7	26.0	26.8	25.5	25.4	0	27.5	26.2	26.7	27.9	26.9
WT2	28.8	29.2	30.3	29.4	30.8	29.8	28.4	28.2	28.1	28.4	28.5	28.3	27.5	0	28.0	28.6	28.7	28.5
WT3	26.0	26.0	30.1	29.3	31.4	27.6	24.2	24.1	24.8	25.5	24.1	24.1	26.2	28.0	0	25.6	26.8	24.7
WT4	27.0	27.3	30.2	29.8	31.3	27.8	25.3	25.6	26.2	25.8	25.2	25.0	26.7	28.6	25.6	0	27.5	25.3
WT5	28.6	29.1	30.9	29.7	30.9	29.2	27.9	27.9	28.2	28.2	26.9	27.7	27.9	28.7	26.8	27.5	0	27.2
WT6	25.8	26.1	29.9	28.9	30.7	28.0	25.0	24.5	25.6	26.2	24.8	24.7	26.9	28.5	24.7	25.3	27.2	0
