bray_curtis	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.285	0.326	0.278	0.334	0.256	0.317	0.351	0.316	0.287	0.275	0.293	0.302	0.317	0.299	0.306	0.319	0.285
KO2	0.285	0	0.365	0.345	0.438	0.315	0.323	0.324	0.332	0.329	0.285	0.312	0.294	0.337	0.287	0.293	0.340	0.302
KO3	0.326	0.365	0	0.324	0.340	0.324	0.421	0.405	0.363	0.363	0.352	0.400	0.378	0.362	0.372	0.356	0.354	0.335
KO4	0.278	0.345	0.324	0	0.331	0.268	0.390	0.400	0.351	0.338	0.321	0.376	0.331	0.333	0.347	0.345	0.332	0.331
KO5	0.334	0.438	0.340	0.331	0	0.331	0.473	0.446	0.426	0.394	0.389	0.460	0.389	0.362	0.409	0.409	0.362	0.384
KO6	0.256	0.315	0.324	0.268	0.331	0	0.378	0.399	0.348	0.327	0.314	0.347	0.340	0.347	0.340	0.337	0.330	0.337
OE1	0.317	0.323	0.421	0.390	0.473	0.378	0	0.294	0.317	0.297	0.266	0.238	0.336	0.369	0.261	0.321	0.368	0.280
OE2	0.351	0.324	0.405	0.400	0.446	0.399	0.294	0	0.306	0.297	0.277	0.303	0.303	0.372	0.283	0.337	0.347	0.270
OE3	0.316	0.332	0.363	0.351	0.426	0.348	0.317	0.306	0	0.248	0.280	0.304	0.278	0.314	0.285	0.298	0.311	0.270
OE4	0.287	0.329	0.363	0.338	0.394	0.327	0.297	0.297	0.248	0	0.255	0.285	0.275	0.297	0.264	0.274	0.295	0.261
OE5	0.275	0.285	0.352	0.321	0.389	0.314	0.266	0.277	0.280	0.255	0	0.258	0.271	0.304	0.234	0.259	0.273	0.227
OE6	0.293	0.312	0.400	0.376	0.460	0.347	0.238	0.303	0.304	0.285	0.258	0	0.329	0.374	0.278	0.312	0.355	0.287
WT1	0.302	0.294	0.378	0.331	0.389	0.340	0.336	0.303	0.278	0.275	0.271	0.329	0	0.252	0.271	0.280	0.282	0.254
WT2	0.317	0.337	0.362	0.333	0.362	0.347	0.369	0.372	0.314	0.297	0.304	0.374	0.252	0	0.296	0.273	0.287	0.296
WT3	0.299	0.287	0.372	0.347	0.409	0.340	0.261	0.283	0.285	0.264	0.234	0.278	0.271	0.296	0	0.255	0.310	0.230
WT4	0.306	0.293	0.356	0.345	0.409	0.337	0.321	0.337	0.298	0.274	0.259	0.312	0.280	0.273	0.255	0	0.311	0.271
WT5	0.319	0.340	0.354	0.332	0.362	0.330	0.368	0.347	0.311	0.295	0.273	0.355	0.282	0.287	0.310	0.311	0	0.269
WT6	0.285	0.302	0.335	0.331	0.384	0.337	0.280	0.270	0.270	0.261	0.227	0.287	0.254	0.296	0.230	0.271	0.269	0
