unifrac	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.179	0.159	0.111	0.191	0.0831	0.181	0.225	0.178	0.141	0.126	0.163	0.172	0.123	0.145	0.146	0.150	0.145
KO2	0.179	0	0.206	0.192	0.333	0.216	0.185	0.162	0.211	0.205	0.149	0.172	0.155	0.220	0.141	0.159	0.174	0.153
KO3	0.159	0.206	0	0.136	0.206	0.152	0.247	0.211	0.183	0.179	0.159	0.219	0.177	0.187	0.182	0.175	0.135	0.147
KO4	0.111	0.192	0.136	0	0.180	0.106	0.225	0.227	0.205	0.182	0.146	0.211	0.166	0.146	0.159	0.150	0.132	0.150
KO5	0.191	0.333	0.206	0.180	0	0.164	0.342	0.334	0.292	0.255	0.261	0.313	0.283	0.204	0.289	0.279	0.237	0.259
KO6	0.0831	0.216	0.152	0.106	0.164	0	0.223	0.268	0.225	0.184	0.165	0.208	0.216	0.159	0.199	0.190	0.174	0.189
OE1	0.181	0.185	0.247	0.225	0.342	0.223	0	0.176	0.189	0.167	0.139	0.0914	0.222	0.243	0.137	0.183	0.226	0.162
OE2	0.225	0.162	0.211	0.227	0.334	0.268	0.176	0	0.163	0.160	0.150	0.155	0.153	0.218	0.145	0.175	0.169	0.136
OE3	0.178	0.211	0.183	0.205	0.292	0.225	0.189	0.163	0	0.108	0.136	0.173	0.141	0.166	0.133	0.129	0.150	0.124
OE4	0.141	0.205	0.179	0.182	0.255	0.184	0.167	0.160	0.108	0	0.133	0.149	0.134	0.150	0.130	0.132	0.131	0.121
OE5	0.126	0.149	0.159	0.146	0.261	0.165	0.139	0.150	0.136	0.133	0	0.106	0.138	0.168	0.0795	0.102	0.117	0.0763
OE6	0.163	0.172	0.219	0.211	0.313	0.208	0.0914	0.155	0.173	0.149	0.106	0	0.203	0.221	0.126	0.161	0.186	0.137
WT1	0.172	0.155	0.177	0.166	0.283	0.216	0.222	0.153	0.141	0.134	0.138	0.203	0	0.127	0.114	0.117	0.097	0.112
WT2	0.123	0.220	0.187	0.146	0.204	0.159	0.243	0.218	0.166	0.150	0.168	0.221	0.127	0	0.161	0.144	0.126	0.145
WT3	0.145	0.141	0.182	0.159	0.289	0.199	0.137	0.145	0.133	0.130	0.0795	0.126	0.114	0.161	0	0.0897	0.131	0.068
WT4	0.146	0.159	0.175	0.150	0.279	0.190	0.183	0.175	0.129	0.132	0.102	0.161	0.117	0.144	0.0897	0	0.113	0.0975
WT5	0.150	0.174	0.135	0.132	0.237	0.174	0.226	0.169	0.150	0.131	0.117	0.186	0.097	0.126	0.131	0.113	0	0.0999
WT6	0.145	0.153	0.147	0.150	0.259	0.189	0.162	0.136	0.124	0.121	0.0763	0.137	0.112	0.145	0.068	0.0975	0.0999	0
