ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	feces1	feces2	feces3	feces4	feces5	feces6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
ASV_506	22.525	15.032	0.0284406622664748	0.103917804435196	Enriched	0.604	0	0.093	3.349	0.05	0.13	0	0	0	0	0	0	0	0
ASV_543	23.143	15.163	0.0284406622664748	0.103917804435196	Enriched	0.926	0	0.278	0.359	0	0	1.25	3.67	0	0	0	0	0	0
ASV_116	22.578	15.197	0.404656761927286	0.452263439801084	NotSig	0.626	0	0	0	0	3.756	0	0	0	0	0	0	0	0
ASV_828	22.863	14.578	0.00962171958575914	0.0537684329792422	Enriched	0.763	0	0.278	0.239	0.05	0	1.562	2.446	0	0	0	0	0	0
ASV_289	22.527	15.146	0.404656761927286	0.452263439801084	NotSig	0.604	0	0	0	0	3.627	0	0	0	0	0	0	0	0
ASV_151	22.786	14.748	0.0740099699862347	0.171486515821763	NotSig	0.723	0	1.483	0	0	0	0.104	2.752	0	0	0	0	0	0
ASV_88	-18.805	11.424	0.404656761927286	0.452263439801084	NotSig	0	0.046	0	0	0	0	0	0	0.275	0	0	0	0	0
ASV_398	22.62	15.038	0.175734335644225	0.256842490556944	NotSig	0.645	0	0	0	0.505	0	0	3.364	0	0	0	0	0	0
ASV_400	23.124	15.666	0.0740099699862347	0.171486515821763	NotSig	0.914	0	0.185	0	0.101	0	0	5.199	0	0	0	0	0	0
ASV_833	22.866	15.485	0.404656761927286	0.452263439801084	NotSig	0.765	0	0	0	0	0	0	4.587	0	0	0	0	0	0
