Species	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Bacteria|Actinomycetota|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia|Schaalia cardiffensis	0	0	0	0	0	0	0	0	0	0	0	1.41592920353982	0.206043956043956	0	0	0	0	0
Bacteria|Actinomycetota|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia|Schaalia meyeri	0	0	0	0	0	0	0	0.237529691211401	0	0	0	0	0	0	0	0	0	0.0504286434694907
Bacteria|Actinomycetota|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia|Schaalia odontolytica	0	0	0	0	0	0	0	0	0.0672494956287828	0	0	0	0	0	0.0578368999421631	0.04151100041511	0	0.706001008572869
Bacteria|Actinomycetota|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia|uncultured bacterium	0	0	0	0	0	0	0	0	0.0672494956287828	0.100704934541793	0	0.353982300884956	0.0686813186813187	0.0526592943654555	0.347021399652979	0.49813200498132	0.92038656235619	0.353000504286435
Bacteria|Actinomycetota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium catenulatum	0	0.478468899521531	0	0.906735751295337	9.58333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinomycetota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium longum	0	1.79425837320574	0	5.44041450777202	0.520833333333333	3.97553516819572	0	0.118764845605701	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinomycetota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium longum subsp. infantis	0	0	0	1.42487046632124	0	0	0	0	0	0	0.0523834468308015	0	0	0	0	0	0	0
Bacteria|Actinomycetota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|uncultured bacterium	0.092678405931418	5.14354066985646	0	0	0	2.75229357798165	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinomycetota|Actinobacteria|Micrococcales|Micrococcaceae|Rothia|Rothia mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0.176991150442478	0.824175824175824	0.4739336492891	0.867553499132447	3.7359900373599	0	0.706001008572869
Bacteria|Actinomycetota|Actinobacteria|Micrococcales|Micrococcaceae|Rothia|Rothia mucilaginosa ATCC 25296	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105318588730911	1.44592249855408	0	0	0
Bacteria|Actinomycetota|Actinobacteria|Micrococcales|Micrococcaceae|Rothia|Rothia mucilaginosa DY-18	0	0	0	0	0	0	0.0345661942620118	0	0	0	0	0	0	3.7914691943128	1.5615962984384	0	0	2.62228946041351
Bacteria|Actinomycetota|Actinobacteria|Micrococcales|Micrococcaceae|Rothia|Unassigned	0	0	0	0	0	0	0.656757690978223	0	0	0	0	0.353982300884956	0.343406593406593	1.31648235913639	0.347021399652979	0.8302200083022	0.184077312471238	0.151285930408472
Bacteria|Actinomycetota|Actinobacteria|Micrococcales|Micrococcaceae|Rothia|uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00473933649289	0.173510699826489	0	0	0.201714573877963
Bacteria|Actinomycetota|Actinobacteria|Micrococcales|Micrococcaceae|Rothia|uncultured organism	0	0	0	0	0	0	0.0691323885240235	0	0	0	0	0	0	0	0	0	6.21260929590428	0.453857791225416
Bacteria|Actinomycetota|Actinobacteria|Mycobacteriales|Corynebacteriaceae|Corynebacterium|uncultured Corynebacterium sp.	0	0	0	0	0	0	0.172830971310059	0.475059382422803	0.134498991257566	0	0	2.12389380530973	0.0686813186813187	0	0.0578368999421631	0	0	0
Bacteria|Actinomycetota|Actinobacteria|Mycobacteriales|Corynebacteriaceae|Corynebacterium|uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.0686813186813187	0	0	0	0.368154624942476	0
