Order	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Bacteria|Actinomycetota|Actinobacteria|Actinomycetales	0	0	0	0	0	0	0	0.237529691211401	0.134498991257566	0.100704934541793	0	1.76991150442478	0.274725274725275	0.0526592943654555	0.404858299595142	0.53964300539643	0.92038656235619	1.10943015632879
Bacteria|Actinomycetota|Actinobacteria|Bifidobacteriales	0.092678405931418	7.41626794258373	0	7.7720207253886	10.1041666666667	6.72782874617737	0	0.118764845605701	0	0	0.0523834468308015	0	0	0	0	0	0	0
Bacteria|Actinomycetota|Actinobacteria|Micrococcales	0	0	0	0	0	0	0.760456273764259	0	0	0	0	0.530973451327434	1.16758241758242	14.6919431279621	4.3956043956044	4.5662100456621	6.39668660837552	4.13514876449823
Bacteria|Actinomycetota|Actinobacteria|Mycobacteriales	0	0	0	0	0	0	0.172830971310059	0.475059382422803	0.134498991257566	0	0	2.12389380530973	0.137362637362637	0	0.0578368999421631	0	0.368154624942476	0
Bacteria|Actinomycetota|Coriobacteriia|Coriobacteriales	0.46339202965709	1.07655502392344	0.908173562058527	0.518134715025907	0.104166666666667	2.44648318042813	0.380228136882129	1.54394299287411	0.47074646940148	0.201409869083585	0.471451021477213	1.76991150442478	0.824175824175824	0.157977883096367	0.462695199537305	0.29057700290577	0.552231937413714	0.655572365103379
Bacteria|Bacillota|Bacilli|Acholeplasmatales	0	0	0	0	0	0	0	0	0.874243443174176	0	0.523834468308015	0.176991150442478	0.0686813186813187	0	0	0	0	0
Bacteria|Bacillota|Bacilli|Erysipelotrichales	0.278035217794254	2.99043062200957	2.11907164480323	4.14507772020725	6.45833333333333	3.6697247706422	0.138264777048047	0.593824228028504	0.605245460659045	0.302114803625378	0.576217915138816	0.176991150442478	0.343406593406593	0.210637177461822	0.92539039907461	0.12453300124533	0.276115968706857	0.857286938981341
Bacteria|Bacillota|Bacilli|Izemoplasmatales	0	0	0	0	0	0	0	0.118764845605701	0.0672494956287828	0	0	0	0.206043956043956	0	0	0	0	0
Bacteria|Bacillota|Bacilli|Lactobacillales	0	0.358851674641148	0.0504540867810293	0	0.3125	0.305810397553517	3.97511234013135	25.0593824228028	2.75722932078009	34.441087613293	0.838135149292824	8.67256637168142	11.8131868131868	38.4412848867825	35.0491613649508	36.3636363636364	42.7059364933272	24.9621785173979
Bacteria|Bacillota|Bacilli|Mycoplasmatales	0	0	0	0	0	0	0.380228136882129	0	1.34498991257566	0	0.104766893661603	0	0.0686813186813187	0	0.115673799884326	0	0	0
