Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
KO1	0.0577	0.0144	2354.0	0.990	0.790	192.0	461.0	32000.0	2353.0	0.221	0.00969	6.13	8.85	2.66
KO2	0.0541	0.015	2307.9	0.992	0.797	217.3	479.8	32000.0	2307.0	0.219	0.00813	6.17	8.91	2.68
KO3	0.0599	0.0107	1947.2	0.990	0.770	159.1	340.8	32000.0	1946.0	0.249	0.0104	5.83	8.41	2.53
KO4	0.0591	0.0106	2005.0	0.989	0.766	156.6	339.1	32000.0	2004.0	0.251	0.0106	5.83	8.41	2.53
KO5	0.0747	0.00802	1812.5	0.986	0.739	115.1	256.6	32000.0	1811.0	0.297	0.0145	5.55	8.00	2.41
KO6	0.0493	0.0132	2160.8	0.992	0.788	202.2	423.1	32000.0	2160.0	0.226	0.00817	6.05	8.72	2.63
OE1	0.0388	0.0223	2546.6	0.995	0.838	350.5	713.9	32000.0	2546.0	0.154	0.00496	6.57	9.48	2.85
OE2	0.0492	0.0179	2497.6	0.993	0.812	249.6	573.8	32000.0	2497.0	0.180	0.00737	6.35	9.16	2.76
OE3	0.046	0.0137	2389.7	0.990	0.782	183.5	439.9	32000.0	2389.0	0.202	0.00955	6.09	8.78	2.64
OE4	0.0383	0.0155	2399.8	0.993	0.797	230.4	495.1	32000.0	2399.0	0.218	0.00724	6.20	8.95	2.69
OE5	0.0374	0.017	2434.7	0.994	0.808	260.3	543.9	32000.0	2434.0	0.199	0.00638	6.30	9.09	2.74
OE6	0.0316	0.0218	2542.6	0.995	0.835	347.5	698.0	32000.0	2542.0	0.160	0.00482	6.55	9.45	2.84
WT1	0.0626	0.0119	2303.9	0.989	0.768	160.4	381.4	32000.0	2303.0	0.235	0.0109	5.94	8.58	2.58
WT2	0.0664	0.00964	2101.9	0.987	0.749	128.6	308.5	32000.0	2101.0	0.250	0.0134	5.73	8.27	2.49
WT3	0.0483	0.0171	2427.7	0.993	0.809	252.2	546.2	32000.0	2427.0	0.195	0.00694	6.30	9.09	2.74
WT4	0.0547	0.0142	2345.9	0.991	0.788	201.2	452.9	32000.0	2345.0	0.231	0.00876	6.12	8.82	2.66
WT5	0.042	0.0107	2159.0	0.989	0.760	152.7	342.7	32000.0	2158.0	0.245	0.0107	5.84	8.42	2.53
WT6	0.0421	0.0154	2379.7	0.993	0.798	226.8	493.9	32000.0	2379.0	0.204	0.00744	6.20	8.95	2.69
