	SRS024568.571681	SRS013177.574389	SRS020413.572892	SRS017935.572108	SRS013490.574260	SRS017641.576524	SRS013638.573699	SRS024625.570280	SRS023176.573947	SRS020290.575215	SRS017764.574643	SRS018076.571839	SRS049911.575200	SRS021484.575748	SRS017997.575028	SRS018313.575129	SRS024151.575546	SRS017307.573991	SRS016916.571068	SRS020869.573690	SRS023914.571128	SRS017641.575969	SRS020527.573698	SRS020233.575311	SRS013687.574921	SRS018102.573993	SRS017420.570810	SRS020895.570284	SRS013516.575410	SRS016364.575956	SRS016942.575808	SRS013474.572674	SRS024177.571285	SRS017029.575283	SRS058746.570279	SRS017230.573092	SRS017363.570258	SRS018339.573081	SRS017667.571840	SRS017847.570423	SRS023760.572972	SRS017667.576128	SRS013203.574575	SRS021510.573430	SRS018396.574712	SRS017420.571170	SRS016779.576334	SRS020316.575736	SRS017790.572183	SRS018216.570352	SRS016424.570841	SRS020437.572627	SRS024592.570730	SRS013472.575723	SRS020551.575598	SRS020257.573938	SRS018100.575514	SRS023995.573098	SRS013201.576199	SRS016777.576593	SRS017361.573508	SRS017665.574059	SRS023758.576043	SRS017088.576058	SRS020893.572891	SRS045289.571763	SRS023938.573037	SRS017227.576007	SRS017418.570288	SRS020314.575041	SRS024649.576282	SRS017304.575372	SRS018214.570641	SRS013662.573790	SRS055687.571803
963239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	1.5	3	1	2.75	0	0	0	0	0	4	0.75	1	0	0	0	0	1	0	0	0	0	0	1.25	3	3	0	0.5	0	0	0	0	0.75	0
4431292	0	0	0	2	11.75	3	3	7	0	7.5	0	0	0	16.5	2	0.75	4	8.25	0	1.5	0	3.75	5.5	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4480529	0	0	3	0	8	3	27	0	0	0	0	0	3	0	0	2	10	2	7	15	0	6	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4345640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	1	4	1	0	0	0	0.6	0	4	0	0	0	0	0	0	0.8	5.6	0.4	1.8	0	0	1	0	0	0	0	0	4.2	2	0	0.4	0.4	0	0	0	1	0	0	3.6	0	5.8	0	0	0	0	0	0.8	0.4
4372091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	1	0	0	0.5	2.5	0	0	1.75	0.5	0	0	0	0.75	0	0	4.5	0.75	1.5	6.5	5.25	0	1.25	0.5	0	3.25	9	4	0	0	0.75	9	11	9.75	3.25	0.75	0	0	3.5	0.5	0	2.25	1.5	0	0	0	0	3.5	0
4472202	0	3	4	0	0	15	0	0	0	0	0	0	4	0	0	20	3	0	0	5	0	19	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4450198	2.16666666666667	3.5	3	0	0	0	0.333333333333333	3	3.5	1.83333333333333	2.5	2.5	2	0.833333333333333	0.333333333333333	0	0.333333333333333	0.333333333333333	1.16666666666667	7.66666666666667	0	0	4.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4483174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6	0.6	0.6	0.8	2.4	0	2.2	0	1.2	3.4	0.4	2.2	0.4	0	1	0.6	2.8	0	9	12.2	0	0	1.6	0	0	0	0.4	0	0	9.6	0	0.4	8	0	0	1.4	0	6.8	0	0	0	5.4	8.4	0	0.6	1.4	0	1.4	0
4392196	0	0	0	25	0	3	7	0	0	0	0	0	0	0	0	2	2	0	0	3	6	2	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4427066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.3333333333333	6.33333333333333	0	0	11	2.66666666666667	10.6666666666667	0	42	0	1.66666666666667	0	4	8	10.6666666666667	0	2.66666666666667	20.3333333333333	0	6.33333333333333	17.6666666666667	0	0	1.66666666666667	0	0	0	0	7.33333333333333	3.66666666666667	4.66666666666667	0	7.33333333333333	0	0	0	1.66666666666667	0	6.66666666666667	63.3333333333333	0	0	0	0	3.66666666666667	0
