Class	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Bacteria|Actinomycetota|Actinobacteria	0.092678405931418	7.41626794258373	0	7.7720207253886	10.1041666666667	6.72782874617737	0.933287245074317	0.831353919239905	0.269179004037685	0.100806451612903	0.0523834468308015	4.42477876106195	1.57967032967033	14.7446024223275	4.8582995951417	5.10585305105853	7.68522779567418	5.24457892082703
Bacteria|Actinomycetota|Coriobacteriia	0.46339202965709	1.07655502392344	0.908173562058527	0.518134715025907	0.104166666666667	2.44648318042813	0.380228136882129	1.54394299287411	0.471063257065949	0.201612903225806	0.471451021477213	1.76991150442478	0.824175824175824	0.157977883096367	0.462695199537305	0.29057700290577	0.552231937413714	0.655572365103379
Bacteria|Bacillota|Bacilli	0.278035217794254	3.34928229665072	2.67406659939455	5.05181347150259	7.39583333333333	3.97553516819572	5.11579675077774	27.5534441805226	5.92193808882907	35.1814516129032	2.04295442640126	12.0353982300885	14.6291208791209	46.9194312796209	42.9728166570272	39.7675383976754	53.4744592728946	27.5340393343419
Bacteria|Bacillota|Clostridia	60.7970342910102	63.9952153110048	52.4722502522704	54.6632124352332	46.875	81.9571865443425	19.6681645350847	31.5914489311164	21.4670255720054	18.8508064516129	18.5437401781037	27.2566371681416	19.7802197802198	1.00052659294365	3.12319259687681	3.69447903694479	2.48504371836171	7.96772566817953
Bacteria|Bacillota|Negativicutes	1.48285449490269	3.34928229665072	4.94450050454087	12.3056994818653	4.27083333333333	4.28134556574924	11.5451088835119	6.88836104513064	1.61507402422611	4.13306451612903	8.43373493975904	3.36283185840708	6.38736263736264	2.58030542390732	4.8582995951417	8.26068908260689	9.75609756097561	11.0943015632879
Bacteria|Bacillota|Syntrophomonadia	0	0	0	0	0	0	0	0	0	0	0	0	0.755494505494505	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia	30.3985171455051	20.8133971291866	38.8496468213925	18.6528497409326	29.4791666666667	0	27.3418596612513	21.3776722090261	32.3687752355316	28.9314516129032	35.5683603981142	29.2035398230088	32.2802197802198	21.274354923644	27.2411798727588	21.0875882108759	7.36309249884952	22.8441754916793
Bacteria|Campylobacterota|Campylobacteria	0	0	0	0	0	0	1.48634635326651	0.237529691211401	1.68236877523553	0.30241935483871	2.25248821372446	0.176991150442478	3.09065934065934	0.0526592943654555	0.347021399652979	0.66417600664176	0.322135296824666	0.403429147755925
Bacteria|Chloroflexota|Anaerolineae	0	0	0	0	0	0	0.553059108192188	0.118764845605701	0.336473755047106	0.100806451612903	0.785751702462022	1.06194690265487	0	0	0	0	0	0
Bacteria|Fusobacteriota|Fusobacteriia	0	0	0	0	0	0.305810397553517	8.33045281714483	6.29453681710214	16.4199192462988	9.375	9.27187008905186	5.30973451327434	7.07417582417582	1.68509741969458	3.52805089647195	6.01909506019095	4.27979751495628	12.1533030761473
Bacteria|Patescibacteria|Gracilibacteria	0	0	0	0	0	0	0	0	0.0672947510094213	0	0.104766893661603	0	0	0	0.115673799884326	0.53964300539643	0.0460193281178095	0.302571860816944
Bacteria|Patescibacteria|Saccharimonadia	0	0	0	0	0	0.305810397553517	4.07881092291739	0.475059382422803	0.672947510094213	0.201612903225806	4.24305919329492	4.7787610619469	0.480769230769231	1.05318588730911	1.0989010989011	0.49813200498132	1.38057984353428	4.28643469490671
Bacteria|Pseudomonadota|Gammaproteobacteria	0	0	0	0	0	0	1.41721396474248	0.475059382422803	0.0672947510094213	0.705645161290323	0.0523834468308015	0.707964601769911	4.18956043956044	9.63665086887836	10.4106419895894	13.9892071398921	11.7349286700414	6.55572365103379
Bacteria|Spirochaetota|Spirochaetia	0.092678405931418	0	0	0	0	0	5.77255444175596	0.237529691211401	4.37415881561238	1.10887096774194	4.55735987427973	3.00884955752212	6.31868131868132	0.0526592943654555	0.289184499710816	0.04151100041511	0.184077312471238	0.252143217347453
Bacteria|Synergistota|Synergistia	0	0	0	0	0	0	3.35292084341514	0.831353919239905	9.62314939434724	0.201612903225806	6.23363017286537	2.65486725663717	1.64835164835165	0	0.115673799884326	0	0	0
Bacteria|Thermodesulfobacteriota|Desulfobulbia	0	0	0	0	0	0	8.84894573107501	1.42517814726841	4.64333781965007	0.604838709677419	6.23363017286537	3.71681415929204	0.274725274725275	0	0	0	0	0
Bacteria|Thermodesulfobacteriota|Desulfovibrionia	0	0	0	1.03626943005181	0.104166666666667	0	0	0	0	0	0	0.530973451327434	0	0	0	0	0	0
Bacteria|Verrucomicrobiota|Verrucomicrobiia	6.39481000926784	0	0	0	1.66666666666667	0	0	0.118764845605701	0	0	0	0	0	0	0	0	0	0
