Family	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Bacteria|Actinomycetota|Actinobacteria|Actinomycetales|Actinomycetaceae	0	0	0	0	0	0	0	0.237529691211401	0.134589502018843	0.100806451612903	0	1.76991150442478	0.274725274725275	0.0526592943654555	0.404858299595142	0.53964300539643	0.92038656235619	1.10943015632879
Bacteria|Actinomycetota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	0.092678405931418	7.41626794258373	0	7.7720207253886	10.1041666666667	6.72782874617737	0	0.118764845605701	0	0	0.0523834468308015	0	0	0	0	0	0	0
Bacteria|Actinomycetota|Actinobacteria|Micrococcales|Micrococcaceae	0	0	0	0	0	0	0.760456273764259	0	0	0	0	0.530973451327434	1.16758241758242	14.6919431279621	4.3956043956044	4.5662100456621	6.39668660837552	4.13514876449823
Bacteria|Actinomycetota|Actinobacteria|Mycobacteriales|Corynebacteriaceae	0	0	0	0	0	0	0.172830971310059	0.475059382422803	0.134589502018843	0	0	2.12389380530973	0.137362637362637	0	0.0578368999421631	0	0.368154624942476	0
Bacteria|Actinomycetota|Coriobacteriia|Coriobacteriales|Atopobiaceae	0	0	0	0	0	0	0.345661942620118	1.54394299287411	0.471063257065949	0.201612903225806	0.471451021477213	1.76991150442478	0.824175824175824	0.157977883096367	0.462695199537305	0.29057700290577	0.552231937413714	0.655572365103379
Bacteria|Actinomycetota|Coriobacteriia|Coriobacteriales|Coriobacteriaceae	0.46339202965709	1.07655502392344	0.908173562058527	0.38860103626943	0.104166666666667	1.8348623853211	0.0345661942620118	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinomycetota|Coriobacteriia|Coriobacteriales|Coriobacteriales Incertae Sedis	0	0	0	0.129533678756477	0	0.611620795107034	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Bacilli|Acholeplasmatales|Acholeplasmataceae	0	0	0	0	0	0	0	0	0.874831763122476	0	0.523834468308015	0.176991150442478	0.0686813186813187	0	0	0	0	0
Bacteria|Bacillota|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae	0.278035217794254	2.99043062200957	0.504540867810293	1.42487046632124	1.25	3.6697247706422	0	0.118764845605701	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Bacilli|Erysipelotrichales|Erysipelotrichaceae	0	0	1.61453077699294	2.72020725388601	5.20833333333333	0	0.138264777048047	0.475059382422803	0.605652759084791	0.30241935483871	0.576217915138816	0.176991150442478	0.343406593406593	0.210637177461822	0.92539039907461	0.12453300124533	0.276115968706857	0.857286938981341
Bacteria|Bacillota|Bacilli|Izemoplasmatales|Incertae Sedis	0	0	0	0	0	0	0	0.118764845605701	0.0672947510094213	0	0	0	0.206043956043956	0	0	0	0	0
