Genus	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Bacteria|Bacillota|Clostridia|Lachnospirales|Defluviitaleaceae|Defluviitaleaceae UCG-011	0	0	0	0	0	0	0.276529554096094	0	0.134589502018843	0	0.419067574646412	0	0.686813186813187	0	0	0	0	0.100857286938981
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Agathobacter	0.741427247451344	1.07655502392344	4.28859737638749	0.518134715025907	3.22916666666667	20.1834862385321	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Blautia	0.092678405931418	1.43540669856459	1.05953582240161	2.2020725388601	0.833333333333333	12.8440366972477	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Butyrivibrio	0	0	7.51765893037336	0	0	0	0	0	0.471063257065949	0	0	0	0	0	0	0	0	0.0504286434694907
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Catonella	0	0	0	0	0	0	1.38264777048047	0.118764845605701	0.403768506056528	1.10887096774194	0.680984808800419	2.83185840707965	0.755494505494506	0.157977883096367	0.173510699826489	0.04151100041511	0.138057984353428	0.0504286434694907
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Coprococcus	1.20481927710843	2.7511961722488	6.40766902119072	0.77720207253886	0.104166666666667	0.305810397553517	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Dorea	1.20481927710843	2.03349282296651	1.2108980827447	3.8860103626943	3.64583333333333	4.89296636085627	0	0	0	0	0.0523834468308015	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Fusicatenibacter	0.648748841519926	0	0.302724520686176	0.259067357512953	0.104166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Incertae Sedis	0	0	0	0	0	0	0	0	0.201884253028264	0	0.0523834468308015	0.176991150442478	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Johnsonella	0	0	0	0	0	0	0.691323885240235	0	0.269179004037685	0	0.104766893661603	1.41592920353982	0.686813186813187	0	0.173510699826489	0.62266500622665	0.322135296824666	0.453857791225416
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Lachnoanaerobaculum	0	0	0	0	0	0	0.0345661942620118	0.237529691211401	0	0	0.104766893661603	0.176991150442478	0.0686813186813187	0.105318588730911	0.231347599768652	0.16604400166044	0.322135296824666	1.10943015632879
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Lachnoclostridium	0	0	0	0	0	1.22324159021407	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Lachnospira	1.48285449490269	0.358851674641148	0.252270433905146	0	0.208333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Mediterraneibacter	1.11214087117702	3.82775119617225	0.201816347124117	0.129533678756477	3.4375	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Moryella	0	0	0	0	0	0	0.276529554096094	0.237529691211401	0.740242261103634	0	0.733368255631221	0.707964601769911	0.206043956043956	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Oribacterium	0	0	0	0	0	0	0.414794331144141	0.118764845605701	0.134589502018843	3.32661290322581	0.890518596123625	0	0.137362637362637	0.4739336492891	0.404858299595142	0.58115400581154	0.138057984353428	1.00857286938981
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Roseburia	0.648748841519926	0	2.01816347124117	0	0.104166666666667	0.305810397553517	0.138264777048047	0	0.269179004037685	0	0.628601361969618	1.76991150442478	0.686813186813187	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Stomatobaculum	0	0	0	0	0	0	0.0345661942620118	0	0.0672947510094213	0.100806451612903	0	0	0	0	0.578368999421631	0.95475300954753	0.276115968706857	1.36157337367625
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Tyzzerella	1.48285449490269	0	0	0	0	0.305810397553517	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Unassigned	0	0	0.0504540867810293	0	1.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|[Eubacterium] eligens group	0.834105653382762	0.119617224880383	2.77497477295661	0.906735751295337	1.04166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|[Eubacterium] ruminantium group	0.46339202965709	0.358851674641148	0.0504540867810293	0	3.75	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|[Eubacterium] xylanophilum group	0	0	0.554994954591322	0	0.208333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|[Ruminococcus] gauvreauii group	0	0	0.201816347124117	0.259067357512953	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|[Ruminococcus] gnavus group	0	0	0	0	0	18.0428134556575	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Oscillospirales|Oscillospiraceae|NK4A214 group	0	0.358851674641148	0.201816347124117	0	0.104166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Oscillospirales|Oscillospiraceae|UCG-002	9.45319740500463	0.717703349282297	5.54994954591322	0.259067357512953	0.104166666666667	0.305810397553517	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Oscillospirales|Oscillospiraceae|UCG-005	1.66821130676552	0	0.100908173562059	0.129533678756477	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Oscillospirales|Ruminococcaceae|Acutalibacter	0	0	0	0.129533678756477	0	0.917431192660551	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Oscillospirales|Ruminococcaceae|Faecalibacterium	15.4772937905468	40.1913875598086	11.8567103935419	7.12435233160622	17.6041666666667	5.19877675840979	0	0	0	0.100806451612903	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Oscillospirales|Ruminococcaceae|Gemmiger	0.185356811862836	2.99043062200957	0.554994954591322	1.55440414507772	0.104166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Oscillospirales|Ruminococcaceae|Incertae Sedis	0.741427247451344	4.42583732057416	1.26135216952573	20.7253886010363	3.33333333333333	0	0	0.118764845605701	0	0	0	0	0	0	0	0	0.0460193281178095	0
Bacteria|Bacillota|Clostridia|Oscillospirales|Ruminococcaceae|Ruminococcus	13.4383688600556	0	1.46316851664985	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Oscillospirales|UCG-010|Incertae Sedis	0	0	0.201816347124117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Oscillospirales|[Eubacterium] coprostanoligenes group|Incertae Sedis	0.185356811862836	0	3.83451059535822	6.21761658031088	0.416666666666667	14.9847094801223	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Peptococcales|Peptococcaceae|Peptococcus	0	0	0	0	0	0	0.691323885240235	0	0.53835800807537	2.01612903225806	1.10005238344683	3.89380530973451	0	0	0.0578368999421631	0	0.0460193281178095	0
Bacteria|Bacillota|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|Family XIII AD3011 group	0	0	0	0	0.625	2.44648318042813	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|Family XIII UCG-001	0	0	0	0	0	0	0.276529554096094	0	0.0672947510094213	0	0.261917234154007	0.353982300884956	0.137362637362637	0	0	0	0.0460193281178095	0.100857286938981
Bacteria|Bacillota|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|Hornefia	0	0	0	0	0	0	0.345661942620118	0.237529691211401	0.134589502018843	0	0	0.530973451327434	0.412087912087912	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|Incertae Sedis	0	0	0	0	0	0	1.79744210162461	0.475059382422803	1.41318977119785	0.100806451612903	0.838135149292824	0.884955752212389	1.23626373626374	0	0	0	0	0.0504286434694907
Bacteria|Bacillota|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|Mogibacterium	0	0	0	0	0	0	0.103698582786035	0.475059382422803	0.336473755047106	0	0.0523834468308015	0.353982300884956	0.274725274725275	0.0526592943654555	0.173510699826489	0.20755500207555	0.092038656235619	0.302571860816944
Bacteria|Bacillota|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|[Eubacterium] brachy group	0	0	0	0	0	0	1.10611821638438	1.78147268408551	0.874831763122476	1.20967741935484	0.261917234154007	0.176991150442478	0	0.0526592943654555	0	0	0.0460193281178095	0.0504286434694907
Bacteria|Bacillota|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|[Eubacterium] saphenum group	0	0	0	0	0	0	0.483926719668165	0	0.134589502018843	0	0.36668412781561	1.5929203539823	1.51098901098901	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|[Eubacterium] sulci group	0	0	0	0	0	0	0.207397165572071	0	0.269179004037685	0	1.25720272393924	0.353982300884956	1.03021978021978	0	0.115673799884326	0.20755500207555	0.184077312471238	0.75642965204236
Bacteria|Bacillota|Clostridia|Peptostreptococcales-Tissierellales|Family XI|Incertae Sedis	0	0	0	0	0	0	0.103698582786035	0	0	0	0.942902042954426	1.23893805309735	0.137362637362637	0	0.0578368999421631	0	0	0
Bacteria|Bacillota|Clostridia|Peptostreptococcales-Tissierellales|Family XI|Parvimonas	0	0	0	0	0	0	2.41963359834082	22.9216152019002	1.07671601615074	5.54435483870968	1.88580408590885	1.41592920353982	1.30494505494505	0	0.289184499710816	0.58115400581154	0.138057984353428	0.201714573877963
Bacteria|Bacillota|Clostridia|Peptostreptococcales-Tissierellales|Family XI|W5053	0	0	0	0	0	0	0	1.54394299287411	0	0	0	0.530973451327434	0.412087912087912	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Peptostreptococcales-Tissierellales|Peptostreptococcaceae|Filifactor	0	0	0	0	0	0	8.29588662288282	0	13.3243606998654	3.72983870967742	7.0193818753274	5.30973451327434	7.62362637362637	0	0.173510699826489	0	0.092038656235619	0.151285930408472
Bacteria|Bacillota|Clostridia|Peptostreptococcales-Tissierellales|Peptostreptococcaceae|Peptoanaerobacter	0	0	0	0	0	0	0.276529554096094	0	0.0672947510094213	0	0.104766893661603	0	0.137362637362637	0	0	0	0	0
Bacteria|Bacillota|Clostridia|Peptostreptococcales-Tissierellales|Peptostreptococcaceae|Peptostreptococcus	0	0	0	0	0	0	0.276529554096094	3.32541567695962	0.471063257065949	1.61290322580645	0.680984808800419	3.00884955752212	2.26648351648352	0.0526592943654555	0.173510699826489	0.24906600249066	0.276115968706857	0.0504286434694907
Bacteria|Bacillota|Negativicutes|Acidaminococcales|Acidaminococcaceae|Phascolarctobacterium	1.48285449490269	0	1.05953582240161	12.3056994818653	4.27083333333333	4.28134556574924	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacillota|Negativicutes|Veillonellales-Selenomonadales|Selenomonadaceae|Selenomonas	0	0	0	0	0	0	9.36743864500519	2.37529691211401	0.53835800807537	1.71370967741935	5.50026191723415	1.94690265486726	4.18956043956044	0	0.636205899363794	0.12453300124533	0.552231937413714	0.453857791225416
Bacteria|Bacillota|Negativicutes|Veillonellales-Selenomonadales|Veillonellaceae|Anaeroglobus	0	0	0	0	0	0	0.0345661942620118	1.66270783847981	0.0672947510094213	0	0.576217915138816	0.176991150442478	0.0686813186813187	0	0	0.04151100041511	0	0
