"","feces1","feces2","feces3","feces4","feces5","feces6","saliva1","saliva2","saliva3","saliva4","saliva5","saliva6","plaque1","plaque2","plaque3","plaque4","plaque5","plaque6"
"ASV1",0,0,0,0,0,0,0,0,0,0,0,0,2185,128,0,0,924,0
"ASV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171,0
"ASV3",0,0,0,0,0,0,14,0,0,0,0,11,0,306,13,1825,0,0
"ASV4",0,0,0,0,0,0,0,394,348,186,585,297,37,0,0,0,0,38
"ASV5",0,0,0,0,0,0,56,596,289,199,638,36,6,0,0,0,0,15
"ASV6",0,0,0,0,0,0,0,0,213,0,1437,0,0,0,0,0,0,0
"ASV7",1444,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1457,0,0,0
"ASV9",0,0,0,0,0,0,0,0,0,0,1293,0,0,0,0,0,0,0
"ASV10",0,0,0,0,0,0,0,0,33,0,126,1118,0,0,0,0,0,0
"ASV11",0,0,0,0,0,0,0,1231,0,0,0,0,0,0,0,0,0,0
"ASV12",0,0,0,0,0,0,65,167,0,140,774,0,0,0,0,0,0,0
"ASV13",0,0,0,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0
"ASV14",0,0,0,0,0,0,98,0,19,0,0,0,0,0,793,159,0,0
"ASV15",0,0,0,0,0,0,1018,0,0,0,0,0,0,0,0,0,0,0
"ASV16",0,0,0,0,7,0,67,0,172,0,523,214,0,0,0,0,0,0
"ASV17",0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,0,0
"ASV19",0,0,0,0,0,0,0,0,0,0,0,0,0,878,0,0,0,0
"ASV20",0,0,0,0,0,0,57,0,0,0,0,0,0,490,58,234,15,0
"ASV21",0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0
"ASV22",0,0,0,0,0,835,0,0,0,0,0,0,0,0,0,0,0,0
"ASV23",0,0,0,0,0,0,339,0,0,0,0,0,0,0,496,0,0,0
"ASV24",0,0,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV25",0,0,0,0,0,0,0,0,274,0,0,514,0,0,0,3,0,26
"ASV26",0,0,28,0,0,0,0,16,60,107,116,468,0,0,0,0,0,13
"ASV27",0,0,0,0,0,0,0,0,777,0,0,0,0,0,0,0,0,0
"ASV28",0,0,0,0,0,721,0,0,0,0,0,0,0,0,0,0,0,0
"ASV29",0,0,0,0,0,0,467,0,0,0,0,0,0,0,56,0,144,0
"ASV30",0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0
"ASV31",0,0,0,0,0,0,584,0,0,0,0,0,0,0,0,0,0,82
"ASV32",0,0,0,0,0,0,14,0,118,98,165,216,12,0,0,0,0,19
"ASV33",0,0,0,0,0,0,73,0,0,0,0,0,360,0,108,0,46,49
"ASV34",0,0,0,0,0,0,0,0,0,559,70,0,0,0,0,0,0,0
"ASV35",0,101,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV36",0,7,0,0,0,0,34,0,0,568,0,0,5,0,0,0,0,0
"ASV37",0,0,0,0,0,0,102,0,0,0,0,0,0,0,509,0,0,0
"ASV38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598
"ASV39",0,0,0,0,0,0,0,0,0,41,102,451,0,0,0,0,0,0
"ASV40",0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0
