#OTUID	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
ASV_733	0	0	0	0	0	0	0	28	0	1	0	1	0	3	0	2	1	1
ASV_1230	0	15	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_788	0	0	0	0	0	0	10	11	0	0	0	0	0	0	1	0	0	11
ASV_805	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_941	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_535	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_728	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_976	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	1	9
ASV_415	0	0	0	0	0	0	14	0	0	6	1	10	1	0	11	7	3	2
ASV_1071	0	0	0	0	0	0	0	0	0	0	23	0	0	0	26	0	0	0
ASV_810	0	0	0	0	0	0	0	3	3	0	0	0	5	0	0	1	3	19
ASV_1159	0	0	0	0	0	0	0	2	12	0	0	0	12	0	0	6	1	1
ASV_660	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_726	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_846	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_863	6	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_947	0	0	0	0	0	0	1	6	0	2	3	2	5	5	4	9	1	8
ASV_1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
ASV_1120	0	0	0	0	0	0	0	2	0	1	14	7	1	12	6	3	0	0
ASV_1126	4	2	3	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_743	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
ASV_921	0	0	0	0	0	0	3	0	14	0	0	0	0	0	0	0	0	0
ASV_1390	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1424	0	0	0	0	0	0	0	0	0	0	9	3	0	1	23	5	4	4
ASV_971	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	23	0
ASV_1215	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	2	33	4
ASV_1222	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1372	0	0	0	0	0	0	0	0	1	0	0	19	8	0	0	13	0	23
ASV_940	0	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1123	0	0	0	0	0	0	0	0	0	0	0	1	0	39	0	12	21	0
ASV_802	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1011	6	5	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1062	0	0	0	0	0	0	0	4	1	0	5	17	10	0	4	4	0	0
ASV_1114	0	0	0	0	0	0	4	0	0	1	0	0	2	9	11	8	25	8
ASV_896	0	0	0	0	0	0	7	2	0	0	0	2	7	0	0	2	13	1
ASV_1003	0	0	0	0	0	0	1	0	0	10	0	13	0	8	5	13	2	0
ASV_1169	0	0	0	0	0	0	4	0	0	0	0	1	1	21	0	15	19	1
ASV_1440	0	0	0	0	0	0	0	0	0	0	0	2	11	4	13	10	0	3
ASV_1464	0	0	0	0	2	0	0	0	0	0	0	0	3	5	2	32	5	1
ASV_1481	0	0	0	0	0	0	0	0	0	0	0	0	7	9	19	0	12	2
ASV_855	0	0	0	0	0	0	0	0	0	5	0	1	0	9	0	1	23	12
ASV_920	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1115	0	0	0	0	0	0	7	8	1	1	0	2	7	0	2	4	0	1
ASV_1140	0	0	1	0	0	0	0	0	2	6	3	0	6	7	3	3	0	2
ASV_1401	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_812	0	0	0	0	0	0	2	23	0	0	0	10	0	0	0	0	0	2
ASV_978	0	0	0	0	0	0	0	32	0	0	0	0	1	0	0	0	0	6
ASV_1015	2	5	4	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1155	0	0	0	0	0	0	0	6	0	11	1	0	0	30	0	0	0	1
ASV_1513	0	0	0	0	0	0	0	0	1	2	4	8	6	13	3	14	3	5
ASV_659	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_746	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	12	6
ASV_936	10	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_946	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	11
ASV_1412	0	0	0	0	0	0	4	1	0	0	0	0	8	0	0	18	25	0
ASV_655	0	0	0	0	0	0	1	8	12	0	0	0	2	0	4	1	0	0
ASV_705	4	0	11	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1419	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	5	38	3
ASV_720	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1013	4	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1214	0	0	0	0	0	0	0	0	0	0	0	4	2	3	14	34	1	1
ASV_1351	0	0	0	0	0	0	1	9	0	6	0	1	2	4	6	3	1	3
ASV_681	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0
ASV_832	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_848	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_883	0	0	0	0	0	0	3	0	0	29	0	0	0	2	1	0	0	0
ASV_907	0	0	0	0	0	0	0	1	0	14	0	0	0	21	0	0	10	0
ASV_917	2	1	0	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0
ASV_980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48
ASV_1134	2	5	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1204	0	0	0	0	0	0	1	8	1	3	0	0	1	1	1	2	0	6
ASV_912	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1061	0	0	0	0	0	0	5	3	0	9	0	0	1	1	0	0	0	22
ASV_622	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
ASV_949	0	0	0	0	0	0	30	4	0	0	0	0	0	0	0	0	0	0
ASV_1300	0	0	0	0	0	0	4	11	0	0	1	0	0	0	2	0	20	10
