OTUID	All	feces	plaque	saliva
ASV_14	0.858254	2.574762	0.000000	0.000000
ASV_2	0.810434	2.431303	0.000000	0.000000
ASV_4	1.101436	2.4119585	0.4220127	0.4703365
ASV_3	0.97199	2.9150864995	0.0003424916	0.0005406691
ASV_5	0.647697	1.942120989	0.000000000	0.000970431
ASV_12	1.848228	0.000000	3.949030	1.595655
ASV_9	0.779178	2.337533	0.000000	0.000000
ASV_17	0.507811	1.5228908326	0.0000000000	0.0005406691
ASV_7	0.681181	0.001730898	1.765750042	0.276060769
ASV_6	0.639074	1.917221	0.000000	0.000000
ASV_70	0.597832	1.7925368138	0.0003424916	0.0006168270
ASV_13	0.428497	1.285491	0.000000	0.000000
ASV_10	0.495515	1.486544	0.000000	0.000000
ASV_8	1.216697	0.0003921554	2.5931245628	1.0565756702
ASV_19	1.772386	0.06315631	0.94669384	4.30730788
ASV_11	0.38966	1.16898	0.00000	0.00000
ASV_31	1.470159	0.000000	2.862120	1.548356
ASV_15	0.414918	1.244753	0.000000	0.000000
ASV_22	0.375478	1.125817264	0.000000000	0.000616827
ASV_20	1.518471	0.000000	1.834015	2.721398
ASV_18	0.321099	0.9632981	0.0000000	0.0000000
ASV_30	0.263777	0.7913296	0.0000000	0.0000000
ASV_21	0.256876	0.7706266	0.0000000	0.0000000
ASV_24	1.170908	0.000000	1.831652	1.681073
ASV_25	0.281152	0.842158862	0.001297936	0.000000000
ASV_33	0.392263	0.8231468	0.1393408	0.2143013
ASV_52	0.281346	0.838992002	0.000138838	0.004907608
ASV_34	0.32126	0.9637788	0.0000000	0.0000000
ASV_44	0.240819	0.722456	0.000000	0.000000
ASV_1	0.259869	0.7796063	0.0000000	0.0000000
ASV_26	0.588522	0.0000000	0.8099422	0.9556246
ASV_29	0.215591	0.644649485	0.000277676	0.001844640
ASV_100	0.208064	0.6241906	0.0000000	0.0000000
ASV_43	0.215326	0.6459781	0.0000000	0.0000000
ASV_27	0.348484	0.0000000	0.9289392	0.1165116
ASV_68	0.23578	0.7068278324	0.0005132469	0.0000000000
ASV_36	0.237065	0.7111963	0.0000000	0.0000000
ASV_28	0.387934	1.163803	0.000000	0.000000
ASV_35	0.251324	0.7539719	0.0000000	0.0000000
ASV_40	0.197646	0.5929387	0.0000000	0.0000000
ASV_42	0.181579	0.5447382	0.0000000	0.0000000
ASV_23	0.331595	0.994167595	0.000000000	0.000616827
ASV_39	0.625636	0.001671499	1.134593487	0.740641896
ASV_49	0.222235	0.6667064	0.0000000	0.0000000
ASV_55	0.333554	0.0000000	0.6168572	0.3838054
ASV_51	0.193596	0.5807891	0.0000000	0.0000000
ASV_41	0.300679	0.0000000	0.7222935	0.1797445
ASV_72	0.724926	0.0000000	1.4575467	0.7172324
ASV_37	0.626995	0.000105262	1.144609741	0.736269292
ASV_38	0.259403	0.7778655931	0.0003424916	0.0000000000
ASV_63	0.679501	9.893017e-05	1.199765e+00	8.386403e-01
ASV_50	0.564074	0.0001674453	0.8457976403	0.8462581184
ASV_32	0.255369	0.765830640	0.000277676	0.000000000
ASV_58	0.709337	0.0001674453	1.5902280916	0.5376144708
ASV_45	0.243419	0.7302581	0.0000000	0.0000000
ASV_54	0.452266	9.893017e-05	1.083750e+00	2.729485e-01
ASV_46	0.237239	0.0001816313	0.5692138586	0.1423215383
ASV_53	0.483694	0.0000000	0.9132804	0.5378030
ASV_76	0.168979	0.5069356	0.0000000	0.0000000
ASV_607	0.144563	0.4336895	0.0000000	0.0000000
ASV_93	0.73538	0.01841335	0.30159689	1.88613026
ASV_60	0.158496	0.4754874	0.0000000	0.0000000
ASV_48	0.217804	0.653413	0.000000	0.000000
ASV_47	0.150933	0.452407466	0.000390796	0.000000000
ASV_231	0.198879	0.5958130251	0.0003388843	0.0004852155
ASV_57	0.228674	0.6860213	0.0000000	0.0000000
ASV_59	0.218366	0.00000000	0.58155807	0.07353854
ASV_71	0.202142	0.0003858235	0.4949542322	0.1110855841
