var	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae	-0.148016556809282	0.360954542066857	0.508971098876138	-2.45032453182171	0.0343699573848291	9.94152053029515	-0.28271895677433	-0.0133141568442341	Welch Two Sample t-test	two.sided
Bacteria|Actinobacteria|Actinobacteria|Kineosporiales|Kineosporiaceae	-0.457774128706206	0.520868238872041	0.978642367578248	-2.87126979641041	0.0186218362358467	8.91134874225905	-0.818983487603612	-0.0965647698088004	Welch Two Sample t-test	two.sided
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae	-1.98331885938436	2.58601222068227	4.56933108006664	-3.22606046422857	0.0104003982305153	8.9917206708049	-3.37424405181604	-0.592393666952682	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae	-0.267564744544974	0.0847445216136141	0.352309266158588	-5.03926670609458	0.00216129918490474	6.18245806836758	-0.396562099058008	-0.138567390031941	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae	-0.0919841911642154	0.0303357707672057	0.122319961931421	-4.26307501856311	0.00233157439010409	8.59916994138985	-0.141143692159895	-0.0428246901685359	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Fulvivirgaceae	-0.466438834300478	0.389987847672253	0.856426681972731	-2.77683938907322	0.0195655195535688	9.99475158973273	-0.840736488328477	-0.0921411802724786	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae	0.300060270629152	1.27415537510576	0.974095104476603	3.67355651630421	0.00642393691880201	7.89419198495909	0.111262885617424	0.48885765564088	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae	0.603543449987031	3.62968241160686	3.02613896161983	2.38807591229438	0.0381276633342907	9.98106415480199	0.0402763839612615	1.1668105160128	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae	0.774722647624738	1.90023695904346	1.12551431141872	3.35157611239465	0.011728197496405	7.1994266525312	0.231189996812447	1.31825529843703	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae	0.319960093253656	1.13812809514199	0.818168001888336	2.78558096621744	0.0198019137806888	9.69850053956737	0.0629468970472628	0.57697328946005	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae	0.249682712738202	1.11970237621465	0.870019663476445	3.45016870397378	0.0102264419475457	7.20124462232212	0.0795236459755354	0.419841779500868	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales|Sneathiellaceae	-0.0916275908866137	0.110476988785134	0.202104579671748	-3.32750894076605	0.00897044985782645	8.90110735210954	-0.154024893267556	-0.0292302885056713	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae	1.09825227782581	2.64923343193466	1.55098115410885	3.63840731773189	0.00712479056037716	7.65214558635333	0.396639156623421	1.7998653990282	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Deltaproteobacteria|Bdellovibrionales|Bdellovibrionaceae	0.0536697466060208	0.139584610510063	0.0859148639040425	2.50220372355123	0.0313608541868046	9.98489328467024	0.00586861230941513	0.101470880902627	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Nannocystaceae	-0.230907094678704	0.281950933328837	0.51285802800754	-5.35202714648383	0.000414303684493317	9.28982887426104	-0.328043092394301	-0.133771096963106	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Gammaproteobacteria|Gammaproteobacteria_incertae_sedis|Unassigned	-0.457416943679742	1.12584054280938	1.58325748648912	-2.81162109587908	0.0272835779865067	6.70394842501546	-0.845583685220468	-0.0692502021390158	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Gammaproteobacteria|Nevskiales|Steroidobacteraceae	-1.08204284821424	2.63585878900593	3.71790163722017	-2.38910384174348	0.0385188031813617	9.78876406019119	-2.09414305803241	-0.0699426383960697	Welch Two Sample t-test	two.sided
