Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10	0.2511861568518	0.251714260914851	0.147195537651069	0.128020483277324	0.128700128700129	0.176115397517612	0.371333085777943	0.237936613686114	0.365196749748927	0.163681003910157	0.310146211785556	0.345323741007194	0.111818338207466	0.117954334821805	0.61794734013971	0.268421508355702	0.0501336898395722	0.197492701356689
Bacteria|Acidobacteria|Acidobacteria_Gp17	0.00930319099451112	0.0433990105025605	0.0232414006817478	0	0.0227117874176698	0.0419322375041932	0.185666542888971	0.0571047872846674	0.0273897562311695	0.0181867782122397	0.124058484714222	0.105515587529976	0.0774126956820919	0.0758277866711602	0.0985133440802436	0.0173175166681098	0.0250668449197861	0.0429331959471063
Bacteria|Acidobacteria|Acidobacteria_Gp3	0.00930319099451112	0.0347192084020484	0.00774713356058258	0.00800128020483277	0	0.00838644750083864	0.0371333085777943	0.0190349290948891	0.0456495937186159	0.0181867782122397	0.0177226406734603	0	0	0.0168506192602578	0.0268672756582483	0	0.00835561497326203	0.00858663918942126
Bacteria|Acidobacteria|Acidobacteria_Gp6	0.00930319099451112	0.0433990105025605	0	0.00800128020483277	0	0	0.111399925733383	0.0190349290948891	0.0456495937186159	0.0272801673183596	0.0886132033673017	0.105515587529976	0.0258042318940306	0.00842530963012891	0.0537345513164965	0.0606113083383843	0	0.0171732783788425
Bacteria|Acidobacteria|Vicinamibacteria	0.00930319099451112	0.0173596042010242	0.00774713356058258	0	0.00757059580588992	0.0167728950016773	0.12996658002228	0.0666222518321119	0.0456495937186159	0.0272801673183596	0.106335844040762	0.163069544364508	0.103216927576122	0.0337012385205156	0.0806018269747448	0.0259762750021647	0.0334224598930481	0.034346556757685
Bacteria|Actinobacteria|Acidimicrobiia	0.418643594753	0.772502386945578	0.627517818407189	0.504080652904465	0.446665152547505	0.511573297551157	1.27181581878945	1.03740363567146	0.757783255729024	0.818405019550787	0.948161276030129	1.06474820143885	0.765525546189575	0.791979105232117	0.994089199355185	0.580136808381678	0.710227272727273	0.669757856774858
Bacteria|Actinobacteria|Actinobacteria	21.9834403200298	33.5995139310824	24.5816547877285	23.8358137301968	13.5210841093194	18.9449849043945	21.9086520608986	27.9242409822023	28.1566694056423	23.6519050650177	25.2990695613646	22.6762589928058	28.642697402374	22.4703007835538	26.0970804227118	28.7730539440644	29.1026069518717	26.1463163317877
Bacteria|Actinobacteria|Rubrobacteria	0.0186063819890222	0.130197031507682	0.0464828013634955	0.0480076812289966	0.00757059580588992	0.0503186850050319	0.120683252877831	0.085657180927001	0.0365196749748927	0.0545603346367191	0.0354452813469207	0.143884892086331	0.0860141063134354	0.0421265481506445	0.0626903098692459	0.0692700666724392	0.116978609625668	0.0515198351365276
Bacteria|Actinobacteria|Thermoleophilia	1.3396595032096	1.84879784740908	0.937403160830493	1.34421507441191	0.863047921871451	1.61858436766186	2.2929818046788	2.35081374321881	1.39687756778965	1.58224970446485	1.80770934869296	2.47482014388489	1.5998623774299	1.0784396326565	1.51352319541465	1.1516148584293	1.57085561497326	1.39103554868624
Bacteria|Actinobacteria|Unassigned	0.1674574379012	0.190955646211266	0.0697242020452433	0.072011521843495	0.0529941706412295	0.142569607514257	0.213516524322317	0.180831826401447	0.182598374874464	0.245521505865236	0.0797518830305716	0.220623501199041	0.163426801995527	0.0758277866711602	0.268672756582483	0.173175166681098	0.142045454545455	0.214665979735532
Bacteria|Armatimonadetes|Unassigned	0	0.00867980210051211	0.0154942671211652	0.00800128020483277	0	0.0251593425025159	0.0556999628666914	0.0475873227372228	0.0365196749748927	0.00909338910611985	0.0177226406734603	0.0287769784172662	0.0258042318940306	0.00842530963012891	0.0447787927637471	0.0259762750021647	0.0167112299465241	0.00858663918942126
Bacteria|Bacteroidetes|Chitinophagia	0.1674574379012	0.078118218904609	0.0619770684846607	0.0800128020483277	0.0454235748353395	0.0754780275075478	0.566282955811363	0.342628723708004	0.520405368392221	0.436482677093753	0.310146211785556	0.268585131894484	0.378462067779116	0.53921981632825	0.367186100662726	0.38964412503247	0.259024064171123	0.180319422977846
Bacteria|Bacteroidetes|Cytophagia	1.05126058237976	0.668344761739432	0.255655407499225	0.304048647783645	0.386100386100386	0.159342502515934	1.53174897883401	0.904159132007233	1.36035789281475	2.26425388742384	1.04563579973416	0.824940047961631	1.18699466712541	1.11214087117702	1.4687444026509	1.47198891678933	0.6600935828877	0.918770393268075
Bacteria|Bacteroidetes|Flavobacteriia	1.64666480602847	1.8661574516101	7.15060427641773	2.51240198431749	4.39851616322205	1.89533713518953	1.56888228741181	7.25230798515276	6.78352962658632	4.92861689551696	2.12671688081524	2.14868105515588	3.91364183726131	4.49911534248884	2.92853304674906	1.98285565849857	3.7850935828877	4.51657221363558
Bacteria|Bacteroidetes|Sphingobacteriia	0.130244673923156	0.0607586147035848	0.0619770684846607	0.112017922867659	0.166553107729578	0.0251593425025159	0.0556999628666914	0.0666222518321119	0.118688943668401	0.100027280167318	0.0974745237040319	0.115107913669065	0.111818338207466	0.261184598533996	0.0895575855274942	0.0692700666724392	0.142045454545455	0.154559505409583
Bacteria|Bacteroidetes|Unassigned	0.0186063819890222	0	0.00774713356058258	0.0160025604096655	0	0.00838644750083864	0.0278499814333457	0.0190349290948891	0.0365196749748927	0.0272801673183596	0.00886132033673017	0.00959232613908873	0.0344056425253742	0.0168506192602578	0.00895575855274942	0.0086587583340549	0	0.0171732783788425
