Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10|Unassigned|Unassigned|Gp10	0.2511861568518	0.251714260914851	0.147195537651069	0.128020483277324	0.128700128700129	0.176115397517612	0.371333085777943	0.237936613686114	0.365196749748927	0.163681003910157	0.310146211785556	0.345323741007194	0.111818338207466	0.117954334821805	0.61794734013971	0.268421508355702	0.0501336898395722	0.197492701356689
Bacteria|Acidobacteria|Acidobacteria_Gp17|Unassigned|Unassigned|Gp17	0.00930319099451112	0.0433990105025605	0.0232414006817478	0	0.0227117874176698	0.0419322375041932	0.185666542888971	0.0571047872846674	0.0273897562311695	0.0181867782122397	0.124058484714222	0.105515587529976	0.0774126956820919	0.0758277866711602	0.0985133440802436	0.0173175166681098	0.0250668449197861	0.0429331959471063
Bacteria|Acidobacteria|Acidobacteria_Gp3|Unassigned|Unassigned|Gp3	0.00930319099451112	0.0347192084020484	0.00774713356058258	0.00800128020483277	0	0.00838644750083864	0.0371333085777943	0.0190349290948891	0.0456495937186159	0.0181867782122397	0.0177226406734603	0	0	0.0168506192602578	0.0268672756582483	0	0.00835561497326203	0.00858663918942126
Bacteria|Acidobacteria|Acidobacteria_Gp6|Unassigned|Unassigned|Gp6	0.00930319099451112	0.0433990105025605	0	0.00800128020483277	0	0	0.111399925733383	0.0190349290948891	0.0456495937186159	0.0272801673183596	0.0886132033673017	0.105515587529976	0.0258042318940306	0.00842530963012891	0.0537345513164965	0.0606113083383843	0	0.0171732783788425
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae|Vicinamibacter	0.00930319099451112	0.0173596042010242	0.00774713356058258	0	0.00757059580588992	0.0167728950016773	0.12996658002228	0.0666222518321119	0.0456495937186159	0.0272801673183596	0.106335844040762	0.163069544364508	0.103216927576122	0.0337012385205156	0.0806018269747448	0.0259762750021647	0.0334224598930481	0.034346556757685
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae|Acidiferrimicrobium	0.00930319099451112	0.0260394063015363	0.0387356678029129	0.0160025604096655	0	0	0.00928332714444857	0.0475873227372228	0.0273897562311695	0.0272801673183596	0.0177226406734603	0.00959232613908873	0.0258042318940306	0.00842530963012891	0.0358230342109977	0.0086587583340549	0.00835561497326203	0.0171732783788425
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiales_incertae_sedis|Aciditerrimonas	0	0.00867980210051211	0.0154942671211652	0	0.00757059580588992	0	0.0371333085777943	0.0380698581897782	0.0365196749748927	0	0.0620292423571112	0.0479616306954436	0.0172028212626871	0	0.0716460684219953	0	0.0250668449197861	0.0429331959471063
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae|Actinomarinicola	0.130244673923156	0.269073865115875	0.139448404090487	0.192030724915987	0.174123703535468	0.268366320026837	0.556999628666914	0.409250975540116	0.337806993517758	0.227334727652996	0.407620735489588	0.412470023980815	0.309650782728367	0.395989552616059	0.367186100662726	0.164516408347043	0.233957219251337	0.266185814872059
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae|Aquihabitans	0.0465159549725556	0.156236437809218	0.0619770684846607	0.0480076812289966	0.0227117874176698	0.0167728950016773	0.0835499443000371	0.161796897306558	0.0821692686935086	0.163681003910157	0.106335844040762	0.134292565947242	0.14622398073284	0.0674024770410313	0.134336378291241	0.0519525500043294	0.108622994652406	0.13738622703074
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae|Iamia	0.0372127639780445	0.078118218904609	0.170436938332817	0.0320051208193311	0.0529941706412295	0.0503186850050319	0.0278499814333457	0.0761397163795565	0.0639094312060623	0.063653723742839	0.0265839610101905	0.0383693045563549	0.0344056425253742	0.0589771674109024	0.0626903098692459	0.0606113083383843	0.0501336898395722	0.034346556757685
