Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10|Unassigned	0.2511861568518	0.251714260914851	0.147195537651069	0.128020483277324	0.128700128700129	0.176115397517612	0.371333085777943	0.237936613686114	0.365196749748927	0.163681003910157	0.310146211785556	0.345323741007194	0.111818338207466	0.117954334821805	0.61794734013971	0.268421508355702	0.0501336898395722	0.197492701356689
Bacteria|Acidobacteria|Acidobacteria_Gp17|Unassigned	0.00930319099451112	0.0433990105025605	0.0232414006817478	0	0.0227117874176698	0.0419322375041932	0.185666542888971	0.0571047872846674	0.0273897562311695	0.0181867782122397	0.124058484714222	0.105515587529976	0.0774126956820919	0.0758277866711602	0.0985133440802436	0.0173175166681098	0.0250668449197861	0.0429331959471063
Bacteria|Acidobacteria|Acidobacteria_Gp3|Unassigned	0.00930319099451112	0.0347192084020484	0.00774713356058258	0.00800128020483277	0	0.00838644750083864	0.0371333085777943	0.0190349290948891	0.0456495937186159	0.0181867782122397	0.0177226406734603	0	0	0.0168506192602578	0.0268672756582483	0	0.00835561497326203	0.00858663918942126
Bacteria|Acidobacteria|Acidobacteria_Gp6|Unassigned	0.00930319099451112	0.0433990105025605	0	0.00800128020483277	0	0	0.111399925733383	0.0190349290948891	0.0456495937186159	0.0272801673183596	0.0886132033673017	0.105515587529976	0.0258042318940306	0.00842530963012891	0.0537345513164965	0.0606113083383843	0	0.0171732783788425
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales	0.00930319099451112	0.0173596042010242	0.00774713356058258	0	0.00757059580588992	0.0167728950016773	0.12996658002228	0.0666222518321119	0.0456495937186159	0.0272801673183596	0.106335844040762	0.163069544364508	0.103216927576122	0.0337012385205156	0.0806018269747448	0.0259762750021647	0.0334224598930481	0.034346556757685
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales	0.418643594753	0.772502386945578	0.627517818407189	0.504080652904465	0.446665152547505	0.511573297551157	1.27181581878945	1.03740363567146	0.757783255729024	0.818405019550787	0.948161276030129	1.06474820143885	0.765525546189575	0.791979105232117	0.994089199355185	0.580136808381678	0.710227272727273	0.669757856774858
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales	0.00930319099451112	0	0.00774713356058258	0	0	0.0419322375041932	0	0.00951746454744456	0	0.00909338910611985	0.00886132033673017	0.0383693045563549	0.00860141063134354	0	0	0.0259762750021647	0.0417780748663102	0.00858663918942126
Bacteria|Actinobacteria|Actinobacteria|Frankiales	0.0372127639780445	0.0433990105025605	0.00774713356058258	0.0400064010241639	0.00757059580588992	0.0167728950016773	0.0464166357222428	0.0571047872846674	0.0273897562311695	0.0545603346367191	0.053167922020381	0.0767386091127098	0.0516084637880612	0.00842530963012891	0.0358230342109977	0.0259762750021647	0.0501336898395722	0.0257599175682638
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales	0.0465159549725556	0.243034458814339	0.092965602726991	0.072011521843495	0.0302823832235597	0.0838644750083865	0.148533234311177	0.237936613686114	0.118688943668401	0.0818405019550787	0.0974745237040319	0.345323741007194	0.0602098744194048	0.0421265481506445	0.107469102632993	0.147198891678933	0.183823529411765	0.0686931135153701
Bacteria|Actinobacteria|Actinobacteria|Glycomycetales	0.0744255279560889	0.16491623990973	0.0697242020452433	0.0320051208193311	0.0378529790294496	0.0670915800067092	0.0185666542888971	0.0285523936423337	0.0821692686935086	0.0272801673183596	0.0177226406734603	0.0383693045563549	0.0774126956820919	0.0421265481506445	0.0268672756582483	0.0606113083383843	0.0668449197860962	0.034346556757685
Bacteria|Actinobacteria|Actinobacteria|Kineosporiales	0.455856358731045	1.0068570436594	0.395103811589712	0.80812930068811	0.174123703535468	0.285139215028514	0.891199405867063	0.628152660131341	0.629964393316899	0.827498408656906	0.682321665928223	0.594724220623501	1.23860313091347	1.1963939674783	0.958266165144188	0.857217075071435	0.98596256684492	0.635411300017173
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	1.43269141315471	1.90955646211266	1.1543229005268	1.28020483277324	0.726777197365433	1.27474002012747	1.56888228741181	1.79880079946702	1.32383821783986	1.35491497681186	2.01151971643775	1.77458033573141	1.35042146912094	1.02788777487573	1.64785957370589	1.52394146679366	1.11129679144385	1.59711488923235
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales	5.21909014792074	7.65558545265168	4.60179733498606	4.2486797887662	2.34688469982588	4.51190875545119	5.26364649090234	7.28086037879509	7.25828540125993	5.07411112121488	5.75985821887461	5.32374100719424	5.66832960605539	4.59179374842025	5.70481819810138	4.81426963373452	5.5230614973262	5.9763008758372
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales	0.595404223648711	0.650985157538408	0.635264951967772	0.240038406144983	0.189264895147248	0.234820530023482	0.45488303007798	0.43780336918245	0.328677074774035	0.427389287987633	0.336730172795747	0.383693045563549	0.490280405986582	0.202207431123094	0.725416442772703	0.40696164170058	0.317513368983957	0.257599175682638
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	3.0142338822216	4.64369412377398	4.15246358847227	3.05648903824612	2.73298508592626	3.48037571284804	3.02636464909023	4.47320833729894	3.15895188532822	2.73711012094207	3.87239698715109	3.2326139088729	3.01049372097024	2.77192686831241	3.68081676518001	3.67131353363928	3.5427807486631	3.25433625279066
