phylum	superkingdom	E1.filtered.qc-renamed	E2.filtered.qc-renamed	E3.filtered.qc-renamed	E4.filtered.qc-renamed	E5.filtered.qc-renamed	E6.filtered.qc-renamed	E7.filtered.qc-renamed	N1.filtered.qc-renamed	N2.filtered.qc-renamed	O1.filtered.qc-renamed	O2.filtered.qc-renamed	S1.filtered.qc-renamed
4484-113	Bacteria		0.0028390298344205	0.0187165775401069							0.0040000001258077	0.0511811023622046	0.0188679245283018
4572-55	Bacteria											0.0039370078740157	
ARS69	Bacteria		0.0027855153203342								0.0039999999999988		
AUK180	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
Acidobacteriota	Bacteria	0.5634865006952293	2.5831318216121066	2.4320591132218103	0.623174825314292	0.7536029582958225	1.8884151332578634	1.568275544465729	2.289095733243511	5.259560489890139	1.384989852450063	2.429141448371928	2.1616373640892785
Actinomycetota	Bacteria	8.192352051207811	32.69968955666526	28.818710934642937	12.449709678307364	12.607824816723017	23.738763677157294	20.615137929564483	29.579756935318038	60.339815893970915	18.72939437627495	26.370396168768487	24.405208587223846
Aerophobota	Bacteria								0.0083333333333333	0.0392156862745098			
Aquificota	Bacteria	0.0662645819485927	0.304849664928169	0.2614698697205988	0.09369676321568919	0.1931818181818179	0.2758969448271266	0.11364743603177771	0.19166666666667628	0.49019607843137253	0.1408331191167279	0.1220481266647436	0.1854526336854686
Armatimonadota	Bacteria	0.145782080286904	0.37651295311101957	0.3297328387133693	0.0749025559313249	0.0801459475947583	0.2022736981892607	0.1591028393397563	0.2578102631538108	0.9215686274509803	0.1768320594063178	0.33071060307188527	0.3520330944038844
Atribacterota	Bacteria	0.0328947368421052	0.036265213678431496	0.032554233285652004	0.0068143100441607	0.0113636363636363	0.0077574432186126		0.0083333333333333	0.13725490196078433	0.012000000125807701	0.043307086614173096	
Auribacterota	Bacteria		0.1030640668523676	0.0133689839572192	0.0545144804088586	0.1022727272727272	0.1108742004264392				0.008		
BMS3Abin14	Bacteria	0.0131578947368421	0.0501392757660167	0.1042780748663101	0.0085178875728364	0.034090909090909	0.0170575693055834			0.0196078431372549	0.016		
