class	phylum	superkingdom	E1.filtered.qc-renamed	E2.filtered.qc-renamed	E3.filtered.qc-renamed	E4.filtered.qc-renamed	E5.filtered.qc-renamed	E6.filtered.qc-renamed	E7.filtered.qc-renamed	N1.filtered.qc-renamed	N2.filtered.qc-renamed	O1.filtered.qc-renamed	O2.filtered.qc-renamed	S1.filtered.qc-renamed
CAIWAD01	CAIWAD01	Bacteria									0.0196078431372549	0.0080000011575063		0.0188710888910094
CAJVYJ01	Actinomycetota	Bacteria	0.0131578947368421	0.0027855153203342							0.0196078431372549	0.0080000011575063		0.0188710888910094
CAKKQC01	CAKKQC01	Bacteria									0.0196078431372549			
CALGFH01	Actinomycetota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407			0.0196078431372549		0.003937184388067	0.0201093946616221
CALKMS01	Actinomycetota	Bacteria				0.0034071550255536			0.0227272727272727					
CG03	CG03	Bacteria	0.0601171437084863	0.0027855153203345							0.0196078431372549			0.0418103726405409
CG2-30-40-21	UBA9089	Bacteria			0.0058162653712135	0.0017035775147826					0.058823529411764705		0.0078740157480314	
CG2-30-70-394	CG2-30-70-394	Bacteria									0.0196078431372549			
CLD3	CLD3	Bacteria		0.0027855153203342								0.004	0.0078740157480314	
CPR2	Patescibacteriota	Bacteria		0.1831971913597447	0.0744096722137987	0.028905963065364103	0.0233277657765767	0.0136112980100006	0.1363755666124836	0.2411435964871442	0.058823529411764705	0.0400073331808446	0.027559055118109903	0.0364901304845323
CPR3	Patescibacteriota	Bacteria											0.0039370078740157	
CSSED10-310	CSSED10-310	Bacteria									0.0196078431372549		0.0039370078740157	
Caldisericia	Caldisericota	Bacteria	0.019831863758139598	0.011098962896217	0.011632530742427	0.0085124710649211		0.0106609808102345		0.0083333333333333	0.19607843137254902	0.023999999999999	0.047244271002240004	0.0484112814540748
Calditrichia	Calditrichota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407		0.0250003287102201	0.0392156862745098	0.012	0.0393702552542085	0.029543356925773
Calescibacteriia	Calescibacteriota	Bacteria									0.0196078431372549			
Campylobacteria	Campylobacterota	Bacteria	1.1851819928222067	6.381236176892655	5.3812117982242045	2.433322753189925	2.417497811781161	4.44569677877016	4.182129146442425	6.210961914109633	13.489629180080952	3.671709834902155	5.350409057509888	4.796941157716471
Ch66	Bacillota	Bacteria		0.0141184181306688	0.0026737967914438	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0750000000000049		0.0200036665904223	0.0078740157480314	
Chitinivibrionia	Fibrobacterota	Bacteria	0.0066739690212975		0.016042780748663	0.0068143100511072	0.0113636363636363	0.0127931769722814	0.0227272727272727		0.0784313725490196	0.0120000011575063	0.027559231632161302	0.0484144458167824
Chlamydiia	Chlamydiota	Bacteria	0.1519809410438193	0.528763287379221	0.8559901009977845	0.1584381252260989	0.4090909090909085	0.39064913412880237	0.2954877626407877	0.4833333333333626	0.9827214214156578	0.44084412396565004	0.3897650151259157	0.3011557785727504
Chlorobiia	Bacteroidota_A	Bacteria	0.0727485076641373	0.37665208555535007	0.299665255932612	0.10391822830330809	0.1818181818181815	0.35861465077306537	0.0681873543795252	0.1333336620435582	0.6078431372549019	0.2090285679074349	0.169292044638881	0.2691263170176292
Chloroflexia	Chloroflexota	Bacteria	0.0928654363809063	0.17746718344982249	0.3912550095812224	0.039182282802819	0.1249999999999998	0.194623656539645	0.090920163304505	0.1916673240871167	0.43137254901960786	0.1966266755768086	0.3267730656557159	0.2929569577165046
Chrysiogenetes	Chrysiogenota	Bacteria									0.0196078431372549	0.004		
Chthonomonadetes	Armatimonadota	Bacteria	0.0329897584949817	0.0084100604750889	0.0276753114910901	0.005110732542342		0.0063965884861407			0.1568627450980392	0.0160000001258076	0.0590552946242873	0.029543356925773
Cloacimonadia	Cloacimonadota	Bacteria	0.013347938042595	0.2048060015827826	0.08272462193160371	0.0306095405691885	0.0233277657765767	0.09538748812209019	0.09091548496023111	0.1744769298204726	0.39215686274509803	0.0442101142319	0.0787405105084169	0.1427498200195404
Clostridia	Bacillota	Bacteria	12.019593638073255	45.99451832020818	43.16225336550371	19.58327211509502	19.213115695172988	35.75007381303775	29.77543516073176	42.77690559945111	93.1317459884477	28.696602564683854	41.4416954033464	36.6496106664668
Coprothermobacteria	Coprothermobacterota	Bacteria		0.0217996517520355	0.0056411529263612	0.0017035775127768	0.0113636363636363	0.0087443803801607			0.058823529411764705	0.0082064464839714	0.0039370078740157	0.0094339622641509
Coriobacteriia	Actinomycetota	Bacteria	0.6619806679157922	3.957824097807998	3.533944139817201	1.0983578256490747	1.6525312171217021	2.7847773354951144	2.0910709672723526	3.1541514015789414	5.823529411764706	2.0814226213111877	2.7795349726452763	2.279310824837872
Cyanobacteriia	Cyanobacteriota	Bacteria	0.5567689325378642	2.840673627631577	2.1023057104873	0.6673581313327772	0.834349398939885	1.7101621047309943	1.6592029596748077	2.4963825975075653	4.705882352941177	1.3967702605091032	2.251974152386673	2.1171840922375953
D2-FULL-39-29	Firestonebacteria	Bacteria	0.013347938042595			0.0085178875549317		0.020550620190894			0.0196078431372549	0.004	0.007874368776134	0.0402187893232442
DAOPZR01	DAOPZR01	Bacteria									0.0196078431372549	0.0080000011575063		0.0188710888910094
DAOWOC01	Desulfobacterota	Bacteria									0.0196078431372549			
DASVDK01	DASVDK01	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
DASYRF01	Myxococcota	Bacteria									0.0196078431372549			
DG-23	Planctomycetota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.0157482080101142	0.029543356925773
DG-26	TA06	Bacteria		0.0083565459610027							0.0196078431372549		0.0039413639546537	
DG-26_A	TA06_A	Bacteria			0.0026737967914438									
DRYD01	DRYD01	Bacteria										0.004		
DSM-12270	Bacillota	Bacteria		0.041542615037459	0.0270315272579119	0.0119250425804854		0.0217566846081624	0.0454600816522525	0.0750000000000049	0.0392156862745098	0.044211173539651205	0.0629919494702183	0.0188679245283018
DSM-16504	Bacillota	Bacteria												0.0094339622641509
DSM-4660	Desulfobacterota	Bacteria	0.0066739690212975	0.22401097954348148	0.0883657748579649	0.0323131180909177	0.0233277657765767	0.07602752325955581	0.1591028393397563	0.2411435964871442	0.21568627450980393	0.0924165605344601	0.0393702552542083	0.1037725008296165
DSWW01	Desulfobacterota	Bacteria	0.0131578947368421	0.0501392757660167	0.1042780748663101	0.0085178875728364	0.034090909090909	0.0170575693055834				0.012		
DTU014	Bacillota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
DTU025	Bacillota	Bacteria		0.0197429632854235	0.0187165775401069	0.008517887563884101		0.0437857370124822	0.0454600816522525	0.0750000000000049		0.0399999999443976	0.0590551181102359	
DTU030	Bacillota	Bacteria									0.0196078431372549			0.0094339622641509
DTU065	Bacillota	Bacteria				0.0034071550255536		0.0021321965654842			0.0392156862745098	0.004	0.0039370078740157	
DTU084	Bacillota	Bacteria		0.0027855153203342		0.0034071550255536			0.0227272727272727	0.0083333333333333			0.0039370078740157	
DTU086	Bacillota	Bacteria									0.0196078431372549		0.0039370078740157	
DTXE01	Desulfobacterota	Bacteria									0.0196078431372549			
DUMJ01	DUMJ01	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
DUOV01	Bacillota	Bacteria											0.0039370078740157	
DVGY01	Bacillota	Bacteria			0.0026737967914438									
Deferribacteres	Chrysiogenota	Bacteria	0.1650438141277849	0.3171151646680937	0.440719832641606	0.0749025559282426	0.1369641294129401	0.1501889590879416	0.181830112067029	0.2661442539075845	0.39215686274509803	0.2680036713445264	0.2519695630213144	0.2514956141838967
Deferrimicrobia	Desulfobacterota_E	Bacteria	0.072463442705508	0.108635097493036	0.21122994652406402	0.0221465076840032	0.068181818181818	0.0982477776477315	0.0227272727272727	0.0083333333333333	0.0392156862745098	0.024	0.007874192262082701	0.0201093946616221
Deferrisomatia	Desulfobacterota_C	Bacteria										0.0039999999999988		
Dehalobacteriia	Bacillota	Bacteria	0.019831863758139598	0.0888963754831415	0.1371258674954355	0.0306643952319884	0.034090909090909	0.0494752355308549	0.0909146271067979	0.1338564035128701	0.3137254901960784	0.06021011320020141	0.0787403339943657	0.0484112814540748
Dehalococcoidia	Chloroflexota	Bacteria	0.2257310877535299	1.1787334366611246	0.9656518709720724	0.3524705646824376	0.42225602460245687	0.7543416417031901	0.818250826114602	1.3072871929742955	1.9827214214156577	0.5968624589003183	0.8937029055701858	0.7416659256207243
Deinococci	Deinococcota	Bacteria	0.0727485076641373	0.22624569858876228	0.27099081951248033	0.0936967632156891	0.14772727272727249	0.2657008924531634	0.0454600816522525	0.1166669953769181	0.5686274509803921	0.1360000019825589	0.405512517079826	0.20308541680586528
Desulfarculia	Desulfobacterota	Bacteria	0.006578947368421	0.0387570997171248	0.024357730466468098	0.0068143100511073		0.0182636337136436	0.0681873543795252	0.1166666666666401	0.09803921568627451	0.0362101120426961	0.0748031496062989	0.0377358490566036
Desulfitobacteriia	Bacillota	Bacteria	0.0066739690212975	0.019646350386217398	0.0143063275338708	0.018733936141582		0.013783646061014	0.0681873543795252	0.0750000000000049	0.1568627450980392	0.0520036677479282	0.051181278876255606	0.06728237034508419
Desulfobaccia	Desulfobacterota	Bacteria	0.0066739690212975	0.0273698622686638	0.09922404062689591	0.0034071550255536	0.0454545454545454	0.083503761829234			0.0784313725490196	0.0482064464839716	0.035433247380192705	0.0389773191899239
Desulfobacteria	Desulfobacterota	Bacteria	0.1727194221946557	0.7365607994597756	0.307568199408322	0.2947189097184142	0.47787844896560866	0.7334443907419773	0.181830112067029	0.3250003287102296	0.9803921568627451	0.2606182819453049	0.4133872388840621	0.3995593476340305
Desulfobulbia	Desulfobacterota	Bacteria	0.106454840246063	0.2278482142314748	0.21228573699933662	0.0885860306664006	0.1363636363636362	0.2909625051175689	0.0909146271067979	0.1166669953768916	0.45098039215686275	0.1164165623766085	0.2440950177311293	0.2247863947847841
Desulfofervidia	Desulfobacterota	Bacteria									0.0392156862745098			
Desulfomonilia	Desulfobacterota	Bacteria	0.026505832779437098	0.2681983617348747	0.2145028958441516	0.0408310056657598	0.0574186748674857	0.07695388292289809	0.09091548496023111	0.1744769298204991	0.2549019607843137	0.08441656199918421	0.0826775183824328	0.14275298438224798
Desulfotomaculia	Bacillota	Bacteria	0.0131578947368421	0.1824441132242315	0.0463352234849659	0.0647359454855195	0.1022727272727272	0.1477683223771558			0.2549019607843137	0.044619339577722	0.070866141732283	0.0377358490566036
Desulfovibrionia	Desulfobacterota_I	Bacteria	0.2720687842911066	1.443071255431772	0.9400314748852969	0.3814313824314416	0.5472560246024566	1.0040863590335352	0.7046033900828244	1.1984317755921388	2.0392156862745097	0.6742950422434945	0.7834668616118136	0.9906923410648542
Desulfurellia	Campylobacterota	Bacteria				0.0017035775127768		0.0385308760030931			0.0392156862745098	0.0239963332281677	0.0078740157480314	
Desulfuromonadia	Desulfobacterota	Bacteria	0.1390130896127301	0.4855289135380106	0.6362821261527601	0.10045621863687029	0.1710550385038491	0.3987351005564994	0.272750275371534	0.4244775872409276	0.8235294117647058	0.3048367919423127	0.37401733665793757	0.3967357872715363
Dethiobacteria	Bacillota	Bacteria	0.0131578947368421	0.2006995737516603	0.1310160427807484	0.0851788756477935	0.15909090909090878	0.1417154157930366	0.11364189983407061	0.1255227414693167	0.1764705882352941	0.0600036665904224	0.070866141732283	0.0283018867924527
Dictyoglomia	Dictyoglomota	Bacteria				0.0034071550255536			0.0227272727272727		0.0392156862745098			
Dissulfuribacteria	Desulfobacterota	Bacteria	0.0066739690212975	0.0415961295515453	0.0484219015894627	0.0102214650766609	0.0113636363636363	0.0203958298756905	0.0454600816522525	0.0750000000000049	0.1764705882352941	0.0402101133260079	0.0866143497423975	0.029543356925773
Dojkabacteria	Patescibacteriota	Bacteria	0.0329897584949817	0.0698822390514402	0.1421799017348496	0.0221465076770567	0.034090909090909	0.0372378038527381	0.0454600816522525	0.1171894081359833	0.19607843137254902	0.0600047270556799	0.0708661417323011	0.0484112814540748
Dormibacteria	Chloroflexota	Bacteria	0.11222219187466359	0.453329627241484	0.3510296108109432	0.12947189098199668	0.23924208532924518	0.24094726270540928	0.2045629209920088	0.3411435964871491	0.37254901960784315	0.1682148412319774	0.2322839941090996	0.2018365338710864
Doudnabacteria	Patescibacteriota	Bacteria		0.0387570997171248	0.024357730466468098	0.0170357751188158		0.0238888811736466	0.0454600816522525	0.0916666666666715	0.19607843137254902	0.0482101143577077	0.051181102362204495	0.0283050511551603
E44-bin80	WOR-3	Bacteria								0.0083336620435535		0.008	0.0039370078740157	
Electryoneia	Electryoneota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
Elusimicrobia	Elusimicrobiota	Bacteria	0.0727485076641373	0.1830398543385714	0.2456022014167879	0.0630323679787594	0.0568181818181816	0.2539403841076789	0.1591019814863231	0.2083333333333116	0.6470588235294118	0.160624067986921	0.2952761200933516	0.1559124411224032
Endomicrobiia	Elusimicrobiota	Bacteria	0.0200219070638925	0.0273698622686638	0.1050403059981094	0.0136286201042202	0.0454545454545454	0.0813561569817156		0.0083333333333333	0.23529411764705882	0.0562027808696453	0.0629926555264053	0.1075011596683284
Entotheonellia	Tectomicrobia	Bacteria									0.0196078431372549			
Erginobacteria	PUNC01	Bacteria		0.0028390298344205	0.0160427807486631							0.008000000125807701	0.0354330708661417	
FAC87	Bdellovibrionota	Bacteria		0.0141184181306688	0.0053475935828876	0.0102214650766609		0.0052548610093891	0.0681873543795252	0.0833336620435584	0.0392156862745098	0.044004726929872104	0.0157478549820295	
FW602-bin22	Chloroflexota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.007874192262082701	0.0201093946616221
Fermentibacteria	Fermentibacterota	Bacteria		0.0301561977130382	0.0056411529263612			0.0087443803801607			0.0784313725490196	0.0242053861445191	0.0039370078740157	0.0283018867924527
Fermentithermobacillia	Bacillota	Bacteria		0.0083565459610027	0.0053475935828876						0.09803921568627451	0.020001061496956102	0.0196848628560453	0.0283050511551603
Fibrobacteria	Fibrobacterota	Bacteria	0.0729385509698902	0.2713863162684308	0.3562141257906756	0.0510524707245159	0.1369641294129401	0.2087077578222549	0.09091548496023111	0.1661435964871393	0.4117647058823529	0.1444165623766086	0.2401585393992674	0.2514924498211891
Fimbriimonadia	Armatimonadota	Bacteria	0.0464327181904531	0.0988786536142038	0.0521514888561794	0.0136286201042202	0.0227272727272726	0.113819938363		0.0166666666666666	0.39215686274509803	0.06861827923827221	0.0787408635365196	0.118173427703092
Fusobacteriia	Fusobacteriota	Bacteria	0.1706212266121647	0.3271962699980845	0.5130385461074035	0.8361458441630892	0.1136363636363633	0.5965232460820951	0.6136806532180198	0.6750006574204793	1.0778644741985985	0.4080146697376037	0.5551191693205252	0.3326158258149504
GCA-002687715	Planctomycetota	Bacteria	0.0131578947368421	0.0501392757660167	0.11009434023752361	0.010221465087619	0.034090909090909	0.0170575693055834			0.0392156862745098	0.012	0.0039370078740157	
GCA-003054495	Bacillota	Bacteria									0.0196078431372549		0.0039370078740157	
GWA2-38-11	Schekmanbacteria	Bacteria				0.0034071550255536		0.0021321965654842			0.0392156862745098	0.0079999999999988	0.0039370078740157	
GWC2-55-46	Desulfobacterota	Bacteria	0.0066739690212975	0.024638681586456	0.024357730466468098	0.0017035775127768		0.0151409688663014			0.1568627450980392	0.0202064477672854	0.043307263128224395	0.0484144458167824
GWE2-31-10	Spirochaetota	Bacteria	0.0066739690212975	0.0028390298344205	0.0160427807486631	0.0017035775127768		0.0620004428745178			0.0196078431372549	0.0040000001258077	0.039370255254208696	0.0201093946616221
Gammaproteobacteria	Pseudomonadota	Bacteria	30.39418536455115	127.62216481735103	114.26079442817792	52.664578333575925	49.434245543278294	91.2714221827829	77.82560270058879	114.0541429188253	239.8501499240735	71.584002159176	98.9371012491196	92.99094768853436
Gemmatimonadetes	Gemmatimonadota	Bacteria	0.2051826499084462	0.7732256466036962	0.7338272142737492	0.2845522993016174	0.363641592279941	0.8125766513971051	0.7046008165225247	0.983377422097617	2.196078431372549	0.6176835204027568	0.9448841844464415	0.7708845721296043
Geothermincolia	Actinomycetota	Bacteria		0.0217996517520355	0.013662543300692699	0.0017035775127768	0.0113636363636363	0.0087443803801607			0.0392156862745098	0.0082064464839714	0.0236220472440943	0.0188679245283018
Gracilibacteria	Patescibacteriota	Bacteria	0.1525074718250103	0.2114814459811562	0.5114574182975743	0.0442930153610598	0.1477272727272724	0.1559984317698905	0.0909090909090908	0.0250003287102201	0.45098039215686275	0.1362064482705165	0.2598430492271923	0.177613419101322
HRBIN16	Armatimonadota	Bacteria	0.0066739690212975	0.0055710306406685		0.0051107325383304		0.0085287850516249			0.058823529411764705	0.004	0.007874192262082701	0.0201093946616221
HRBIN17	Armatimonadota	Bacteria	0.0263157894736842	0.0670432092170197	0.10695187165775391	0.015332197623943701	0.034090909090909	0.0223124303149725	0.0454600816522525	0.0833333333333382	0.0196078431372549	0.0320036665904223	0.011811023622047102	
Halanaerobiia	Bacillota	Bacteria	0.0329897584949817	0.0139802709917172	0.1176470588235293	0.0102214650766608	0.0454545454545454	0.029816508677805297		0.0250003287102201	0.09803921568627451	0.0520000001258078	0.090551357616413	0.07671316824652749
Hebobacteria	Armatimonadota	Bacteria			0.0058162653712135	0.0017035775147826		0.0021321961620469	0.0227272727272727		0.0392156862745098		0.0078740157480314	
Hinthialibacteria	Hinthialibacterota	Bacteria		0.0028390298344205	0.0160427807486631	0.0034071550255536	0.0113636363636363	0.0385308760030931		0.0083333333333333	0.0392156862745098	0.015996333353975302	0.047244094488188795	
Holophagae	Acidobacteriota	Bacteria	0.026505832779437098	0.022581993119843997	0.03475935828877	0.0119250425894377		0.018048037981670498	0.0909146271067979	0.10000032871022499	0.29411764705882354	0.07200366684203531	0.1141735813745588	0.0779546383798478
Humimicrobiia	Actinomycetota	Bacteria		0.0169574479650893	0.0240641711229946	0.008517887563884101		0.0052548610093891	0.0454600816522525	0.1167097693002776	0.0196078431372549	0.024003666716230002	0.0629921259842517	0.0094339622641509
Hydrogenedentia	Hydrogenedentota	Bacteria	0.0066739690212975	0.0507653148670953	0.040575623659983295	0.0340715502485898		0.0791104715462482	0.1591075176840302	0.233333333333348	0.0784313725490196	0.10400733428274711	0.0905513576164129	0.0578484080809333
