order	class	phylum	superkingdom	E1.filtered.qc-renamed	E2.filtered.qc-renamed	E3.filtered.qc-renamed	E4.filtered.qc-renamed	E5.filtered.qc-renamed	E6.filtered.qc-renamed	E7.filtered.qc-renamed	N1.filtered.qc-renamed	N2.filtered.qc-renamed	O1.filtered.qc-renamed	O2.filtered.qc-renamed	S1.filtered.qc-renamed
0-14-0-10-38-17	Microgenomatia	Patescibacteriota	Bacteria								0.0083333333333333				
0-14-0-20-40-13	WWE3	Patescibacteriota	Bacteria		0.0217996517520355	0.0056411529263612			0.0087443803801607			0.0392156862745098	0.0082064464839714	0.0039370078740157	0.0094339622641509
0-14-0-80-59-12	0-14-0-80-59-12	Bacteroidota_A	Bacteria								0.0083333333333333				
1-14-2-50-48-13	Gracilibacteria	Patescibacteriota	Bacteria									0.0196078431372549			
16-39-46	Alphaproteobacteria	Pseudomonadota	Bacteria									0.0196078431372549			
2-01-FULL-39-33	Patescibacteriia	Patescibacteriota	Bacteria		0.0141184181306688	0.0084900621626573	0.008517887565889901		0.0052548610093891	0.0454600816522525	0.0916669953768917	0.058823529411764705	0.0280036665904223	0.0236220472440943	0.0094339622641509
2-01-FULL-45-10	Koll11	Omnitrophota	Bacteria		0.0028390298344205	0.024532842911320397	0.0017035775147826					0.0784313725490196	0.0040000001258077	0.0472440944881889	0.0094339622641509
2-01-FULL-47-10	Minisyncoccia	Patescibacteriota	Bacteria										0.0080000000000001		
2-01-FULL-59-12	Elusimicrobia	Elusimicrobiota	Bacteria									0.0196078431372549			
2-01-FULL-66-17	Nitrospiria	Nitrospirota	Bacteria				0.0034071550255536								
2-02-FULL-35-15	Vampirovibrionia	Cyanobacteriota	Bacteria									0.0196078431372549	0.0039999999999988	0.0039370078740157	
2-02-FULL-39-11	Microgenomatia	Patescibacteriota	Bacteria	0.0066739690212975	0.0028390298344205	0.0160427807486631	0.0017035775127768		0.0063965884861407				0.012000000125807701	0.039370255254208696	0.0201093946616221
2-02-FULL-39-32	Elusimicrobia	Elusimicrobiota	Bacteria									0.0392156862745098			
2-02-FULL-40-12	Minisyncoccia	Patescibacteriota	Bacteria	0.0066739690212975	0.0254210229542645	0.0508021390374331	0.008517887563884101		0.06725530388390691	0.0454600816522525	0.0833333333333382	0.058823529411764705	0.0400036681253517	0.1299214363565707	0.0484144458167824
2-02-FULL-44-16	UBA10199	UBA10199	Bacteria	0.0066739690212975			0.0017035775127768		0.0106609808102345			0.058823529411764705	0.0039999988424947	0.003937184388067	0.0201093946616221
2-02-FULL-51-18	Koll11	Omnitrophota	Bacteria			0.0058162653712135	0.0017035775147826					0.0392156862745098			
2-12-FULL-35-15	Bacteroidia	Bacteroidota	Bacteria	0.013347938042595	0.0027855153203342		0.0034071550255536		0.0170575692963752			0.0392156862745098	0.016000000000001	0.0196853923981812	0.0685238404784045
2-12-FULL-37-12	Bacteroidia	Bacteroidota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
2-12-FULL-41-13	Minisyncoccia	Patescibacteriota	Bacteria				0.0017035775127768		0.0385308760030931				0.0119963332281676	0.0078740157480314	
2-12-FULL-50-11	UBA1384	Patescibacteriota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407			0.0392156862745098		0.003937184388067	0.029543356925773
2-12-FULL-57-11	Patescibacteriia	Patescibacteriota	Bacteria	0.0131578947368421	0.016903933451003	0.0026737967914438	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0750000000000049		0.0200036665904223	0.0078740157480314	
