PathwayL2	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
_sorting_and_degradation	191177.92	157083.18	263252.28	176228.88	164112.42	155160.7	383000.64	109153.4	232157.2	122017.81	274645.44	119892.22	200850.36	215422.8	223212.48	242993.18	270190.22	308267.63
Aging	28321.97	23194.3	40311.63	27757.75	26797.8	23350.12	74153.68	23721.96	45886.1	26753.94	54349.91	25154.59	44728.22	63179.71	57090.89	63414.39	70430.35	68901.79
Amino_acid_metabolism	872634.66	700184.1	1168779.93	803112.92	767133.73	677280.63	1545309.12	404212.36	929309.31	459173.87	1112750.79	495879.19	793093.61	801649.76	910342.41	952946.51	1122016.79	1275410.86
Biosynthesis_of_other_secondary_metabolites	200312.25	157779.2	269807.98	177721.92	170574.19	155534.99	357966.66	90750.3	201309.75	114066.52	245803.39	111064.51	174360.6	163570.39	204322.75	201704.18	225468.55	281318.34
Cancer:_overview	66636.22	52604.2	80524.17	57550.4	58949.52	48808.23	110019.83	35377.84	62169.23	38654.6	71977.39	33815.78	56560.53	76216.8	73933.39	77016.76	89674.78	95833.65
Cancer:_specific_types	5480.24	4534.43	8632.75	5325.8	4807	4207.18	15975.34	2973.72	9158.5	3375.11	10534.51	4237.42	9059.96	9990.05	9176.65	11275.18	11142.12	12100.98
Carbohydrate_metabolism	1257313.96	971345.79	1613470.84	1093330.37	1086965.39	974811.16	2230119.01	725890.2	1367544.21	879764.71	1595079.64	727771.74	1133752.61	1277128.45	1406125.37	1428211.95	1640805.06	1893939.18
Cardiovascular_disease	22376.78	17459.99	28589.75	20958.86	18287.04	16502.39	32383.62	7874.73	17853.87	8595.96	23009.89	10629.63	17566.72	16653.59	17948	20034.34	22581.03	26940.72
Cell_growth_and_death	99008.81	85886.63	145426.12	92732.99	90816.16	75438.18	229267.9	65025.69	142230.48	75118.6	165705.51	73937.44	117051.07	116786.5	130796.64	132231.01	139018.25	180156.44
Cell_motility	99384.03	54060.89	190073.65	67213.81	54529.91	127774.81	316394.25	30750.39	181315.74	42265.59	200634.39	70974.18	129160.37	21509.89	42500.93	31567.69	42530.93	66214.1
Cellular_community_-_prokaryotes	228581.03	193318.82	345485.22	225474.2	199480.91	216176.21	507022.46	135734.61	331318.95	164656.13	366461.58	153573.27	250795.32	235075.6	259502.25	296613.88	341000.53	376544.62
Circulatory_system	101.5	4	2	2	31	0	2091.5	175.5	719	194	1051.5	208	1642	1758	3228.5	2196.5	3987	2298
Development_and_regeneration	2314.5	1801.5	1775	2554.75	2298.5	1283	3956.88	1142.73	1556.97	599.33	2245.24	1029.5	1848.08	1294.7	1872.32	2230.03	2402.07	2736.97
Digestive_system	15220.66	10845.17	20126.54	9904.44	9928.89	5522.56	39700.27	13483.92	26893.21	17007.96	29171.44	13674.18	18662.99	19317.66	25293.85	23364.95	24622.63	34830.68
Drug_resistance:_antimicrobial	132000.46	93120.56	151684.01	118730.32	110949.16	90301.06	228082.43	77465.56	154521.1	96157.18	174026.76	75598.28	126336.62	125284.73	156547.82	161408.72	179881.53	205807.28
Drug_resistance:_antineoplastic	29093.12	24655.93	40577.29	24915.4	26035.97	21699.82	64276.89	21194.23	38064.9	23605.95	45843.91	20536.94	33043.8	39070.71	43018.82	45069.43	51758.1	58767.02
Endocrine_and_metabolic_disease	26877.75	24083.15	38988.77	25048.36	23874.15	20778.06	59868.85	18227.42	33401.9	19863.09	39246.37	17916.51	29308.38	34459.47	36767.89	38143.32	45206.23	49166.72
Endocrine_system	100914.43	84677.3	133855.4	85073.15	89500.91	74502.84	186753.09	55324.06	110307.83	67114.77	124652.74	59347.99	91777.92	105736.22	108558.92	111765.62	118730.36	144966.14
Energy_metabolism	514289.97	412922.41	710257.35	475860.9	441895.64	397773.03	1122272.7	309036.92	646581.87	363958.68	774604.8	336583.09	534811.5	553970.58	644224.87	643308.57	740146.94	881464.36
Environmental_adaptation	31522.55	22788.61	39779.17	23810.52	26669.55	20573.98	67608.99	14259.81	41366.08	17647.6	48089.56	20948.05	36728.28	31236.55	35453.74	35043.02	38808.8	46685.83
Excretory_system	4844.21	673.91	1072.37	1306.53	2584.5	389.25	4752.05	430.06	3199.46	513.25	3156.15	1307.75	2440.5	4006.79	3019.15	3140.2	5236.4	4564.55
Folding	191177.92	157083.18	263252.28	176228.88	164112.42	155160.7	383000.64	109153.4	232157.2	122017.81	274645.44	119892.22	200850.36	215422.8	223212.48	242993.18	270190.22	308267.63
Glycan_biosynthesis_and_metabolism	339585.73	201109.97	339785.13	234518.46	273436.02	169747.02	593758	167541.46	376844.29	207803.72	443790.13	190591.36	298249.22	324076.61	380475.04	386660.48	383135.48	512475.12
Immune_disease	3585.25	3244.8	8360.54	3221.97	4497.62	6352.78	11962.5	4353.99	7630.78	4841.82	8595.84	4652.04	7197.46	8380.34	10453.66	9266.49	11099	12847.5
Immune_system	37024.51	27026.75	52046.36	32329.81	28114.12	29092.64	62941.09	12875.73	37942.1	15954.61	45148.16	19278.21	32530.39	19101.05	24600.49	22618.94	20523.38	36285.09
Infectious_disease:_bacterial	82863.97	63410.46	122055.13	73782.05	69121.62	68490.73	189519.15	55483.37	110059.06	61947.98	132589.58	58244.82	100587.15	89113.74	104281.11	102461.01	123436.51	142887.77
Infectious_disease:_parasitic	3930.85	4481.85	4118.47	3337.85	3550.96	3345.24	4859.57	2243.49	2186.74	2141.96	2413.29	2282.96	3803.15	9410.82	7859.38	7967.98	9318.28	8272.9
Infectious_disease:_viral	5357.47	4998.03	8365.02	6196.86	5500.12	4634.65	14114.97	3930.96	8098.21	4944.62	8755.7	3911.54	8577.7	7476.74	8789.36	8455.86	11653.63	11821.94
Lipid_metabolism	236527.31	198275.03	318639.06	207900.59	204773.68	192486.04	430079.81	136245.64	270819.4	160129.61	301168.44	137136.64	233721.17	234936.22	271912.16	280187.24	316691.49	356524.97
Membrane_transport	297413.02	313182.79	527014.31	378917.48	319655.41	391110.8	688064.31	267873.21	416281.3	307074.51	470810.39	218559.88	365989.16	415979.16	453398.92	509501.44	633174.53	647337.14
Metabolism_of_cofactors_and_vitamins	537182.81	429985.3	741632.14	477258.31	461328.73	419332.01	1161487.68	288456.69	726050.03	338991.36	857546.58	359762.69	606868.35	599483.25	665664.77	717215.45	787000.23	942311.3
Metabolism_of_other_amino_acids	154080.77	122112.77	201149.97	134751.34	136282.38	114735.32	311655.05	99251.67	193447.59	113204.39	220552.54	98581.58	167395.24	173734.01	200040.18	203892.94	239372	272213.26
Metabolism_of_terpenoids_and_polyketides	117019.85	92313.7	161897.53	108451.22	96713.09	90057.49	238547.24	69223.5	149104.52	79907.33	172543.3	76573.98	122622.26	127682.25	138997.76	139516.58	155955.09	192212.73
Nervous_system	34336.28	23171.41	35202.64	24148.25	28410.83	18962	32405.75	8710.74	16971.7	9542.22	18660.81	10885.09	15152.15	21638.79	20506.07	20583.45	23959.07	29624.63
Neurodegenerative_disease	29175.82	23620	37590.79	22781.66	22324.03	18598.32	81184.79	24171.77	45457.61	29014.12	51853.79	23594.95	45678.52	53320.22	67528.71	61571.94	76236.92	79965.39
Not_included_in_regular_maps	3522.12	3838.25	6140.87	5015.12	3700.42	4178.77	5339	966.83	3842.5	1028.2	4554.58	2224.5	4161.75	2907.5	3308.58	2503.5	4492.25	3797.75
