ID	Pathway	Group	FDR	B_coef
72	Drug_resistance:_antineoplastic	feces vs saliva	0.0290204711015985	0.244947470853756
73	Xenobiotics_biodegradation_and_metabolism	feces vs saliva	0.0388030409747461	0.177558305641539
74	Folding	feces vs saliva	0.0388030409747461	-0.0520199093909542
75	_sorting_and_degradation	feces vs saliva	0.0388030409747461	-0.0520199093909542
76	Digestive_system	feces vs saliva	0.0718813539082849	0.577651532799869
77	Metabolism_of_cofactors_and_vitamins	feces vs saliva	0.117692572315576	0.0416135370837402
78	Not_included_in_regular_maps	feces vs saliva	0.130222878513495	-0.770399228806865
79	Immune_disease	feces vs saliva	0.130222878513495	0.565353396547361
80	Infectious_disease:_parasitic	feces vs saliva	0.160563418800351	0.582250176332564
81	Cancer:_specific_types	feces vs saliva	0.162090387202751	0.475335980014001
82	Metabolism_of_terpenoids_and_polyketides	feces vs saliva	0.183567716529287	-0.0561864661380541
83	Transcription	feces vs saliva	0.227766075112518	0.144335454123226
84	Excretory_system	feces vs saliva	0.282176769586468	0.591263890711646
85	Cancer:_overview	feces vs saliva	0.349661259839185	-0.0901119758792048
86	Endocrine_and_metabolic_disease	feces vs saliva	0.382824071178413	0.0934961404028463
87	Poorly_characterized	feces vs saliva	0.382824071178413	-0.027279958389221
88	Infectious_disease:_viral	feces vs saliva	0.422138944368526	0.243513721893636
89	Glycan_biosynthesis_and_metabolism	feces vs saliva	0.422138944368526	0.100131105841842
90	Development_and_regeneration	feces vs saliva	0.461987946432622	-0.410025960731789
91	Protein_families:_metabolism	feces vs saliva	0.498817428325617	0.0133339468418599
92	Unclassified:_genetic_information_processing	feces vs saliva	0.543783039578495	0.0526961004651941
93	Energy_metabolism	feces vs saliva	0.556088877824667	-0.015169761964427
94	Protein_families:_genetic_information_processing	feces vs saliva	0.556088877824667	-0.0159853532988396
95	Cell_growth_and_death	feces vs saliva	0.802944608591868	0.0173774543617485
96	Transport_and_catabolism	feces vs saliva	0.830129954280754	0.0940475682873967
97	Infectious_disease:_bacterial	feces vs saliva	0.856712867502968	0.0140604207195114
98	Membrane_transport	feces vs saliva	0.931576515866653	-0.0104342388425043
99	Environmental_adaptation	feces vs saliva	0.931576515866653	-0.0127504477982859
100	Drug_resistance:_antimicrobial	feces vs saliva	0.957675337596863	0.0029440699717444
101	Cell_motility	plaque vs saliva	1.6238518209471e-13	-1.56700399553784
102	Protein_families:_signaling_and_cellular_processes	plaque vs saliva	0.0381546251393656	-0.0761460107783034
103	Membrane_transport	plaque vs saliva	0.806963802344737	0.122798816268705
104	Cellular_community_-_prokaryotes	plaque vs saliva	0.999048460848251	-0.145155776751931
105	Immune_system	plaque vs saliva	0.999048460848251	-0.548939061488782
106	Neurodegenerative_disease	plaque vs saliva	0.999048460848251	0.359937205182716
107	Energy_metabolism	plaque vs saliva	0.999048460848251	-0.060036480413324
108	Aging	plaque vs saliva	0.999048460848251	0.326424227059624
109	Protein_families:_metabolism	plaque vs saliva	0.999048460848251	-0.0353664293002265
110	Signal_transduction	plaque vs saliva	0.999048460848251	-0.0736490904275454
111	Infectious_disease:_parasitic	plaque vs saliva	0.999048460848251	1.3014933527903
112	Cancer:_overview	plaque vs saliva	0.999048460848251	0.184439954022892
113	Xenobiotics_biodegradation_and_metabolism	plaque vs saliva	0.999048460848251	0.126109988295349
114	Cell_growth_and_death	plaque vs saliva	0.999048460848251	-0.110958923222788
115	Biosynthesis_of_other_secondary_metabolites	plaque vs saliva	0.999048460848251	-0.0721853653529492
116	Infectious_disease:_bacterial	plaque vs saliva	0.999048460848251	-0.105435726826391
117	Transport_and_catabolism	plaque vs saliva	0.999048460848251	0.185343159335554
118	Metabolism_of_terpenoids_and_polyketides	plaque vs saliva	0.999048460848251	-0.072027944232663
119	Metabolism_of_cofactors_and_vitamins	plaque vs saliva	0.999048460848251	-0.0197508217911223
120	Metabolism_of_other_amino_acids	plaque vs saliva	0.999048460848251	0.0473533838026719
121	Circulatory_system	plaque vs saliva	0.999048460848251	1.53665008576786
122	Translation	plaque vs saliva	0.999048460848251	-0.0201486192789382
123	Environmental_adaptation	plaque vs saliva	0.999048460848251	-0.136859978898444
124	Nervous_system	plaque vs saliva	0.999048460848251	0.205754125054718
125	Amino_acid_metabolism	plaque vs saliva	0.999048460848251	0.0131016019533215
126	Digestive_system	plaque vs saliva	0.999048460848251	-0.168067709514795
127	Glycan_biosynthesis_and_metabolism	plaque vs saliva	0.999048460848251	-0.0237381132036998
128	Drug_resistance:_antineoplastic	plaque vs saliva	0.999048460848251	0.112215101623421
129	Endocrine_system	plaque vs saliva	0.999048460848251	-0.0548042528027749
130	Unclassified:_signaling_and_cellular_processes	plaque vs saliva	0.999048460848251	0.0371972387421811
131	Unclassified:_metabolism	plaque vs saliva	0.999048460848251	0.0195496723798052
132	Carbohydrate_metabolism	plaque vs saliva	0.999048460848251	-0.00794726895392596
