#OTU ID	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3
ASV_1	0	0	0	0	5	4	1259	1041	1333
ASV_10	627	658	744	21	30	38	0	0	0
ASV_100	24	17	19	2	2	11	0	0	0
ASV_101	0	0	0	0	0	0	37	25	43
ASV_102	0	0	0	31	54	45	0	0	0
ASV_103	0	0	0	27	25	28	0	0	0
ASV_104	0	0	0	0	0	0	53	33	63
ASV_105	0	0	0	0	0	0	46	30	62
ASV_106	20	21	26	0	1	1	0	0	0
ASV_107	15	13	17	3	0	3	0	0	0
ASV_108	14	7	16	1	1	3	0	0	0
ASV_109	13	15	21	0	1	1	0	0	0
ASV_11	0	0	0	0	0	1	498	370	390
ASV_110	0	0	0	11	16	18	0	0	0
ASV_111	0	0	0	2	0	0	26	21	28
ASV_112	14	14	16	0	0	1	0	0	0
ASV_113	22	28	36	0	0	1	0	0	0
ASV_114	0	0	0	0	0	0	29	11	25
ASV_115	0	0	0	36	47	37	0	0	0
ASV_116	0	0	0	11	15	14	0	0	0
ASV_117	0	0	0	31	48	43	0	1	1
ASV_118	0	0	0	12	23	12	0	0	0
ASV_119	0	0	0	34	30	32	0	0	0
ASV_12	1	5	15	521	785	714	0	0	0
ASV_120	30	28	31	0	0	0	0	0	0
ASV_121	31	25	44	2	7	8	0	0	0
ASV_122	0	0	0	38	34	43	0	0	0
ASV_123	0	0	0	17	17	15	0	0	0
ASV_124	0	0	0	50	64	74	0	0	0
ASV_125	0	0	0	18	14	16	0	0	0
ASV_126	0	0	0	0	0	0	18	13	17
ASV_127	19	20	24	2	4	4	0	0	0
ASV_128	22	18	25	0	1	1	0	0	0
ASV_129	0	0	0	25	24	31	0	0	0
ASV_13	0	0	0	0	0	0	564	477	809
ASV_130	0	1	1	24	25	29	0	0	0
ASV_131	0	1	0	9	20	22	0	0	0
ASV_132	18	16	16	0	0	0	0	0	0
ASV_133	8	14	22	2	3	0	0	0	0
ASV_134	0	0	0	34	37	28	0	0	0
ASV_135	1	1	0	25	21	21	0	0	0
ASV_136	0	0	0	14	18	22	0	0	0
ASV_137	11	13	23	2	3	3	0	0	0
ASV_138	22	12	25	0	0	0	0	0	0
ASV_139	102	115	127	12	7	11	0	0	0
ASV_14	12	10	24	321	476	468	0	0	0
ASV_140	17	21	32	2	3	3	0	0	0
ASV_141	0	0	0	6	5	3	0	0	0
ASV_142	0	0	1	19	19	20	0	0	0
ASV_143	0	0	0	9	16	5	0	0	0
ASV_144	0	0	0	21	14	21	0	0	0
ASV_145	0	0	0	0	0	0	20	8	21
ASV_146	0	0	0	0	0	0	33	25	47
ASV_147	0	0	0	0	0	0	10	12	9
ASV_148	0	0	0	0	0	0	36	18	46
ASV_149	0	0	0	0	0	0	18	7	30
ASV_15	0	0	1	382	457	464	0	0	0
ASV_150	0	0	0	0	0	0	26	24	48
ASV_151	72	50	60	1	3	3	0	0	0
ASV_152	13	11	18	3	0	3	0	0	0
ASV_153	51	31	42	5	3	4	0	0	0
ASV_154	31	39	48	0	2	2	0	0	0
ASV_155	14	20	18	2	3	1	0	0	0
ASV_156	13	17	29	0	0	0	0	0	0
ASV_157	0	0	0	12	6	5	0	0	0
ASV_158	0	0	1	73	86	106	0	0	0
ASV_159	0	0	0	6	12	7	0	0	0
ASV_16	429	429	489	21	35	28	0	0	0
ASV_160	0	1	0	89	110	129	0	0	0
ASV_161	0	0	1	6	2	3	0	0	0
ASV_162	0	0	0	95	90	123	0	0	0
ASV_163	0	0	0	10	19	10	0	0	0
ASV_164	0	0	3	23	25	22	0	0	1
ASV_165	0	0	0	11	8	9	0	0	0
ASV_166	0	0	0	16	15	21	0	0	0
ASV_167	0	0	1	18	31	25	0	0	0
ASV_168	0	0	0	4	11	4	1	0	0
ASV_169	0	0	0	0	0	0	20	12	37
ASV_17	303	283	302	16	18	25	0	0	0
ASV_170	0	0	0	0	0	0	30	21	64
ASV_171	0	0	0	0	0	0	42	19	51
ASV_172	0	0	0	0	0	0	11	8	20
ASV_173	21	18	26	1	0	1	0	0	0
ASV_174	24	26	22	0	0	0	0	0	0
ASV_175	16	16	9	1	3	0	0	0	0
ASV_176	21	27	25	0	2	0	0	0	0
ASV_177	10	8	16	1	0	0	0	0	0
ASV_178	28	16	27	1	3	5	0	0	0
ASV_179	19	22	29	0	0	1	0	0	0
ASV_18	525	573	618	10	7	7	0	0	0
ASV_180	32	39	54	4	6	4	0	0	0
ASV_181	30	21	31	1	0	0	0	0	0
ASV_182	27	23	31	0	0	0	0	0	0
ASV_183	25	24	40	3	4	8	0	0	0
ASV_184	15	15	9	3	5	5	0	0	0
ASV_185	3	3	6	0	0	0	0	0	0
ASV_186	45	50	67	8	9	11	0	0	0
ASV_187	11	11	11	4	1	2	0	0	0
ASV_188	7	14	20	2	5	5	0	0	0
ASV_189	5	2	2	14	20	13	2	2	2
ASV_19	245	235	278	11	11	24	0	0	0
ASV_190	0	0	0	11	17	20	0	0	0
ASV_191	0	0	0	16	31	25	0	0	0
ASV_192	0	0	0	25	18	31	0	0	0
ASV_193	0	0	0	4	10	11	0	0	1
ASV_194	0	0	0	11	7	13	0	0	0
ASV_195	0	0	0	19	42	22	0	0	0
ASV_196	1	0	0	24	28	22	0	0	0
ASV_197	0	0	0	4	8	12	0	0	0
ASV_198	0	0	0	15	22	31	0	0	0
ASV_199	0	0	0	12	20	17	0	0	0
ASV_2	0	0	0	0	0	0	1192	872	1464
ASV_20	1	0	0	308	345	337	0	0	0
ASV_200	0	0	0	1	3	6	0	0	0
ASV_201	0	0	0	0	0	0	2	2	2
ASV_202	0	0	0	0	0	0	45	16	86
ASV_203	0	0	1	1	1	5	60	19	125
ASV_204	0	0	0	0	0	0	3	4	12
ASV_205	0	0	0	0	0	0	6	6	4
ASV_206	0	0	0	0	0	0	21	8	40
ASV_207	0	0	0	0	0	0	20	10	25
ASV_208	0	0	0	1	1	2	24	19	45
ASV_209	0	0	0	0	0	0	57	27	59
ASV_21	2	2	3	194	283	274	0	0	0
ASV_210	0	0	0	0	0	0	6	5	12
ASV_211	0	0	0	0	0	0	0	7	11
ASV_212	0	0	0	0	0	0	9	5	15
ASV_213	0	0	0	0	0	0	9	5	17
ASV_214	0	0	0	0	0	0	13	6	24
ASV_215	27	35	37	1	2	8	0	0	0
ASV_216	4	5	17	0	0	0	0	0	0
ASV_217	12	9	16	1	0	0	0	0	0
ASV_218	22	16	18	4	4	6	0	0	0
ASV_219	21	25	34	2	2	5	0	0	0
ASV_22	253	225	299	1	6	3	0	0	0
ASV_220	9	1	8	0	0	0	0	0	0
ASV_221	16	12	16	2	1	1	0	0	0
ASV_222	4	9	10	1	0	1	0	0	0
ASV_223	17	9	24	2	2	4	0	0	0
ASV_224	6	10	6	1	0	0	0	0	0
ASV_225	11	12	16	0	0	0	0	0	0
ASV_226	15	10	27	2	2	0	0	0	0
ASV_227	47	43	61	18	12	13	0	0	0
ASV_228	12	9	16	2	2	0	0	0	0
ASV_229	26	23	30	1	2	8	0	0	0
ASV_23	0	0	0	0	0	0	256	202	339
ASV_230	26	24	35	0	0	2	0	0	0
ASV_231	93	103	147	2	3	3	0	0	0
ASV_232	14	17	23	3	0	3	0	0	0
