#OTUID	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3
ASV_1	0	0	0	0	2	2	952	1041	773
ASV_10	557	596	531	21	26	26	0	0	0
ASV_100	21	15	10	2	1	8	0	0	0
ASV_101	0	0	0	0	0	0	28	25	29
ASV_102	0	0	0	29	38	36	0	0	0
ASV_103	0	0	0	26	20	21	0	0	0
ASV_104	0	0	0	0	0	0	35	33	40
ASV_105	0	0	0	0	0	0	32	30	36
ASV_106	16	18	19	0	1	0	0	0	0
ASV_107	15	12	10	3	0	2	0	0	0
ASV_108	14	6	12	1	1	3	0	0	0
ASV_109	13	13	16	0	1	1	0	0	0
ASV_11	0	0	0	0	0	0	369	370	236
ASV_110	0	0	0	10	14	14	0	0	0
ASV_111	0	0	0	2	0	0	22	21	16
ASV_112	13	13	9	0	0	0	0	0	0
ASV_113	21	25	28	0	0	1	0	0	0
ASV_114	0	0	0	0	0	0	20	11	12
ASV_115	0	0	0	33	29	25	0	0	0
ASV_116	0	0	0	11	10	12	0	0	0
ASV_117	0	0	0	31	32	26	0	1	1
ASV_118	0	0	0	11	17	10	0	0	0
ASV_119	0	0	0	31	24	24	0	0	0
ASV_12	1	5	8	484	544	536	0	0	0
ASV_120	27	28	18	0	0	0	0	0	0
ASV_121	27	23	31	2	7	5	0	0	0
ASV_122	0	0	0	35	19	29	0	0	0
ASV_123	0	0	0	17	12	10	0	0	0
ASV_124	0	0	0	46	54	52	0	0	0
ASV_125	0	0	0	17	10	8	0	0	0
ASV_126	0	0	0	0	0	0	13	13	12
ASV_127	15	19	15	1	1	2	0	0	0
ASV_128	20	18	16	0	1	1	0	0	0
ASV_129	0	0	0	25	20	26	0	0	0
ASV_13	0	0	0	0	0	0	408	477	480
ASV_130	0	1	1	22	18	19	0	0	0
ASV_131	0	1	0	8	20	15	0	0	0
ASV_132	15	16	14	0	0	0	0	0	0
ASV_133	7	11	15	2	1	0	0	0	0
ASV_134	0	0	0	32	27	19	0	0	0
ASV_135	1	1	0	24	19	16	0	0	0
ASV_136	0	0	0	12	12	16	0	0	0
ASV_137	11	12	16	2	2	2	0	0	0
ASV_138	20	10	19	0	0	0	0	0	0
ASV_139	86	98	93	11	5	8	0	0	0
