Order	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
Chloroplast	20.1	2.16	7.19	82	2.16	12.2	10.1	5.04	30.9	0	0.719	31.7	14.0
Rhodobacterales	10.8	4.32	2.16	2.16	5.04	4.32	5.76	0	0	36	20.1	9.35	12.0
Burkholderiales	2.88	28.1	9.35	4.32	23	10.8	19.4	16.5	25.9	3.6	0.719	7.91	11.8
Flavobacteriales	2.16	12.2	28.1	0.719	7.91	12.9	0.719	5.04	0	1.44	2.88	0	5.1
Pseudomonadales	1.44	15.1	11.5	0.719	15.1	18.7	1.44	9.35	0	2.16	2.88	0	4.9
Rickettsiales	25.2	4.32	2.16	0.719	1.44	0	0	4.32	11.5	5.04	0.719	4.32	4.5
Campylobacterales	0.719	1.44	2.88	1.44	2.88	2.88	4.32	12.9	0.719	7.91	30.2	0.719	4.4
Micrococcales	2.88	2.16	5.76	0	2.88	2.16	0.719	0	1.44	0.719	0.719	4.32	2.9
Enterobacterales	0	7.91	0	0.719	6.47	5.76	1.44	1.44	0	1.44	0.719	0.719	2.9
Unassigned	0	0.719	1.44	0	1.44	5.04	0.719	2.88	4.32	3.6	0.719	2.88	2.8
Sphingobacteriales	0.719	2.88	2.16	0.719	4.32	5.76	0.719	2.16	0.719	2.16	0.719	0.719	2.8
Incertae Sedis	1.44	0	1.44	0	0.719	0	4.32	2.88	0	5.04	3.6	2.88	2.1
Cytophagales	0	0.719	3.6	1.44	2.16	3.6	3.6	2.16	0.719	1.44	1.44	0.719	2.1
Chromatiales	1.44	0.719	0	0	0.719	0	1.44	0	0	2.16	5.76	2.16	1.8
Bacteroidales	0.719	1.44	3.6	0	0.719	0.719	1.44	0.719	0	0.719	3.6	0.719	1.7
Cyanobacteriales	2.88	0	0	0	0	3.6	2.16	0.719	8.63	0	0	2.88	1.6
Pelagibacterales	0	0	3.6	1.44	5.76	0	0	2.16	0	0	0	0	1.3
Chitinophagales	0	1.44	1.44	0	0.719	0	3.6	5.76	1.44	0.719	0.719	4.32	1.2
Hyphomicrobiales	2.16	0	0.719	0.719	0.719	0	6.47	0	0.719	0	0	0	1.1
Thiomicrospirales	0	0	0	0	0	2.88	0.719	0	0	0	2.16	0	1.0
Silvanigrellales	14.4	0	0	0	0	0	0	1.44	0.719	0	0	0	0.9
