Family	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
Woeseiaceae	0	0	0.719	0	0.719	0	0.719	0	0	0	0	0	0.2
Nitrincolaceae	0	0	0	0	0	0.719	0	0	0	0.719	0	0	0.2
Hydrogenophilaceae	0	0.719	0	0	0	0	1.44	0	0	0	0	2.16	0.2
Marinifilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Sporichthyaceae	0	0	0.719	0	0	0	0.719	0.719	0	0	0	0	0.2
Competibacteraceae	1.44	0	0	0	0	0	0	0	0	0	0	0	0.2
Gastranaerophilaceae	0	0	0	0	0	0	0	0	0	0.719	0.719	0	0.2
Balneolaceae	0	1.44	0	0	0	0	0	1.44	0	0	0	0	0.2
Defluviitaleaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Alcanivoracaceae1	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
Hyphomicrobiales Incertae Sedis	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
Aeromonadaceae	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Francisellaceae	0	0	0	0.719	0	0.719	0	0	0	0	0	0	0.1
Acholeplasmataceae	0	0	0	0	0	0.719	0	0.719	0	0	0.719	0	0.1
DEV007	0	0	0	0	0.719	0	0	1.44	0	0	0	0	0.1
Fermentibacteraceae	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Streptococcaceae	0	0	0.719	0	0.719	0	0	0	0	0	0	0	0.1
Anaerovoracaceae	0	0	0	0	0	0	0	0	0	0.719	0	0.719	0.1
Enterobacteriaceae	0	0	0	0	0	0	0.719	0.719	0	0	0	0.719	0.1
Nitrosomonadaceae	0	0	0	0.719	0	0	0.719	0	0	0	0	0	0.1
Desulfobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pseudohongiellaceae	0	0	0	0	0	0.719	0	0	0	0	0	0	0.1
Nitriliruptoraceae	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Midichloriaceae	0	0	0	0	0	0	0	0.719	0	0.719	0	0	0.1
Sedimenticolaceae	0.719	0	0	0	0	0	0.719	0	0	0	0	1.44	0.1
Caldilineaceae	0	0	0	0	0	0	0	0	0	0	0	0.719	0.1
Vibrionaceae	0	0.719	0	0	0.719	0	0	0	0	0	0	0	0.1
Hyphomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Hyphomonadaceae	0.719	0	0	0	0	0	0	0	0	0	0	0	0.1
Terasakiellaceae	0	0	0	0	0	0	0	1.44	0	0	0	0	0.1
Rhodocyclaceae	0	0	0	0	0	0	2.16	0	0	0	0	0	0.1
SB-5	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Lysobacteraceae	0	0	0	0	0	0	1.44	0	0	0	0	0.719	0.1
NS7 marine group	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
Paracaedibacteraceae	0	0	0	0	0	0	0.719	0	0	0	0.719	0	0.1
Holosporaceae	0	0	0	0	0	0	0	0	1.44	0	0	0	0.1
Marinobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Desulfocapsaceae	0	0	0	0	0	0	0	0	0	0.719	0	0	0.1
Pseudomonadaceae	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Lenti-02	0	0	0	0	0.719	0	1.44	0	0	0	0	0	0.1
Planococcaceae	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Opitutaceae	0	0	0	0	0.719	0	0	0.719	0	0	0	0	0.1
Rhodospirillaceae	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
