unifrac	E1	E2	E5	E3	E6	N1	E7	S1	N2	O1	O2	E4
E1	0	0.809	0.802	0.809	0.828	0.846	0.774	0.725	0.768	0.801	0.827	0.914
E2	0.809	0	0.442	0.550	0.649	0.713	0.710	0.831	0.844	0.842	0.852	0.898
E5	0.802	0.442	0	0.556	0.576	0.644	0.679	0.832	0.869	0.783	0.846	0.864
E3	0.809	0.550	0.556	0	0.618	0.710	0.715	0.808	0.848	0.850	0.864	0.823
E6	0.828	0.649	0.576	0.618	0	0.769	0.702	0.772	0.809	0.778	0.817	0.803
N1	0.846	0.713	0.644	0.710	0.769	0	0.749	0.838	0.784	0.813	0.791	0.884
E7	0.774	0.710	0.679	0.715	0.702	0.749	0	0.648	0.748	0.805	0.822	0.845
S1	0.725	0.831	0.832	0.808	0.772	0.838	0.648	0	0.690	0.790	0.818	0.784
N2	0.768	0.844	0.869	0.848	0.809	0.784	0.748	0.690	0	0.910	0.946	0.847
O1	0.801	0.842	0.783	0.850	0.778	0.813	0.805	0.790	0.910	0	0.535	0.907
O2	0.827	0.852	0.846	0.864	0.817	0.791	0.822	0.818	0.946	0.535	0	0.936
E4	0.914	0.898	0.864	0.823	0.803	0.884	0.845	0.784	0.847	0.907	0.936	0
