jaccard_binary	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1
E1	0	0.976	0.991	0.994	0.992	0.996	1.000	0.996	1.000	0.992	1.000	1.000
E2	0.976	0	0.982	0.994	0.975	0.992	1.000	0.992	1.000	0.992	1.000	1.000
E3	0.991	0.982	0	0.994	0.972	0.996	0.996	0.995	1.000	0.996	1.000	1.000
E4	0.994	0.994	0.994	0	0.994	0.994	1.000	0.994	1.000	0.995	1.000	1.000
E5	0.992	0.975	0.972	0.994	0	0.992	0.996	0.991	1.000	0.992	0.996	1.000
E6	0.996	0.992	0.996	0.994	0.992	0	1.000	0.996	1.000	0.984	1.000	1.000
E7	1.000	1.000	0.996	1.000	0.996	1.000	0	0.992	0.996	1.000	1.000	1.000
N1	0.996	0.992	0.995	0.994	0.991	0.996	0.992	0	0.996	1.000	1.000	1.000
N2	1.000	1.000	1.000	1.000	1.000	1.000	0.996	0.996	0	1.000	1.000	1.000
O1	0.992	0.992	0.996	0.995	0.992	0.984	1.000	1.000	1.000	0	0.992	1.000
O2	1.000	1.000	1.000	1.000	0.996	1.000	1.000	1.000	1.000	0.992	0	1.000
S1	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0
