unifrac_binary	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1
E1	0	0.798	0.811	0.888	0.788	0.835	0.797	0.876	0.787	0.785	0.807	0.745
E2	0.798	0	0.593	0.804	0.465	0.644	0.716	0.768	0.841	0.833	0.837	0.820
E3	0.811	0.593	0	0.677	0.542	0.573	0.654	0.750	0.838	0.828	0.838	0.779
E4	0.888	0.804	0.677	0	0.732	0.690	0.737	0.806	0.823	0.834	0.868	0.727
E5	0.788	0.465	0.542	0.732	0	0.616	0.667	0.712	0.861	0.760	0.822	0.810
E6	0.835	0.644	0.573	0.690	0.616	0	0.684	0.820	0.814	0.763	0.793	0.748
E7	0.797	0.716	0.654	0.737	0.667	0.684	0	0.732	0.743	0.802	0.816	0.651
N1	0.876	0.768	0.750	0.806	0.712	0.820	0.732	0	0.770	0.824	0.766	0.828
N2	0.787	0.841	0.838	0.823	0.861	0.814	0.743	0.770	0	0.907	0.940	0.697
O1	0.785	0.833	0.828	0.834	0.760	0.763	0.802	0.824	0.907	0	0.517	0.795
O2	0.807	0.837	0.838	0.868	0.822	0.793	0.816	0.766	0.940	0.517	0	0.819
S1	0.745	0.820	0.779	0.727	0.810	0.748	0.651	0.828	0.697	0.795	0.819	0
