jaccard_binary	E1	E2	E3	E5	N1	E6	O1	E7	O2	E4	N2	S1
E1	0	0.976	0.991	0.992	0.996	0.996	0.992	1.000	1.000	0.994	1.000	1.000
E2	0.976	0	0.982	0.975	0.992	0.992	0.992	1.000	1.000	0.994	1.000	1.000
E3	0.991	0.982	0	0.972	0.995	0.996	0.996	0.996	1.000	0.994	1.000	1.000
E5	0.992	0.975	0.972	0	0.991	0.992	0.992	0.996	0.996	0.994	1.000	1.000
N1	0.996	0.992	0.995	0.991	0	0.996	1.000	0.992	1.000	0.994	0.996	1.000
E6	0.996	0.992	0.996	0.992	0.996	0	0.984	1.000	1.000	0.994	1.000	1.000
O1	0.992	0.992	0.996	0.992	1.000	0.984	0	1.000	0.992	0.995	1.000	1.000
E7	1.000	1.000	0.996	0.996	0.992	1.000	1.000	0	1.000	1.000	0.996	1.000
O2	1.000	1.000	1.000	0.996	1.000	1.000	0.992	1.000	0	1.000	1.000	1.000
E4	0.994	0.994	0.994	0.994	0.994	0.994	0.995	1.000	1.000	0	1.000	1.000
N2	1.000	1.000	1.000	1.000	0.996	1.000	1.000	0.996	1.000	1.000	0	1.000
S1	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0
