euclidean	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1
E1	0	15.5	14.9	13.3	15.5	15.7	16.2	15.4	16.1	16.0	15.7	16.1
E2	15.5	0	14.8	13.4	15.3	15.7	16.2	15.4	16.1	16.1	15.8	16.1
E3	14.9	14.8	0	12.4	14.4	14.9	15.4	14.6	15.3	15.3	14.9	15.3
E4	13.3	13.4	12.4	0	13.0	13.2	13.8	12.8	13.7	13.7	13.3	13.7
E5	15.5	15.3	14.4	13.0	0	15.4	15.9	15.1	15.8	15.8	15.4	15.8
E6	15.7	15.7	14.9	13.2	15.4	0	16.1	15.3	16.0	15.8	15.7	16.0
E7	16.2	16.2	15.4	13.8	15.9	16.1	0	15.7	16.4	16.5	16.1	16.4
N1	15.4	15.4	14.6	12.8	15.1	15.3	15.7	0	15.6	15.7	15.3	15.7
N2	16.1	16.1	15.3	13.7	15.8	16.0	16.4	15.6	0	16.4	16.0	16.3
O1	16.0	16.1	15.3	13.7	15.8	15.8	16.5	15.7	16.4	0	15.9	16.4
O2	15.7	15.8	14.9	13.3	15.4	15.7	16.1	15.3	16.0	15.9	0	16.0
S1	16.1	16.1	15.3	13.7	15.8	16.0	16.4	15.7	16.3	16.4	16.0	0
