unifrac	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1
E1	0	0.809	0.809	0.914	0.802	0.828	0.774	0.846	0.768	0.801	0.827	0.725
E2	0.809	0	0.550	0.898	0.442	0.649	0.710	0.713	0.844	0.842	0.852	0.831
E3	0.809	0.550	0	0.823	0.556	0.618	0.715	0.710	0.848	0.850	0.864	0.808
E4	0.914	0.898	0.823	0	0.864	0.803	0.845	0.884	0.847	0.907	0.936	0.784
E5	0.802	0.442	0.556	0.864	0	0.576	0.679	0.644	0.869	0.783	0.846	0.832
E6	0.828	0.649	0.618	0.803	0.576	0	0.702	0.769	0.809	0.778	0.817	0.772
E7	0.774	0.710	0.715	0.845	0.679	0.702	0	0.749	0.748	0.805	0.822	0.648
N1	0.846	0.713	0.710	0.884	0.644	0.769	0.749	0	0.784	0.813	0.791	0.838
N2	0.768	0.844	0.848	0.847	0.869	0.809	0.748	0.784	0	0.910	0.946	0.690
O1	0.801	0.842	0.850	0.907	0.783	0.778	0.805	0.813	0.910	0	0.535	0.790
O2	0.827	0.852	0.864	0.936	0.846	0.817	0.822	0.791	0.946	0.535	0	0.818
S1	0.725	0.831	0.808	0.784	0.832	0.772	0.648	0.838	0.690	0.790	0.818	0
