unifrac_binary	E1	E2	E5	E3	E6	E7	S1	E4	N2	N1	O1	O2
E1	0	0.798	0.788	0.811	0.835	0.797	0.745	0.888	0.787	0.876	0.785	0.807
E2	0.798	0	0.465	0.593	0.644	0.716	0.820	0.804	0.841	0.768	0.833	0.837
E5	0.788	0.465	0	0.542	0.616	0.667	0.810	0.732	0.861	0.712	0.760	0.822
E3	0.811	0.593	0.542	0	0.573	0.654	0.779	0.677	0.838	0.750	0.828	0.838
E6	0.835	0.644	0.616	0.573	0	0.684	0.748	0.690	0.814	0.820	0.763	0.793
E7	0.797	0.716	0.667	0.654	0.684	0	0.651	0.737	0.743	0.732	0.802	0.816
S1	0.745	0.820	0.810	0.779	0.748	0.651	0	0.727	0.697	0.828	0.795	0.819
E4	0.888	0.804	0.732	0.677	0.690	0.737	0.727	0	0.823	0.806	0.834	0.868
N2	0.787	0.841	0.861	0.838	0.814	0.743	0.697	0.823	0	0.770	0.907	0.940
N1	0.876	0.768	0.712	0.750	0.820	0.732	0.828	0.806	0.770	0	0.824	0.766
O1	0.785	0.833	0.760	0.828	0.763	0.802	0.795	0.834	0.907	0.824	0	0.517
O2	0.807	0.837	0.822	0.838	0.793	0.816	0.819	0.868	0.940	0.766	0.517	0
