unifrac	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_3
HY1_1	0	0.0254	0.023	0.346	0.395	0.387	0.653	0.645
HY1_2	0.0254	0	0.0146	0.352	0.401	0.394	0.652	0.645
HY1_3	0.023	0.0146	0	0.339	0.388	0.380	0.650	0.643
HY2_1	0.346	0.352	0.339	0	0.0538	0.0542	0.593	0.603
HY2_2	0.395	0.401	0.388	0.0538	0	0.0159	0.593	0.603
HY2_3	0.387	0.394	0.380	0.0542	0.0159	0	0.593	0.603
HY3_1	0.653	0.652	0.650	0.593	0.593	0.593	0	0.0383
HY3_3	0.645	0.645	0.643	0.603	0.603	0.603	0.0383	0
