euclidean	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_3
HY1_1	0	3.87	5.00	10.6	10.5	10.5	13.8	13.8
HY1_2	3.87	0	4.47	10.5	10.4	10.5	13.7	13.9
HY1_3	5.00	4.47	0	10.5	10.4	10.5	13.7	13.6
HY2_1	10.6	10.5	10.5	0	4.69	4.58	15.3	15.3
HY2_2	10.5	10.4	10.4	4.69	0	4.12	15.4	15.3
HY2_3	10.5	10.5	10.5	4.58	4.12	0	15.3	15.3
HY3_1	13.8	13.7	13.7	15.3	15.4	15.3	0	3.32
HY3_3	13.8	13.9	13.6	15.3	15.3	15.3	3.32	0
