bray_curtis	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.859	0.905	0.936	0.911	0.933	1.000	1.000	1.000	0.997	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces2	0.859	0	0.887	0.878	0.844	0.902	1.000	1.000	1.000	0.997	1.000	1.000	0.997	1.000	0.997	1.000	0.997	0.997
feces3	0.905	0.887	0	0.920	0.911	0.942	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces4	0.936	0.878	0.920	0	0.924	0.936	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces5	0.911	0.844	0.911	0.924	0	0.899	1.000	1.000	1.000	0.997	1.000	1.000	1.000	1.000	1.000	0.997	1.000	1.000
feces6	0.933	0.902	0.942	0.936	0.899	0	1.000	1.000	0.997	0.994	0.997	1.000	1.000	1.000	1.000	1.000	1.000	1.000
plaque1	1.000	1.000	1.000	1.000	1.000	1.000	0	0.890	0.890	0.920	0.792	0.896	0.902	0.982	0.945	0.985	0.966	0.979
plaque2	1.000	1.000	1.000	1.000	1.000	1.000	0.890	0	0.936	0.869	0.927	0.954	0.948	0.988	0.972	0.988	0.985	0.982
plaque3	1.000	1.000	1.000	1.000	1.000	0.997	0.890	0.936	0	0.914	0.872	0.920	0.875	0.988	0.972	0.985	0.979	0.976
plaque4	0.997	0.997	1.000	1.000	0.997	0.994	0.920	0.869	0.914	0	0.942	0.966	0.930	0.991	0.972	0.991	0.979	0.979
plaque5	1.000	1.000	1.000	1.000	1.000	0.997	0.792	0.927	0.872	0.942	0	0.875	0.890	0.994	0.985	0.994	0.979	0.963
plaque6	1.000	1.000	1.000	1.000	1.000	1.000	0.896	0.954	0.920	0.966	0.875	0	0.832	0.945	0.911	0.945	0.933	0.939
saliva1	1.000	0.997	1.000	1.000	1.000	1.000	0.902	0.948	0.875	0.930	0.890	0.832	0	0.936	0.899	0.908	0.924	0.957
saliva2	1.000	1.000	1.000	1.000	1.000	1.000	0.982	0.988	0.988	0.991	0.994	0.945	0.936	0	0.755	0.838	0.823	0.872
saliva3	1.000	0.997	1.000	1.000	1.000	1.000	0.945	0.972	0.972	0.972	0.985	0.911	0.899	0.755	0	0.810	0.795	0.813
saliva4	1.000	1.000	1.000	1.000	0.997	1.000	0.985	0.988	0.985	0.991	0.994	0.945	0.908	0.838	0.810	0	0.826	0.841
saliva5	1.000	0.997	1.000	1.000	1.000	1.000	0.966	0.985	0.979	0.979	0.979	0.933	0.924	0.823	0.795	0.826	0	0.853
saliva6	1.000	0.997	1.000	1.000	1.000	1.000	0.979	0.982	0.976	0.979	0.963	0.939	0.957	0.872	0.813	0.841	0.853	0
