unifrac_binary	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_3
HY1_1	0	0.0109	0.0532	0.119	0.113	0.112	0.299	0.290
HY1_2	0.0109	0	0.0476	0.125	0.119	0.116	0.306	0.296
HY1_3	0.0532	0.0476	0	0.143	0.137	0.134	0.278	0.268
HY2_1	0.119	0.125	0.143	0	0.00655	0.00999	0.282	0.269
HY2_2	0.113	0.119	0.137	0.00655	0	0.00847	0.283	0.270
HY2_3	0.112	0.116	0.134	0.00999	0.00847	0	0.283	0.270
HY3_1	0.299	0.306	0.278	0.282	0.283	0.283	0	0.0138
HY3_3	0.290	0.296	0.268	0.269	0.270	0.270	0.0138	0
