bray_curtis_binary	feces1	feces2	feces5	feces3	feces4	feces6	plaque1	plaque3	plaque5	plaque2	plaque6	saliva1	plaque4	saliva2	saliva3	saliva4	saliva6	saliva5
feces1	0	0.674	0.733	0.739	0.768	0.774	1.000	1.000	1.000	1.000	1.000	1.000	0.985	1.000	1.000	1.000	1.000	1.000
feces2	0.674	0	0.639	0.751	0.752	0.774	1.000	1.000	1.000	1.000	1.000	0.991	0.986	1.000	0.991	1.000	0.990	0.990
feces5	0.733	0.639	0	0.784	0.785	0.809	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	0.990	1.000	1.000
feces3	0.739	0.751	0.784	0	0.802	0.821	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces4	0.768	0.752	0.785	0.802	0	0.783	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces6	0.774	0.774	0.809	0.821	0.783	0	1.000	0.987	0.989	1.000	1.000	1.000	0.966	1.000	1.000	1.000	1.000	1.000
plaque1	1.000	1.000	1.000	1.000	1.000	1.000	0	0.764	0.763	0.789	0.804	0.818	0.823	0.962	0.911	0.971	0.950	0.936
plaque3	1.000	1.000	1.000	1.000	1.000	0.987	0.764	0	0.751	0.798	0.827	0.798	0.816	0.966	0.931	0.959	0.944	0.944
plaque5	1.000	1.000	1.000	1.000	1.000	0.989	0.763	0.751	0	0.840	0.793	0.808	0.838	0.984	0.965	0.985	0.934	0.949
plaque2	1.000	1.000	1.000	1.000	1.000	1.000	0.789	0.798	0.840	0	0.872	0.861	0.852	0.959	0.929	0.962	0.944	0.953
plaque6	1.000	1.000	1.000	1.000	1.000	1.000	0.804	0.827	0.793	0.872	0	0.732	0.898	0.878	0.822	0.884	0.893	0.865
saliva1	1.000	0.991	1.000	1.000	1.000	1.000	0.818	0.798	0.808	0.861	0.732	0	0.825	0.905	0.836	0.841	0.911	0.877
plaque4	0.985	0.986	0.986	1.000	1.000	0.966	0.823	0.816	0.838	0.852	0.898	0.825	0	0.979	0.928	0.971	0.943	0.943
saliva2	1.000	1.000	1.000	1.000	1.000	1.000	0.962	0.966	0.984	0.959	0.878	0.905	0.979	0	0.643	0.717	0.759	0.783
saliva3	1.000	0.991	1.000	1.000	1.000	1.000	0.911	0.931	0.965	0.929	0.822	0.836	0.928	0.643	0	0.710	0.727	0.728
saliva4	1.000	1.000	0.990	1.000	1.000	1.000	0.971	0.959	0.985	0.962	0.884	0.841	0.971	0.717	0.710	0	0.764	0.743
saliva6	1.000	0.990	1.000	1.000	1.000	1.000	0.950	0.944	0.934	0.944	0.893	0.911	0.943	0.759	0.727	0.764	0	0.775
saliva5	1.000	0.990	1.000	1.000	1.000	1.000	0.936	0.944	0.949	0.953	0.865	0.877	0.943	0.783	0.728	0.743	0.775	0
