manhatten	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_3
HY1_1	0	15.0	25.0	112.0	110.0	111.0	190.0	191.0
HY1_2	15.0	0	20.0	111.0	109.0	110.0	187.0	192.0
HY1_3	25.0	20.0	0	111.0	109.0	110.0	189.0	184.0
HY2_1	112.0	111.0	111.0	0	22.0	21.0	234.0	233.0
HY2_2	110.0	109.0	109.0	22.0	0	17.0	236.0	235.0
HY2_3	111.0	110.0	110.0	21.0	17.0	0	235.0	234.0
HY3_1	190.0	187.0	189.0	234.0	236.0	235.0	0	11.0
HY3_3	191.0	192.0	184.0	233.0	235.0	234.0	11.0	0
