jaccard	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.924	0.950	0.967	0.954	0.965	1.000	1.000	1.000	0.998	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces2	0.924	0	0.940	0.935	0.915	0.949	1.000	1.000	1.000	0.998	1.000	1.000	0.998	1.000	0.998	1.000	0.998	0.998
feces3	0.950	0.940	0	0.959	0.954	0.970	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces4	0.967	0.935	0.959	0	0.960	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces5	0.954	0.915	0.954	0.960	0	0.947	1.000	1.000	1.000	0.998	1.000	1.000	1.000	1.000	1.000	0.998	1.000	1.000
feces6	0.965	0.949	0.970	0.967	0.947	0	1.000	1.000	0.998	0.997	0.998	1.000	1.000	1.000	1.000	1.000	1.000	1.000
plaque1	1.000	1.000	1.000	1.000	1.000	1.000	0	0.942	0.942	0.959	0.884	0.945	0.949	0.991	0.972	0.992	0.983	0.989
plaque2	1.000	1.000	1.000	1.000	1.000	1.000	0.942	0	0.967	0.930	0.962	0.977	0.973	0.994	0.986	0.994	0.992	0.991
plaque3	1.000	1.000	1.000	1.000	1.000	0.998	0.942	0.967	0	0.955	0.931	0.959	0.933	0.994	0.986	0.992	0.989	0.988
plaque4	0.998	0.998	1.000	1.000	0.998	0.997	0.959	0.930	0.955	0	0.970	0.983	0.964	0.995	0.986	0.995	0.989	0.989
plaque5	1.000	1.000	1.000	1.000	1.000	0.998	0.884	0.962	0.931	0.970	0	0.933	0.942	0.997	0.992	0.997	0.989	0.981
plaque6	1.000	1.000	1.000	1.000	1.000	1.000	0.945	0.977	0.959	0.983	0.933	0	0.908	0.972	0.954	0.972	0.965	0.968
saliva1	1.000	0.998	1.000	1.000	1.000	1.000	0.949	0.973	0.933	0.964	0.942	0.908	0	0.967	0.947	0.952	0.960	0.978
saliva2	1.000	1.000	1.000	1.000	1.000	1.000	0.991	0.994	0.994	0.995	0.997	0.972	0.967	0	0.861	0.912	0.903	0.931
saliva3	1.000	0.998	1.000	1.000	1.000	1.000	0.972	0.986	0.986	0.986	0.992	0.954	0.947	0.861	0	0.895	0.886	0.897
saliva4	1.000	1.000	1.000	1.000	0.998	1.000	0.992	0.994	0.992	0.995	0.997	0.972	0.952	0.912	0.895	0	0.905	0.914
saliva5	1.000	0.998	1.000	1.000	1.000	1.000	0.983	0.992	0.989	0.989	0.989	0.965	0.960	0.903	0.886	0.905	0	0.921
saliva6	1.000	0.998	1.000	1.000	1.000	1.000	0.989	0.991	0.988	0.989	0.981	0.968	0.978	0.931	0.897	0.914	0.921	0
