bray_curtis	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_3
HY1_1	0	0.0589	0.0604	0.923	0.923	0.908	1.000	1.000
HY1_2	0.0589	0	0.0682	0.930	0.930	0.915	0.999	1.000
HY1_3	0.0604	0.0682	0	0.915	0.915	0.900	0.999	0.998
HY2_1	0.923	0.930	0.915	0	0.0875	0.0889	0.998	0.996
HY2_2	0.923	0.930	0.915	0.0875	0	0.0625	0.998	0.996
HY2_3	0.908	0.915	0.900	0.0889	0.0625	0	0.998	0.996
HY3_1	1.000	0.999	0.999	0.998	0.998	0.998	0	0.0874
HY3_3	1.000	1.000	0.998	0.996	0.996	0.996	0.0874	0
