OTUID	All	KO	OE	WT
ASV_736	0.153278	0.1828244	0.1187822	0.1582284
ASV_103	0.148083	0.2311895	0.1020515	0.1110091
ASV_119	0.151373	0.1255290	0.1632709	0.1653192
ASV_115	0.150541	0.1038587	0.1727022	0.1750608
ASV_129	0.150568	0.1230462	0.1767417	0.1519162
ASV_107	0.144409	0.1966507	0.1029443	0.1336308
ASV_125	0.14498	0.1039360	0.1673531	0.1636509
ASV_114	0.148421	0.15411366	0.25970934	0.03143997
ASV_577	0.14276	0.1436990	0.1596632	0.1249178
ASV_116	0.137961	0.19964044	0.09637777	0.11786616
ASV_126	0.137399	0.1492970	0.1521515	0.1107479
ASV_124	0.133397	0.17578920	0.09235927	0.13204389
ASV_131	0.13609	0.02011159	0.27041178	0.11774706
ASV_121	0.133284	0.1336214	0.1498799	0.1163514
ASV_179	0.126626	0.23792931	0.07021773	0.07173091
ASV_843	0.129261	0.1552770	0.1038047	0.1287014
ASV_282	0.129628	0.1150251	0.1597127	0.1141465
ASV_128	0.125734	0.1556922	0.1120433	0.1094675
ASV_134	0.124322	0.1346321	0.1083265	0.1300078
ASV_120	0.125671	0.09897867	0.17251496	0.10551949
ASV_127	0.122239	0.1275624	0.1068408	0.1323132
ASV_130	0.123658	0.09841597	0.12958828	0.14297001
ASV_153	0.122658	0.1373584	0.1118580	0.1187574
ASV_132	0.121155	0.1438064	0.1046953	0.1149621
ASV_123	0.1212	0.14902233	0.07895372	0.13562265
ASV_139	0.116453	0.1107828	0.1128761	0.1257014
ASV_142	0.117672	0.1179968	0.1281201	0.1068978
ASV_140	0.114593	0.14441660	0.08728781	0.11207589
ASV_925	0.114535	0.17019017	0.09643576	0.07698040
ASV_152	0.113803	0.10576430	0.09178003	0.14386405
ASV_161	0.114185	0.14415511	0.12618929	0.07221203
ASV_143	0.113675	0.09205846	0.12420578	0.12476201
ASV_141	0.110335	0.13434419	0.09675735	0.09990298
ASV_137	0.110487	0.006072088	0.287093979	0.038295362
ASV_148	0.106861	0.10941695	0.06644113	0.14472484
ASV_347	0.108382	0.15150723	0.10843695	0.06520257
ASV_168	0.104044	0.272456313	0.035836199	0.003840561
ASV_172	0.108767	0.12310500	0.12589826	0.07729917
ASV_283	0.106548	0.15366932	0.08471974	0.08125581
ASV_144	0.109061	0.06345061	0.12532212	0.13840930
ASV_415	0.106496	0.07973824	0.11653556	0.12321406
ASV_147	0.104705	0.18806777	0.04682195	0.07922573
ASV_160	0.106078	0.08264617	0.13239027	0.10319700
ASV_136	0.103715	0.10205507	0.08877036	0.12032005
ASV_146	0.103773	0.06372611	0.08441424	0.16317718
ASV_154	0.103814	0.01751673	0.07341509	0.22050869
ASV_156	0.108288	0.06171058	0.23154773	0.03160637
ASV_162	0.106212	0.07989719	0.14818046	0.09055761
ASV_155	0.103923	0.10247203	0.11313310	0.09616434
ASV_150	0.104073	0.0955114	0.1112493	0.1054590
ASV_151	0.104187	0.03707698	0.15339622	0.12208857
ASV_157	0.101947	0.13057930	0.07696784	0.09829356
ASV_164	0.10012	0.16861212	0.07022968	0.06151857
ASV_149	0.102	0.10041954	0.07520808	0.13037240
ASV_165	0.10221	0.08494024	0.12296920	0.09872084
ASV_166	0.10324	0.11417371	0.11011729	0.08542961
ASV_969	0.099839	0.17624911	0.06955029	0.05371840
ASV_188	0.099513	0.14189563	0.06354183	0.09310045
ASV_159	0.099167	0.10401859	0.09335303	0.10012963
ASV_170	0.097034	0.13532491	0.08299535	0.07278057
ASV_183	0.096962	0.12507544	0.08291120	0.08289843
ASV_1564	0.097673	0.09320284	0.10461647	0.09519871
ASV_192	0.093784	0.11660527	0.05199666	0.11275086
ASV_474	0.09639	0.08311433	0.12557153	0.08048299
ASV_965	0.096781	0.07730695	0.11228841	0.10074847
ASV_158	0.094965	0.06594238	0.10031033	0.11864288
ASV_174	0.095591	0.06469864	0.11606760	0.10600731
ASV_213	0.094257	0.13424780	0.07923102	0.06929115
ASV_169	0.094392	0.10078496	0.08103212	0.10135803
ASV_251	0.093546	0.09485358	0.08414063	0.10164356
ASV_535	0.093503	0.09599848	0.08469303	0.09981879
ASV_236	0.093353	0.08667561	0.10686116	0.08652091
ASV_1153	0.092026	0.09872400	0.08594027	0.09141328
ASV_185	0.092046	0.05442675	0.09340804	0.12830340
ASV_167	0.092257	0.0662272	0.1014657	0.1090766
ASV_180	0.090528	0.19294532	0.02919209	0.04944789
ASV_171	0.091942	0.10426208	0.10141039	0.07015393
ASV_176	0.089458	0.12472636	0.07311683	0.07053000
ASV_163	0.09274	0.01619290	0.19911891	0.06290956
ASV_266	0.089562	0.08873465	0.12879451	0.05115784
ASV_187	0.08617	0.06991139	0.10438193	0.08421643
ASV_202	0.085863	0.08377981	0.07888357	0.09492632
ASV_181	0.085197	0.10100892	0.07361066	0.08097192
ASV_472	0.085855	0.07342137	0.11555203	0.06859191
ASV_218	0.081378	0.09022972	0.08076071	0.07314387
ASV_175	0.082288	0.08303181	0.10588739	0.05794381
ASV_190	0.0815	0.13904780	0.05098095	0.05447006
ASV_216	0.07853	0.08009949	0.05320332	0.10228741
ASV_195	0.081465	0.05618586	0.10279182	0.08541757
ASV_197	0.079823	0.13702880	0.05617719	0.04626266
ASV_200	0.078683	0.07015179	0.09453280	0.07136450
