OTUID	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
ASV_1	0	0	0	0	0	0	33	6	0	0	22	0	0	0	0	0	0	0
ASV_2	0	0	0	0	0	0	0	19	0	89	1	0	1	0	0	0	0	0
ASV_10	0	0	0	0	0	0	0	0	0	0	0	1	1	9	13	7	9	7
ASV_3	0	0	0	0	0	0	0	0	0	0	41	0	0	0	1	0	0	0
ASV_4	0	0	0	0	0	0	0	0	0	0	0	2	2	10	14	5	10	1
ASV_5	58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	1
ASV_8	0	0	0	0	0	0	0	0	0	0	0	0	5	7	3	6	13	0
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	21	0
ASV_6	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
ASV_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1
ASV_22	0	1	0	0	0	0	0	0	0	0	0	0	2	0	5	0	16	2
ASV_13	0	0	0	0	0	0	0	39	2	11	0	1	1	0	0	0	1	0
ASV_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	25
ASV_19	0	0	0	0	0	0	1	0	23	6	2	0	1	0	0	0	0	0
ASV_17	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1	1	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0
ASV_54	0	7	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	3
ASV_11	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0
ASV_21	0	0	0	44	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV_36	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	10	0	0
ASV_12	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0
ASV_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	13
ASV_24	0	0	0	0	0	0	0	0	1	0	2	5	10	0	0	0	0	0
ASV_16	0	0	0	0	0	0	0	0	15	0	0	0	6	0	1	0	0	0
ASV_42	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	7
ASV_53	0	3	0	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	1	7
ASV_34	0	0	0	0	0	0	3	1	2	0	2	5	3	0	0	0	0	0
ASV_63	1	0	0	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_75	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
ASV_30	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	3	7
ASV_29	0	0	0	0	0	0	0	0	17	0	0	0	2	0	0	0	0	0
ASV_80	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_726	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	4	3
ASV_25	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
ASV_286	3	17	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	0	0	0	0	0	0	0	0	0	0	0	3	13	0	0	0	0	0
ASV_77	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0
ASV_394	0	2	0	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_497	8	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_185	1	0	3	2	4	15	0	0	0	0	0	0	0	0	0	0	0	0
ASV_81	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
ASV_392	7	2	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
