jaccard	feces1	feces2	feces5	feces4	feces3	feces6	plaque1	plaque5	plaque3	plaque6	saliva1	plaque2	plaque4	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.924	0.954	0.967	0.950	0.965	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces2	0.924	0	0.915	0.935	0.940	0.949	1.000	1.000	1.000	1.000	0.998	1.000	1.000	1.000	0.998	1.000	0.998	0.998
feces5	0.954	0.915	0	0.960	0.954	0.947	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.998	1.000	1.000
feces4	0.967	0.935	0.960	0	0.959	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces3	0.950	0.940	0.954	0.959	0	0.970	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces6	0.965	0.949	0.947	0.967	0.970	0	1.000	0.998	1.000	1.000	1.000	1.000	0.998	1.000	1.000	1.000	1.000	1.000
plaque1	1.000	1.000	1.000	1.000	1.000	1.000	0	0.884	0.943	0.945	0.949	0.942	0.965	0.991	0.972	0.992	0.984	0.989
plaque5	1.000	1.000	1.000	1.000	1.000	0.998	0.884	0	0.928	0.933	0.942	0.962	0.973	0.997	0.992	0.997	0.988	0.981
plaque3	1.000	1.000	1.000	1.000	1.000	1.000	0.943	0.928	0	0.964	0.928	0.964	0.955	0.997	0.984	0.994	0.991	0.986
plaque6	1.000	1.000	1.000	1.000	1.000	1.000	0.945	0.933	0.964	0	0.908	0.977	0.984	0.972	0.954	0.970	0.965	0.968
saliva1	1.000	0.998	1.000	1.000	1.000	1.000	0.949	0.942	0.928	0.908	0	0.973	0.967	0.967	0.947	0.954	0.959	0.978
plaque2	1.000	1.000	1.000	1.000	1.000	1.000	0.942	0.962	0.964	0.977	0.973	0	0.937	0.994	0.986	0.994	0.992	0.991
plaque4	1.000	1.000	1.000	1.000	1.000	0.998	0.965	0.973	0.955	0.984	0.967	0.937	0	0.992	0.984	0.995	0.988	0.992
saliva2	1.000	1.000	1.000	1.000	1.000	1.000	0.991	0.997	0.997	0.972	0.967	0.994	0.992	0	0.861	0.906	0.901	0.933
saliva3	1.000	0.998	1.000	1.000	1.000	1.000	0.972	0.992	0.984	0.954	0.947	0.986	0.984	0.861	0	0.888	0.888	0.892
saliva4	1.000	1.000	0.998	1.000	1.000	1.000	0.992	0.997	0.994	0.970	0.954	0.994	0.995	0.906	0.888	0	0.893	0.914
saliva5	1.000	0.998	1.000	1.000	1.000	1.000	0.984	0.988	0.991	0.965	0.959	0.992	0.988	0.901	0.888	0.893	0	0.923
saliva6	1.000	0.998	1.000	1.000	1.000	1.000	0.989	0.981	0.986	0.968	0.978	0.991	0.992	0.933	0.892	0.914	0.923	0
