jaccard	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.924	0.950	0.967	0.954	0.965	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces2	0.924	0	0.940	0.935	0.915	0.949	1.000	1.000	1.000	1.000	1.000	1.000	0.998	1.000	0.998	1.000	0.998	0.998
feces3	0.950	0.940	0	0.959	0.954	0.970	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces4	0.967	0.935	0.959	0	0.960	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces5	0.954	0.915	0.954	0.960	0	0.947	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.998	1.000	1.000
feces6	0.965	0.949	0.970	0.967	0.947	0	1.000	1.000	1.000	0.998	0.998	1.000	1.000	1.000	1.000	1.000	1.000	1.000
plaque1	1.000	1.000	1.000	1.000	1.000	1.000	0	0.942	0.943	0.965	0.884	0.945	0.949	0.991	0.972	0.992	0.984	0.989
plaque2	1.000	1.000	1.000	1.000	1.000	1.000	0.942	0	0.964	0.937	0.962	0.977	0.973	0.994	0.986	0.994	0.992	0.991
plaque3	1.000	1.000	1.000	1.000	1.000	1.000	0.943	0.964	0	0.955	0.928	0.964	0.928	0.997	0.984	0.994	0.991	0.986
plaque4	1.000	1.000	1.000	1.000	1.000	0.998	0.965	0.937	0.955	0	0.973	0.984	0.967	0.992	0.984	0.995	0.988	0.992
plaque5	1.000	1.000	1.000	1.000	1.000	0.998	0.884	0.962	0.928	0.973	0	0.933	0.942	0.997	0.992	0.997	0.988	0.981
plaque6	1.000	1.000	1.000	1.000	1.000	1.000	0.945	0.977	0.964	0.984	0.933	0	0.908	0.972	0.954	0.970	0.965	0.968
saliva1	1.000	0.998	1.000	1.000	1.000	1.000	0.949	0.973	0.928	0.967	0.942	0.908	0	0.967	0.947	0.954	0.959	0.978
saliva2	1.000	1.000	1.000	1.000	1.000	1.000	0.991	0.994	0.997	0.992	0.997	0.972	0.967	0	0.861	0.906	0.901	0.933
saliva3	1.000	0.998	1.000	1.000	1.000	1.000	0.972	0.986	0.984	0.984	0.992	0.954	0.947	0.861	0	0.888	0.888	0.892
saliva4	1.000	1.000	1.000	1.000	0.998	1.000	0.992	0.994	0.994	0.995	0.997	0.970	0.954	0.906	0.888	0	0.893	0.914
saliva5	1.000	0.998	1.000	1.000	1.000	1.000	0.984	0.992	0.991	0.988	0.988	0.965	0.959	0.901	0.888	0.893	0	0.923
saliva6	1.000	0.998	1.000	1.000	1.000	1.000	0.989	0.991	0.986	0.992	0.981	0.968	0.978	0.933	0.892	0.914	0.923	0
