unifrac	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.660	0.653	0.658	0.439	0.820	0.959	0.966	0.976	0.967	0.950	0.950	0.964	0.963	0.953	0.973	0.969	0.917
feces2	0.660	0	0.571	0.502	0.526	0.759	0.849	0.875	0.849	0.851	0.861	0.835	0.918	0.949	0.887	0.905	0.962	0.811
feces3	0.653	0.571	0	0.678	0.645	0.660	0.856	0.879	0.851	0.797	0.848	0.838	0.923	0.934	0.873	0.906	0.957	0.784
feces4	0.658	0.502	0.678	0	0.461	0.672	0.873	0.948	0.951	0.946	0.917	0.929	0.931	0.966	0.953	0.963	0.959	0.923
feces5	0.439	0.526	0.645	0.461	0	0.629	0.944	0.969	0.983	0.967	0.946	0.950	0.951	0.995	0.982	0.992	0.982	0.938
feces6	0.820	0.759	0.660	0.672	0.629	0	0.929	0.953	0.981	0.972	0.935	0.940	0.943	0.995	0.982	0.992	0.974	0.957
plaque1	0.959	0.849	0.856	0.873	0.944	0.929	0	0.648	0.488	0.559	0.365	0.459	0.464	0.835	0.701	0.729	0.817	0.576
plaque2	0.966	0.875	0.879	0.948	0.969	0.953	0.648	0	0.703	0.394	0.610	0.561	0.587	0.578	0.495	0.512	0.592	0.482
plaque3	0.976	0.849	0.851	0.951	0.983	0.981	0.488	0.703	0	0.572	0.353	0.526	0.507	0.768	0.689	0.721	0.888	0.663
plaque4	0.967	0.851	0.797	0.946	0.967	0.972	0.559	0.394	0.572	0	0.579	0.539	0.563	0.542	0.429	0.436	0.570	0.413
plaque5	0.950	0.861	0.848	0.917	0.946	0.935	0.365	0.610	0.353	0.579	0	0.424	0.434	0.773	0.670	0.718	0.860	0.643
plaque6	0.950	0.835	0.838	0.929	0.950	0.940	0.459	0.561	0.526	0.539	0.424	0	0.436	0.704	0.593	0.637	0.733	0.547
saliva1	0.964	0.918	0.923	0.931	0.951	0.943	0.464	0.587	0.507	0.563	0.434	0.436	0	0.592	0.546	0.574	0.696	0.570
saliva2	0.963	0.949	0.934	0.966	0.995	0.995	0.835	0.578	0.768	0.542	0.773	0.704	0.592	0	0.225	0.256	0.318	0.473
saliva3	0.953	0.887	0.873	0.953	0.982	0.982	0.701	0.495	0.689	0.429	0.670	0.593	0.546	0.225	0	0.193	0.279	0.349
saliva4	0.973	0.905	0.906	0.963	0.992	0.992	0.729	0.512	0.721	0.436	0.718	0.637	0.574	0.256	0.193	0	0.287	0.329
saliva5	0.969	0.962	0.957	0.959	0.982	0.974	0.817	0.592	0.888	0.570	0.860	0.733	0.696	0.318	0.279	0.287	0	0.455
saliva6	0.917	0.811	0.784	0.923	0.938	0.957	0.576	0.482	0.663	0.413	0.643	0.547	0.570	0.473	0.349	0.329	0.455	0
