#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_79	97	106	89	78	109	130	46	38	44	61	60	66	48	51	55	81	62	58
ASV_74	72	70	68	65	97	68	88	67	51	61	103	66	61	63	70	55	70	64
ASV_81	69	23	80	86	71	61	28	35	127	79	50	66	63	101	79	82	63	81
ASV_82	42	43	0	55	8	33	41	51	23	56	50	69	63	164	41	97	317	54
ASV_76	48	38	94	59	58	53	44	24	61	37	59	93	32	153	37	246	28	37
ASV_75	61	62	25	32	93	50	74	54	51	58	85	77	57	40	69	146	95	65
ASV_80	90	28	30	50	112	33	42	96	42	96	200	54	41	18	94	47	67	47
ASV_90	22	6	34	35	152	17	30	301	12	54	107	42	6	15	94	2	140	89
ASV_84	41	96	31	2	9	304	88	18	25	136	27	24	181	0	34	57	18	45
ASV_86	62	78	9	39	21	33	56	121	33	29	48	59	82	115	93	52	144	55
ASV_78	87	59	48	71	34	56	32	70	12	34	121	65	7	0	92	81	121	114
ASV_83	106	30	38	78	100	140	18	18	78	32	25	54	64	135	30	55	62	37
ASV_87	32	61	88	81	98	68	34	61	52	29	139	49	52	44	56	49	56	43
ASV_91	176	68	56	103	0	41	81	88	128	127	76	26	9	12	1	56	15	2
ASV_85	52	91	40	77	72	170	37	24	90	29	53	45	33	27	42	29	118	36
ASV_95	54	58	69	48	31	41	23	59	69	50	40	33	94	64	63	46	118	100
ASV_93	6	8	59	58	53	29	33	78	24	22	75	51	47	37	27	45	200	198
ASV_89	54	61	29	31	27	48	85	58	51	76	76	62	39	77	56	89	57	69
ASV_88	90	126	4	17	1	387	48	40	32	75	27	67	48	11	11	38	0	14
ASV_102	42	57	41	61	103	44	65	51	46	43	56	55	51	47	79	80	42	53
ASV_101	77	88	9	24	26	46	99	53	54	47	70	108	53	29	64	35	49	64
ASV_100	76	17	32	53	242	24	28	55	14	112	69	40	31	6	46	51	33	56
ASV_92	21	95	4	129	10	58	84	29	49	47	70	37	35	102	53	82	42	37
ASV_114	59	50	71	82	78	40	37	38	37	43	53	41	59	55	60	58	53	70
ASV_94	40	16	20	25	301	21	71	89	29	24	31	18	44	25	86	37	40	46
ASV_110	12	34	56	90	121	20	68	40	27	63	45	25	48	116	60	55	49	30
ASV_96	54	43	122	93	104	64	37	31	40	41	55	35	23	45	30	47	42	45
ASV_106	51	28	17	26	18	12	22	44	217	140	41	52	79	22	50	70	21	35
ASV_104	59	67	60	58	89	64	26	27	45	48	47	70	43	50	45	42	64	31
ASV_109	46	51	11	19	2	2	55	99	37	44	28	72	147	15	82	95	0	117
ASV_97	61	22	69	25	152	50	53	21	41	30	45	28	49	104	25	36	51	58
ASV_98	59	39	53	62	81	102	43	26	50	28	49	40	43	35	25	28	108	41
ASV_99	43	21	31	63	32	75	25	20	90	75	43	27	104	86	29	49	39	37
ASV_108	52	26	51	44	69	41	26	39	50	93	79	70	27	42	36	47	44	42
ASV_113	28	89	44	55	41	46	57	54	50	56	42	55	38	42	59	37	32	53
ASV_103	51	50	11	69	52	119	22	31	38	36	52	40	61	42	48	43	45	34
ASV_105	38	16	33	50	251	49	6	123	1	39	28	21	4	8	27	23	44	82
ASV_115	35	88	10	83	6	61	5	12	1	4	19	461	1	15	18	2	3	17
ASV_107	63	46	42	59	49	68	49	29	38	32	54	56	32	29	55	50	41	35
ASV_117	46	24	46	20	29	49	22	70	150	85	53	20	44	36	51	49	10	19
ASV_112	22	16	11	13	7	10	71	43	95	100	59	33	60	78	64	73	37	29
ASV_111	39	51	27	13	28	24	56	39	37	62	49	58	27	65	69	59	48	68
ASV_122	40	70	31	37	16	43	63	65	63	48	38	60	47	31	41	42	35	46
ASV_119	40	26	46	24	10	19	71	53	48	36	56	44	27	71	56	72	58	45
ASV_125	10	108	45	72	12	21	45	72	28	45	73	18	23	78	55	23	7	61
ASV_118	48	40	34	35	38	93	39	22	33	76	34	72	26	44	34	30	60	15
ASV_126	45	39	37	34	22	35	40	71	45	41	33	57	38	13	65	44	44	68
ASV_116	7	30	7	6	426	10	17	19	9	19	16	11	49	18	24	3	74	19
ASV_134	41	51	54	67	43	52	28	21	38	36	41	42	31	31	29	47	65	34
ASV_120	44	74	85	67	47	75	22	25	33	25	26	33	19	25	45	53	28	23
