# Constructed from biom file																																																																											
#OTU ID	SRS024625.570280	SRS018102.573993	SRS017304.575372	SRS024151.575546	SRS020413.572892	SRS017641.576524	SRS013687.574921	SRS024568.571681	SRS023914.571128	SRS017935.572108	SRS021484.575748	SRS020869.573690	SRS023176.573947	SRS016916.571068	SRS020527.573698	SRS023938.573037	SRS020314.575041	SRS013177.574389	SRS013474.572674	SRS017418.570288	SRS018313.575129	SRS020233.575311	SRS020437.572627	SRS023758.576043	SRS023760.572972	SRS018396.574712	SRS017420.571170	SRS013203.574575	SRS017227.576007	SRS016364.575956	SRS013201.576199	SRS017230.573092	SRS017790.572183	SRS020257.573938	SRS023995.573098	SRS013490.574260	SRS017641.575969	SRS017307.573991	SRS013516.575410	SRS045289.571763	SRS018214.570641	SRS017420.570810	SRS013662.573790	SRS024592.570730	SRS017847.570423	SRS017029.575283	SRS020893.572891	SRS016424.570841	SRS013472.575723	SRS021510.573430	SRS017997.575028	SRS017764.574643	SRS013638.573699	SRS020290.575215	SRS017363.570258	SRS049911.575200	SRS020551.575598	SRS018339.573081	SRS017665.574059	SRS055687.571803	SRS020895.570284	SRS018100.575514	SRS016779.576334	SRS058746.570279	SRS024649.576282	SRS017088.576058	SRS017667.576128	SRS018216.570352	SRS016777.576593	SRS016942.575808	SRS017361.573508	SRS018076.571839	SRS020316.575736	SRS024177.571285	SRS017667.571840
637000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	2	2	0	0	16	0	0	4	11	6	1	0	4	2	0	1	0	0	0	0	1	12	1	3	3	3	1	1	5	1	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
637000002	28	0	0	16	1	12	16	0	0	8	66	6	0	0	22	0	0	1	0	0	3	36	0	0	0	0	0	0	0	0	0	0	0	0	0	47	15	33	1	0	0	0	0	0	0	0	0	0	0	0	8	1	12	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
637000004	0	0	0	10	3	3	6	0	0	0	1	15	0	7	3	0	0	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
637000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	0	2	9	4	29	5	2	20	5	10	2	0	0	0	20	18	0	6	4	0	0	3	0	0	0	28	0	0	0	0	0	0	21	0	0	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
637000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	6	0	0	13	0	0	6	26	18	9	0	44	2	5	0	36	0	0	0	0	2	0	10	14	36	3	1	14	1	16	3	0	0	0	0	0	0	0	0	3	0	4	3	21	7	1	0	1	2	39	2	13	0	0	0	0
637000008	1	0	0	3	4	15	1	0	0	0	0	5	0	0	6	0	0	3	0	0	20	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
637000009	18	0	0	2	18	0	0	13	1	0	5	46	21	7	26	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	15	2	11	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
637000010	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	42	0	0	0	1	5	45	61	14	27	4	40	17	8	48	2	0	0	0	3	0	0	53	7	2	0	1	0	1	0	0	0	0	0	0	2	0	0	11	7	0	3	0	0	6	3	34	3	0	1	12	0	0	0	11	2
637000011	0	0	0	2	1	3	1	0	6	25	1	3	0	1	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
637000012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	190	0	0	0	0	0	0	8	24	20	79	11	32	19	0	22	0	0	0	0	5	0	0	11	5	5	33	0	0	0	32	0	0	0	0	0	0	0	126	22	0	0	1	61	8	0	0	12	53	14	19	0	0	1	0	1
637000013	382	0	0	28	191	127	125	867	64	8	55	203	282	574	503	0	0	1092	0	0	1204	1	0	0	0	0	0	1	0	0	0	0	0	0	0	46	396	74	0	0	0	0	0	0	0	0	0	0	1	0	10	541	85	1039	0	800	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1633	0	0	0
637000014	18	0	0	59	65	0	185	0	37	4	28	5	8	4	0	0	0	2	0	0	675	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	2	0	0	0	0	0	0	0	0	0	0	0	0	18	24	1	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	603	0	0	0
637000015	1	0	0	2	3	2	1	0	4	0	0	5	0	3	2	0	0	1	0	0	49	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
